library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,1,add_cc,18.531,2.223,30
lattigo,small,13,5,1,add_cp,13.954,4.01,30
lattigo,small,13,5,1,mul_cp,55.629,4.124,30
lattigo,small,13,5,1,mul_cc,132.831,23.082,30
lattigo,small,13,5,1,mul_cc_rlk,2087.961,79.709,30
lattigo,small,13,5,1,relin,1955.13,0.0,30
lattigo,small,13,5,1,rescale,400.909,14.964,30
lattigo,small,13,5,1,rot1,1951.495,81.153,30
lattigo,small,13,5,2,add_cc,26.438,1.949,30
lattigo,small,13,5,2,add_cp,20.392,0.431,30
lattigo,small,13,5,2,mul_cp,81.797,3.301,30
lattigo,small,13,5,2,mul_cc,209.149,44.934,30
lattigo,small,13,5,2,mul_cc_rlk,3502.125,396.568,30
lattigo,small,13,5,2,relin,3292.975,0.0,30
lattigo,small,13,5,2,rescale,599.094,13.766,30
lattigo,small,13,5,2,rot1,3252.915,241.33,30
lattigo,small,13,5,3,add_cc,35.427,2.927,30
lattigo,small,13,5,3,add_cp,27.703,3.025,30
lattigo,small,13,5,3,mul_cp,116.232,10.543,30
lattigo,small,13,5,3,mul_cc,253.306,21.907,30
lattigo,small,13,5,3,mul_cc_rlk,4965.939,210.188,30
lattigo,small,13,5,3,relin,4712.633,0.0,30
lattigo,small,13,5,3,rescale,959.121,194.722,30
lattigo,small,13,5,3,rot1,4797.631,320.468,30
lattigo,small,13,5,4,add_cc,43.926,3.479,30
lattigo,small,13,5,4,add_cp,34.638,3.13,30
lattigo,small,13,5,4,mul_cp,150.623,7.015,30
lattigo,small,13,5,4,mul_cc,298.754,10.58,30
lattigo,small,13,5,4,mul_cc_rlk,6806.417,216.392,30
lattigo,small,13,5,4,relin,6507.663,0.0,30
lattigo,small,13,5,4,rescale,1010.316,18.741,30
lattigo,small,13,5,4,rot1,6556.356,234.045,30
lattigo,small,13,5,5,add_cc,59.942,11.651,30
lattigo,small,13,5,5,add_cp,41.036,3.748,30
lattigo,small,13,5,5,mul_cp,169.382,11.985,30
lattigo,small,13,5,5,mul_cc,365.361,18.771,30
lattigo,small,13,5,5,mul_cc_rlk,8853.2,242.995,30
lattigo,small,13,5,5,relin,8487.839,0.0,30
lattigo,small,13,5,5,rescale,1212.685,28.092,30
lattigo,small,13,5,5,rot1,8558.675,203.792,30
lattigo,medium,14,10,1,add_cc,36.019,5.257,30
lattigo,medium,14,10,1,add_cp,27.901,2.868,30
lattigo,medium,14,10,1,mul_cp,110.908,7.951,30
lattigo,medium,14,10,1,mul_cc,262.734,54.53,30
lattigo,medium,14,10,1,mul_cc_rlk,3924.901,307.831,30
lattigo,medium,14,10,1,relin,3662.166,0.0,30
lattigo,medium,14,10,1,rescale,862.654,37.923,30
lattigo,medium,14,10,1,rot1,3723.538,468.195,30
lattigo,medium,14,10,2,add_cc,57.857,11.249,30
lattigo,medium,14,10,2,add_cp,44.401,7.102,30
lattigo,medium,14,10,2,mul_cp,179.734,22.294,30
lattigo,medium,14,10,2,mul_cc,391.496,28.562,30
lattigo,medium,14,10,2,mul_cc_rlk,6479.18,236.514,30
lattigo,medium,14,10,2,relin,6087.684,0.0,30
lattigo,medium,14,10,2,rescale,1312.418,132.783,30
lattigo,medium,14,10,2,rot1,6283.54,518.017,30
lattigo,medium,14,10,3,add_cc,72.4,9.598,30
lattigo,medium,14,10,3,add_cp,54.518,4.032,30
lattigo,medium,14,10,3,mul_cp,230.913,9.218,30
lattigo,medium,14,10,3,mul_cc,513.029,21.461,30
lattigo,medium,14,10,3,mul_cc_rlk,7761.212,358.889,30
lattigo,medium,14,10,3,relin,7248.183,0.0,30
lattigo,medium,14,10,3,rescale,1767.553,143.553,30
lattigo,medium,14,10,3,rot1,7296.5,304.381,30
lattigo,medium,14,10,4,add_cc,89.212,7.395,30
lattigo,medium,14,10,4,add_cp,66.873,4.069,30
lattigo,medium,14,10,4,mul_cp,329.361,65.845,30
lattigo,medium,14,10,4,mul_cc,630.071,93.0,30
lattigo,medium,14,10,4,mul_cc_rlk,11530.476,647.498,30
lattigo,medium,14,10,4,relin,10900.405,0.0,30
lattigo,medium,14,10,4,rescale,2239.801,230.913,30
lattigo,medium,14,10,4,rot1,11051.611,1108.039,30
lattigo,medium,14,10,5,add_cc,102.418,4.04,30
lattigo,medium,14,10,5,add_cp,79.94,3.767,30
lattigo,medium,14,10,5,mul_cp,344.526,24.78,30
lattigo,medium,14,10,5,mul_cc,734.387,50.471,30
lattigo,medium,14,10,5,mul_cc_rlk,12657.441,200.466,30
lattigo,medium,14,10,5,relin,11923.054,0.0,30
lattigo,medium,14,10,5,rescale,2628.948,120.79,30
lattigo,medium,14,10,5,rot1,12201.962,815.729,30
lattigo,medium,14,10,6,add_cc,119.54,4.906,30
lattigo,medium,14,10,6,add_cp,92.726,3.504,30
lattigo,medium,14,10,6,mul_cp,389.438,18.399,30
lattigo,medium,14,10,6,mul_cc,853.346,33.1,30
lattigo,medium,14,10,6,mul_cc_rlk,17769.139,1223.662,30
lattigo,medium,14,10,6,relin,16915.792,0.0,30
lattigo,medium,14,10,6,rescale,3083.416,123.995,30
lattigo,medium,14,10,6,rot1,16527.201,403.612,30
lattigo,medium,14,10,7,add_cc,140.675,6.117,30
lattigo,medium,14,10,7,add_cp,112.521,35.879,30
lattigo,medium,14,10,7,mul_cp,445.885,33.858,30
lattigo,medium,14,10,7,mul_cc,961.793,39.648,30
lattigo,medium,14,10,7,mul_cc_rlk,19462.182,834.648,30
lattigo,medium,14,10,7,relin,18500.389,0.0,30
lattigo,medium,14,10,7,rescale,3694.445,393.335,30
lattigo,medium,14,10,7,rot1,18127.506,375.303,30
lattigo,medium,14,10,8,add_cc,155.08,9.635,30
lattigo,medium,14,10,8,add_cp,120.525,6.283,30
lattigo,medium,14,10,8,mul_cp,516.074,39.301,30
lattigo,medium,14,10,8,mul_cc,1093.799,72.101,30
lattigo,medium,14,10,8,mul_cc_rlk,24961.107,1220.614,30
lattigo,medium,14,10,8,relin,23867.308,0.0,30
lattigo,medium,14,10,8,rescale,4104.345,421.029,30
lattigo,medium,14,10,8,rot1,24234.436,1146.531,30
lattigo,medium,14,10,9,add_cc,176.491,21.381,30
lattigo,medium,14,10,9,add_cp,139.772,12.371,30
lattigo,medium,14,10,9,mul_cp,631.284,142.947,30
lattigo,medium,14,10,9,mul_cc,1294.128,132.598,30
lattigo,medium,14,10,9,mul_cc_rlk,27467.952,2502.58,30
lattigo,medium,14,10,9,relin,26173.824,0.0,30
lattigo,medium,14,10,9,rescale,4352.635,187.053,30
lattigo,medium,14,10,9,rot1,25824.968,953.192,30
lattigo,medium,14,10,10,add_cc,195.174,33.356,30
lattigo,medium,14,10,10,add_cp,160.719,42.654,30
lattigo,medium,14,10,10,mul_cp,639.865,77.874,30
lattigo,medium,14,10,10,mul_cc,1328.213,51.185,30
lattigo,medium,14,10,10,mul_cc_rlk,33550.465,1174.07,30
lattigo,medium,14,10,10,relin,32222.252,0.0,30
lattigo,medium,14,10,10,rescale,4940.274,368.734,30
lattigo,medium,14,10,10,rot1,32659.49,1823.077,30
lattigo,large,15,15,1,add_cc,71.173,9.355,30
lattigo,large,15,15,1,add_cp,54.658,9.088,30
lattigo,large,15,15,1,mul_cp,229.14,25.784,30
lattigo,large,15,15,1,mul_cc,473.699,11.05,30
lattigo,large,15,15,1,mul_cc_rlk,7842.638,204.614,30
lattigo,large,15,15,1,relin,7368.938,0.0,30
lattigo,large,15,15,1,rescale,1779.528,47.104,30
lattigo,large,15,15,1,rot1,7300.986,163.631,30
lattigo,large,15,15,2,add_cc,105.121,8.535,30
lattigo,large,15,15,2,add_cp,80.77,6.291,30
lattigo,large,15,15,2,mul_cp,345.494,30.551,30
lattigo,large,15,15,2,mul_cc,713.975,14.844,30
lattigo,large,15,15,2,mul_cc_rlk,13148.782,210.525,30
lattigo,large,15,15,2,relin,12434.807,0.0,30
lattigo,large,15,15,2,rescale,2704.893,85.905,30
lattigo,large,15,15,2,rot1,12569.978,215.405,30
lattigo,large,15,15,3,add_cc,141.162,13.56,30
lattigo,large,15,15,3,add_cp,107.129,4.57,30
lattigo,large,15,15,3,mul_cp,454.901,32.326,30
lattigo,large,15,15,3,mul_cc,965.335,31.609,30
lattigo,large,15,15,3,mul_cc_rlk,15778.285,274.26,30
lattigo,large,15,15,3,relin,14812.95,0.0,30
