library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,large,15,15,15,add_cc,631.118,63.552,30
lattigo,large,15,15,15,add_cp,457.685,31.102,30
lattigo,large,15,15,15,mul_cp,1847.703,39.192,30
lattigo,large,15,15,15,mul_cc,4032.867,156.306,30
lattigo,large,15,15,15,mul_cc_rlk,119933.761,2652.432,30
lattigo,large,15,15,15,relin,115900.894,0.000,30
lattigo,large,15,15,15,rescale,15044.644,523.115,30
lattigo,large,15,15,15,rot1,115828.251,1931.871,30
lattigo,large,15,15,14,add_cc,565.700,17.276,30
lattigo,large,15,15,14,add_cp,393.360,11.851,30
lattigo,large,15,15,14,mul_cp,1705.707,61.692,30
lattigo,large,15,15,14,mul_cc,3820.255,354.699,30
lattigo,large,15,15,14,mul_cc_rlk,113671.423,3014.106,30
lattigo,large,15,15,14,relin,109851.168,0.000,30
lattigo,large,15,15,14,rescale,14342.441,838.566,30
lattigo,large,15,15,14,rot1,110919.038,2930.446,30
lattigo,large,15,15,13,add_cc,483.078,29.436,30
lattigo,large,15,15,13,add_cp,380.750,41.049,30
lattigo,large,15,15,13,mul_cp,1567.441,65.819,30
lattigo,large,15,15,13,mul_cc,3592.041,201.446,30
lattigo,large,15,15,13,mul_cc_rlk,96333.085,2890.905,30
lattigo,large,15,15,13,relin,92741.044,0.000,30
lattigo,large,15,15,13,rescale,13002.682,276.632,30
lattigo,large,15,15,13,rot1,93473.213,2428.396,30
lattigo,large,15,15,12,add_cc,507.525,50.868,30
lattigo,large,15,15,12,add_cp,359.357,12.552,30
lattigo,large,15,15,12,mul_cp,1505.558,51.739,30
lattigo,large,15,15,12,mul_cc,3278.786,110.741,30
lattigo,large,15,15,12,mul_cc_rlk,90324.035,2205.595,30
lattigo,large,15,15,12,relin,87045.249,0.000,30
lattigo,large,15,15,12,rescale,11995.935,594.053,30
lattigo,large,15,15,12,rot1,87561.551,2737.048,30
lattigo,large,15,15,11,add_cc,446.220,44.080,30
lattigo,large,15,15,11,add_cp,338.130,16.009,30
lattigo,large,15,15,11,mul_cp,1411.171,119.343,30
lattigo,large,15,15,11,mul_cc,3109.937,268.880,30
lattigo,large,15,15,11,mul_cc_rlk,75414.922,1953.378,30
lattigo,large,15,15,11,relin,72304.985,0.000,30
lattigo,large,15,15,11,rescale,11129.709,345.449,30
lattigo,large,15,15,11,rot1,71986.994,1639.330,30
lattigo,large,15,15,10,add_cc,407.981,18.117,30
lattigo,large,15,15,10,add_cp,344.932,61.894,30
lattigo,large,15,15,10,mul_cp,1326.140,173.775,30
lattigo,large,15,15,10,mul_cc,2800.135,303.402,30
lattigo,large,15,15,10,mul_cc_rlk,70084.663,1889.534,30
lattigo,large,15,15,10,relin,67284.528,0.000,30
lattigo,large,15,15,10,rescale,10216.460,329.229,30
lattigo,large,15,15,10,rot1,70390.728,3847.473,30
lattigo,large,15,15,9,add_cc,394.831,103.369,30
lattigo,large,15,15,9,add_cp,276.070,29.051,30
lattigo,large,15,15,9,mul_cp,1144.838,35.996,30
lattigo,large,15,15,9,mul_cc,2495.811,91.131,30
lattigo,large,15,15,9,mul_cc_rlk,56867.400,2248.048,30
lattigo,large,15,15,9,relin,54371.588,0.000,30
lattigo,large,15,15,9,rescale,9220.209,151.956,30
lattigo,large,15,15,9,rot1,53899.088,1149.586,30
lattigo,large,15,15,8,add_cc,341.116,69.031,30
lattigo,large,15,15,8,add_cp,252.606,42.984,30
lattigo,large,15,15,8,mul_cp,1032.830,119.395,30
lattigo,large,15,15,8,mul_cc,2177.769,97.732,30
lattigo,large,15,15,8,mul_cc_rlk,52248.588,1564.808,30
lattigo,large,15,15,8,relin,50070.819,0.000,30
lattigo,large,15,15,8,rescale,8369.362,380.309,30
lattigo,large,15,15,8,rot1,49894.128,1292.127,30
lattigo,large,15,15,7,add_cc,288.728,21.684,30
lattigo,large,15,15,7,add_cp,263.120,35.723,30
lattigo,large,15,15,7,mul_cp,966.919,142.135,30
lattigo,large,15,15,7,mul_cc,1948.790,96.589,30
lattigo,large,15,15,7,mul_cc_rlk,41574.634,2807.625,30
lattigo,large,15,15,7,relin,39625.844,0.000,30
lattigo,large,15,15,7,rescale,7326.909,123.067,30
lattigo,large,15,15,7,rot1,39073.539,1757.705,30
lattigo,large,15,15,6,add_cc,327.404,58.756,30
lattigo,large,15,15,6,add_cp,206.162,16.390,30
lattigo,large,15,15,6,mul_cp,815.562,40.779,30
lattigo,large,15,15,6,mul_cc,1754.491,62.623,30
lattigo,large,15,15,6,mul_cc_rlk,37084.684,1298.144,30
lattigo,large,15,15,6,relin,35330.192,0.000,30
lattigo,large,15,15,6,rescale,6626.831,429.007,30
lattigo,large,15,15,6,rot1,35117.623,1260.692,30
lattigo,large,15,15,5,add_cc,208.026,17.357,30
lattigo,large,15,15,5,add_cp,168.298,6.146,30
lattigo,large,15,15,5,mul_cp,667.158,31.629,30
lattigo,large,15,15,5,mul_cc,1485.540,73.992,30
lattigo,large,15,15,5,mul_cc_rlk,27144.436,1073.813,30
lattigo,large,15,15,5,relin,25658.896,0.000,30
lattigo,large,15,15,5,rescale,5526.721,107.935,30
lattigo,large,15,15,5,rot1,25250.866,595.492,30
lattigo,large,15,15,4,add_cc,171.603,6.327,30
lattigo,large,15,15,4,add_cp,134.014,6.702,30
lattigo,large,15,15,4,mul_cp,566.878,15.461,30
lattigo,large,15,15,4,mul_cc,1210.819,42.203,30
lattigo,large,15,15,4,mul_cc_rlk,23713.873,928.811,30
lattigo,large,15,15,4,relin,22503.054,0.000,30
lattigo,large,15,15,4,rescale,4734.940,595.035,30
lattigo,large,15,15,4,rot1,22234.444,506.513,30
lattigo,large,15,15,3,add_cc,136.052,6.175,30
lattigo,large,15,15,3,add_cp,105.043,3.881,30
lattigo,large,15,15,3,mul_cp,448.682,13.679,30
lattigo,large,15,15,3,mul_cc,980.320,28.842,30
lattigo,large,15,15,3,mul_cc_rlk,16122.685,509.621,30
lattigo,large,15,15,3,relin,15142.365,0.000,30
lattigo,large,15,15,3,rescale,3908.961,391.616,30
lattigo,large,15,15,3,rot1,15746.225,1444.287,30
lattigo,large,15,15,2,add_cc,118.787,41.511,30
lattigo,large,15,15,2,add_cp,87.578,6.770,30
lattigo,large,15,15,2,mul_cp,341.095,10.889,30
lattigo,large,15,15,2,mul_cc,756.174,61.651,30
lattigo,large,15,15,2,mul_cc_rlk,13567.474,675.711,30
lattigo,large,15,15,2,relin,12811.300,0.000,30
lattigo,large,15,15,2,rescale,2766.180,166.589,30
lattigo,large,15,15,2,rot1,12662.076,344.388,30
lattigo,large,15,15,1,add_cc,69.607,4.082,30
lattigo,large,15,15,1,add_cp,52.953,1.984,30
lattigo,large,15,15,1,mul_cp,237.912,36.282,30
lattigo,large,15,15,1,mul_cc,534.863,97.992,30
lattigo,large,15,15,1,mul_cc_rlk,8243.380,1040.615,30
lattigo,large,15,15,1,relin,7708.516,0.000,30
lattigo,large,15,15,1,rescale,1968.103,278.487,30
lattigo,large,15,15,1,rot1,7429.214,576.081,30
