library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,5,add_cc,56.434,3.993,30
lattigo,small,13,5,5,add_cp,42.229,5.521,30
lattigo,small,13,5,5,mul_cp,172.153,20.163,30
lattigo,small,13,5,5,mul_cc,399.140,81.846,30
lattigo,small,13,5,5,mul_cc_rlk,9170.824,478.885,30
lattigo,small,13,5,5,relin,8771.684,0.000,30
lattigo,small,13,5,5,rescale,1269.304,143.642,30
lattigo,small,13,5,5,rot1,8878.928,598.013,30
lattigo,small,13,5,4,add_cc,45.957,6.529,30
lattigo,small,13,5,4,add_cp,34.956,3.822,30
lattigo,small,13,5,4,mul_cp,145.465,5.173,30
lattigo,small,13,5,4,mul_cc,302.601,9.361,30
lattigo,small,13,5,4,mul_cc_rlk,6828.625,224.499,30
lattigo,small,13,5,4,relin,6526.024,0.000,30
lattigo,small,13,5,4,rescale,1002.825,11.990,30
lattigo,small,13,5,4,rot1,6546.427,285.779,30
lattigo,small,13,5,3,add_cc,35.343,2.704,30
lattigo,small,13,5,3,add_cp,27.486,2.304,30
lattigo,small,13,5,3,mul_cp,113.602,13.365,30
lattigo,small,13,5,3,mul_cc,250.873,27.066,30
lattigo,small,13,5,3,mul_cc_rlk,4893.312,90.640,30
lattigo,small,13,5,3,relin,4642.439,0.000,30
lattigo,small,13,5,3,rescale,797.049,8.927,30
lattigo,small,13,5,3,rot1,4655.569,85.095,30
lattigo,small,13,5,2,add_cc,28.855,5.081,30
lattigo,small,13,5,2,add_cp,23.080,4.320,30
lattigo,small,13,5,2,mul_cp,85.055,8.994,30
lattigo,small,13,5,2,mul_cc,191.969,22.285,30
lattigo,small,13,5,2,mul_cc_rlk,3475.865,166.865,30
lattigo,small,13,5,2,relin,3283.896,0.000,30
lattigo,small,13,5,2,rescale,613.269,45.932,30
lattigo,small,13,5,2,rot1,3184.470,90.716,30
lattigo,small,13,5,1,add_cc,18.850,3.882,30
lattigo,small,13,5,1,add_cp,13.684,2.059,30
lattigo,small,13,5,1,mul_cp,56.033,5.624,30
lattigo,small,13,5,1,mul_cc,125.382,8.647,30
lattigo,small,13,5,1,mul_cc_rlk,2072.048,79.800,30
lattigo,small,13,5,1,relin,1946.666,0.000,30
lattigo,small,13,5,1,rescale,406.037,28.418,30
lattigo,small,13,5,1,rot1,2016.402,109.620,30
