library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,small,13,5,5,add_cc,191.443,10.519,30
openfhe,small,13,5,5,add_cp,149.827,5.944,30
openfhe,small,13,5,5,mul_cp,300.838,9.546,30
openfhe,small,13,5,5,mul_cc,1663.201,172.881,30
openfhe,small,13,5,5,mul_cc_rlk,8601.388,814.965,30
openfhe,small,13,5,5,relin,6938.187,0.0,30
openfhe,small,13,5,5,rescale,1589.615,496.6,30
openfhe,small,13,5,5,rot1,8501.441,4253.755,30
openfhe,small,13,5,4,add_cc,150.57,7.218,30
openfhe,small,13,5,4,add_cp,138.447,90.192,30
openfhe,small,13,5,4,mul_cp,273.745,7.389,30
openfhe,small,13,5,4,mul_cc,1375.341,123.874,30
openfhe,small,13,5,4,mul_cc_rlk,9661.745,3738.703,30
openfhe,small,13,5,4,relin,8286.404,0.0,30
openfhe,small,13,5,4,rescale,1240.119,229.868,30
openfhe,small,13,5,4,rot1,7928.364,1081.598,30
openfhe,small,13,5,3,add_cc,222.415,346.748,30
openfhe,small,13,5,3,add_cp,109.808,32.651,30
openfhe,small,13,5,3,mul_cp,232.932,46.613,30
openfhe,small,13,5,3,mul_cc,1166.366,341.254,30
openfhe,small,13,5,3,mul_cc_rlk,29119.838,32081.549,30
openfhe,small,13,5,3,relin,27953.472,0.0,30
openfhe,small,13,5,3,rescale,996.71,5.726,30
openfhe,small,13,5,3,rot1,5067.398,2984.85,30
openfhe,small,13,5,2,add_cc,87.605,5.081,30
openfhe,small,13,5,2,add_cp,69.971,5.179,30
openfhe,small,13,5,2,mul_cp,158.736,9.121,30
openfhe,small,13,5,2,mul_cc,958.259,403.561,30
openfhe,small,13,5,2,mul_cc_rlk,5602.83,2706.082,30
openfhe,small,13,5,2,relin,4644.571,0.0,30
openfhe,small,13,5,2,rescale,718.202,70.319,30
openfhe,small,13,5,2,rot1,4582.962,1374.896,30
openfhe,small,13,5,1,add_cc,65.827,6.881,30
openfhe,small,13,5,1,add_cp,44.91,5.823,30
openfhe,small,13,5,1,mul_cp,89.489,9.086,30
openfhe,small,13,5,1,mul_cc,378.518,44.667,30
openfhe,small,13,5,1,mul_cc_rlk,2728.68,686.535,30
openfhe,small,13,5,1,relin,2350.161,0.0,30
openfhe,small,13,5,1,rescale,584.51,24.748,30
openfhe,small,13,5,1,rot1,2296.326,325.653,30
openfhe,medium,14,10,10,add_cc,829.12,635.473,30
openfhe,medium,14,10,10,add_cp,492.665,9.779,30
openfhe,medium,14,10,10,mul_cp,1062.228,369.213,30
openfhe,medium,14,10,10,mul_cc,7029.628,1962.535,30
openfhe,medium,14,10,10,mul_cc_rlk,35816.805,6935.063,30
openfhe,medium,14,10,10,relin,28787.177,0.0,30
openfhe,medium,14,10,10,rescale,4687.249,544.566,30
openfhe,medium,14,10,10,rot1,29258.356,6839.557,30
openfhe,medium,14,10,9,add_cc,600.308,65.239,30
openfhe,medium,14,10,9,add_cp,468.397,13.151,30
openfhe,medium,14,10,9,mul_cp,1427.251,1143.567,30
openfhe,medium,14,10,9,mul_cc,8873.821,1937.681,30
openfhe,medium,14,10,9,mul_cc_rlk,47565.423,29090.179,30
openfhe,medium,14,10,9,relin,38691.602,0.0,30
openfhe,medium,14,10,9,rescale,5239.75,1302.123,30
openfhe,medium,14,10,9,rot1,26460.966,2278.291,30
openfhe,medium,14,10,8,add_cc,729.515,667.602,30
openfhe,medium,14,10,8,add_cp,466.642,331.841,30
openfhe,medium,14,10,8,mul_cp,1054.506,581.603,30
openfhe,medium,14,10,8,mul_cc,5329.682,882.515,30
openfhe,medium,14,10,8,mul_cc_rlk,35525.286,16955.154,30
openfhe,medium,14,10,8,relin,30195.604,0.0,30
openfhe,medium,14,10,8,rescale,3848.372,636.487,30
openfhe,medium,14,10,8,rot1,25054.457,3023.742,30
openfhe,medium,14,10,7,add_cc,504.04,109.235,30
openfhe,medium,14,10,7,add_cp,375.894,36.344,30
openfhe,medium,14,10,7,mul_cp,723.991,179.258,30
openfhe,medium,14,10,7,mul_cc,4787.811,777.858,30
openfhe,medium,14,10,7,mul_cc_rlk,21972.097,3921.407,30
openfhe,medium,14,10,7,relin,17184.287,0.0,30
openfhe,medium,14,10,7,rescale,3947.514,752.868,30
openfhe,medium,14,10,7,rot1,18051.41,3961.119,30
openfhe,medium,14,10,6,add_cc,396.607,12.881,30
openfhe,medium,14,10,6,add_cp,325.313,23.413,30
openfhe,medium,14,10,6,mul_cp,814.59,574.115,30
openfhe,medium,14,10,6,mul_cc,4043.027,553.067,30
openfhe,medium,14,10,6,mul_cc_rlk,22932.036,8455.6,30
openfhe,medium,14,10,6,relin,18889.009,0.0,30
openfhe,medium,14,10,6,rescale,3430.199,809.912,30
openfhe,medium,14,10,6,rot1,16072.611,2472.613,30
openfhe,medium,14,10,5,add_cc,385.81,57.536,30
openfhe,medium,14,10,5,add_cp,289.089,10.517,30
openfhe,medium,14,10,5,mul_cp,634.247,122.644,30
openfhe,medium,14,10,5,mul_cc,3521.516,469.577,30
openfhe,medium,14,10,5,mul_cc_rlk,24153.975,20574.652,30
openfhe,medium,14,10,5,relin,20632.459,0.0,30
openfhe,medium,14,10,5,rescale,3422.335,710.795,30
