preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,18.531,2.223,0.11996114618746964
small,1,add_cp,lattigo,13.954,4.01,0.28737279633080115
small,1,mul_cp,lattigo,55.629,4.124,0.07413399485879667
small,1,mul_cc,lattigo,132.831,23.082,0.17376967725907358
small,1,mul_cc_rlk,lattigo,2087.961,79.709,0.03817552147765212
small,1,relin,lattigo,1955.13,0.0,0.0
small,1,rescale,lattigo,400.909,14.964,0.03732517853178652
small,1,rot1,lattigo,1951.495,81.153,0.041585041211993884
small,2,add_cc,lattigo,26.438,1.949,0.07371964596414253
small,2,add_cp,lattigo,20.392,0.431,0.021135739505688506
small,2,mul_cp,lattigo,81.797,3.301,0.04035600327640378
small,2,mul_cc,lattigo,209.149,44.934,0.21484205040425725
small,2,mul_cc_rlk,lattigo,3502.125,396.568,0.1132363921904558
small,2,relin,lattigo,3292.975,0.0,0.0
small,2,rescale,lattigo,599.094,13.766,0.02297803015887323
small,2,rot1,lattigo,3252.915,241.33,0.07418884293011038
small,3,add_cc,lattigo,35.427,2.927,0.08262060010726283
small,3,add_cp,lattigo,27.703,3.025,0.1091939501137061
small,3,mul_cp,lattigo,116.232,10.543,0.09070651799848578
small,3,mul_cc,lattigo,253.306,21.907,0.08648433120415623
small,3,mul_cc_rlk,lattigo,4965.939,210.188,0.04232593271886746
small,3,relin,lattigo,4712.633,0.0,0.0
small,3,rescale,lattigo,959.121,194.722,0.20302130805185165
small,3,rot1,lattigo,4797.631,320.468,0.06679713383542836
small,4,add_cc,lattigo,43.926,3.479,0.07920138414606383
small,4,add_cp,lattigo,34.638,3.13,0.09036318494139385
small,4,mul_cp,lattigo,150.623,7.015,0.04657323250765155
small,4,mul_cc,lattigo,298.754,10.58,0.035413751782402914
small,4,mul_cc_rlk,lattigo,6806.417,216.392,0.03179235124735966
small,4,relin,lattigo,6507.663,0.0,0.0
small,4,rescale,lattigo,1010.316,18.741,0.018549641894219232
small,4,rot1,lattigo,6556.356,234.045,0.03569742094541541
small,5,add_cc,lattigo,59.942,11.651,0.19437122551800073
small,5,add_cp,lattigo,41.036,3.748,0.09133443805439127
small,5,mul_cp,lattigo,169.382,11.985,0.0707572233177079
small,5,mul_cc,lattigo,365.361,18.771,0.05137658370762069
small,5,mul_cc_rlk,lattigo,8853.2,242.995,0.027447137758098764
small,5,relin,lattigo,8487.839,0.0,0.0
small,5,rescale,lattigo,1212.685,28.092,0.023165125321085032
small,5,rot1,lattigo,8558.675,203.792,0.02381116235865949
medium,1,add_cc,lattigo,36.019,5.257,0.14595074821621923
medium,1,add_cp,lattigo,27.901,2.868,0.10279201462313178
medium,1,mul_cp,lattigo,110.908,7.951,0.07169004941032206
medium,1,mul_cc,lattigo,262.734,54.53,0.20754831883197455
medium,1,mul_cc_rlk,lattigo,3924.901,307.831,0.078430258495692
medium,1,relin,lattigo,3662.166,0.0,0.0
medium,1,rescale,lattigo,862.654,37.923,0.04396084641119151
medium,1,rot1,lattigo,3723.538,468.195,0.12573928344493865
medium,2,add_cc,lattigo,57.857,11.249,0.19442764056207548
medium,2,add_cp,lattigo,44.401,7.102,0.15995135244701694
medium,2,mul_cp,lattigo,179.734,22.294,0.12403885742263566
medium,2,mul_cc,lattigo,391.496,28.562,0.07295604552792366
medium,2,mul_cc_rlk,lattigo,6479.18,236.514,0.03650369336860529
medium,2,relin,lattigo,6087.684,0.0,0.0
medium,2,rescale,lattigo,1312.418,132.783,0.10117432098614923
medium,2,rot1,lattigo,6283.54,518.017,0.0824403123080302
medium,3,add_cc,lattigo,72.4,9.598,0.13256906077348066
medium,3,add_cp,lattigo,54.518,4.032,0.07395722513665211
medium,3,mul_cp,lattigo,230.913,9.218,0.03991979663336408
medium,3,mul_cc,lattigo,513.029,21.461,0.04183194322348249
medium,3,mul_cc_rlk,lattigo,7761.212,358.889,0.04624136024115821
medium,3,relin,lattigo,7248.183,0.0,0.0
medium,3,rescale,lattigo,1767.553,143.553,0.0812156693462657
medium,3,rot1,lattigo,7296.5,304.381,0.04171602823271431
medium,4,add_cc,lattigo,89.212,7.395,0.0828924359951576
medium,4,add_cp,lattigo,66.873,4.069,0.06084667952686435
medium,4,mul_cp,lattigo,329.361,65.845,0.19991741584462033
medium,4,mul_cc,lattigo,630.071,93.0,0.14760241306138513
medium,4,mul_cc_rlk,lattigo,11530.476,647.498,0.05615535733303638
medium,4,relin,lattigo,10900.405,0.0,0.0
medium,4,rescale,lattigo,2239.801,230.913,0.10309531962884204
medium,4,rot1,lattigo,11051.611,1108.039,0.10026040547391687
medium,5,add_cc,lattigo,102.418,4.04,0.03944619109922084
medium,5,add_cp,lattigo,79.94,3.767,0.0471228421315987
medium,5,mul_cp,lattigo,344.526,24.78,0.07192490552236987
medium,5,mul_cc,lattigo,734.387,50.471,0.06872534508372288
medium,5,mul_cc_rlk,lattigo,12657.441,200.466,0.015837798493392147
medium,5,relin,lattigo,11923.054,0.0,0.0
medium,5,rescale,lattigo,2628.948,120.79,0.045946135108035614
medium,5,rot1,lattigo,12201.962,815.729,0.06685228162487312
medium,6,add_cc,lattigo,119.54,4.906,0.041040655847415085
medium,6,add_cp,lattigo,92.726,3.504,0.03778875396328969
medium,6,mul_cp,lattigo,389.438,18.399,0.047245004339586796
medium,6,mul_cc,lattigo,853.346,33.1,0.03878848673340005
medium,6,mul_cc_rlk,lattigo,17769.139,1223.662,0.06886445088870091
medium,6,relin,lattigo,16915.792,0.0,0.0
medium,6,rescale,lattigo,3083.416,123.995,0.040213516437613346
medium,6,rot1,lattigo,16527.201,403.612,0.02442107408265925
medium,7,add_cc,lattigo,140.675,6.117,0.043483205971210234
medium,7,add_cp,lattigo,112.521,35.879,0.3188649229921526
medium,7,mul_cp,lattigo,445.885,33.858,0.07593437769828543
medium,7,mul_cc,lattigo,961.793,39.648,0.041223007445469036
medium,7,mul_cc_rlk,lattigo,19462.182,834.648,0.04288563327585777
medium,7,relin,lattigo,18500.389,0.0,0.0
medium,7,rescale,lattigo,3694.445,393.335,0.10646660053133826
medium,7,rot1,lattigo,18127.506,375.303,0.02070350990367897
medium,8,add_cc,lattigo,155.08,9.635,0.062129223626515344
medium,8,add_cp,lattigo,120.525,6.283,0.052130263430823484
medium,8,mul_cp,lattigo,516.074,39.301,0.076153807399714
medium,8,mul_cc,lattigo,1093.799,72.101,0.06591796116105426
medium,8,mul_cc_rlk,lattigo,24961.107,1220.614,0.04890063569696649
medium,8,relin,lattigo,23867.308,0.0,0.0
medium,8,rescale,lattigo,4104.345,421.029,0.10258128885364168
medium,8,rot1,lattigo,24234.436,1146.531,0.04730999310237712
medium,9,add_cc,lattigo,176.491,21.381,0.1211449875631052
medium,9,add_cp,lattigo,139.772,12.371,0.08850842801133275
medium,9,mul_cp,lattigo,631.284,142.947,0.22643849677799532
medium,9,mul_cc,lattigo,1294.128,132.598,0.10246127121892118
medium,9,mul_cc_rlk,lattigo,27467.952,2502.58,0.09110908596316172
medium,9,relin,lattigo,26173.824,0.0,0.0
medium,9,rescale,lattigo,4352.635,187.053,0.042974657879652205
medium,9,rot1,lattigo,25824.968,953.192,0.03690970691619056
medium,10,add_cc,lattigo,195.174,33.356,0.17090391138163896
medium,10,add_cp,lattigo,160.719,42.654,0.26539488175013537
medium,10,mul_cp,lattigo,639.865,77.874,0.12170379689465746
medium,10,mul_cc,lattigo,1328.213,51.185,0.03853674071854439
medium,10,mul_cc_rlk,lattigo,33550.465,1174.07,0.03499414985753551
medium,10,relin,lattigo,32222.252,0.0,0.0
medium,10,rescale,lattigo,4940.274,368.734,0.07463837026043493
medium,10,rot1,lattigo,32659.49,1823.077,0.055820743067328975
large,1,add_cc,lattigo,71.173,9.355,0.13144029336967672
large,1,add_cp,lattigo,54.658,9.088,0.1662702623586666
large,1,mul_cp,lattigo,229.14,25.784,0.11252509382910011
large,1,mul_cc,lattigo,473.699,11.05,0.02332704945545589
large,1,mul_cc_rlk,lattigo,7842.638,204.614,0.026089945755497067
large,1,relin,lattigo,7368.938,0.0,0.0
large,1,rescale,lattigo,1779.528,47.104,0.026469940343731596
large,1,rot1,lattigo,7300.986,163.631,0.02241217830030081
large,2,add_cc,lattigo,105.121,8.535,0.08119214999857308
large,2,add_cp,lattigo,80.77,6.291,0.07788782963971773
large,2,mul_cp,lattigo,345.494,30.551,0.08842700596826572
large,2,mul_cc,lattigo,713.975,14.844,0.020790643930109595
large,2,mul_cc_rlk,lattigo,13148.782,210.525,0.01601098869842089
large,2,relin,lattigo,12434.807,0.0,0.0
large,2,rescale,lattigo,2704.893,85.905,0.03175911209796469
large,2,rot1,lattigo,12569.978,215.405,0.017136465950855283
large,3,add_cc,lattigo,141.162,13.56,0.09605984613422876
large,3,add_cp,lattigo,107.129,4.57,0.042658850544670446
large,3,mul_cp,lattigo,454.901,32.326,0.07106161560427433
large,3,mul_cc,lattigo,965.335,31.609,0.032744073300978414
large,3,mul_cc_rlk,lattigo,15778.285,274.26,0.017382117257990968
large,3,relin,lattigo,14812.95,0.0,0.0
large,3,rescale,lattigo,3577.255,20.599,0.005758325867180282
large,3,rot1,lattigo,14732.107,160.065,0.010865044626678316
large,4,add_cc,lattigo,172.22,9.825,0.05704912321449308
large,4,add_cp,lattigo,139.111,17.191,0.12357757474247184
large,4,mul_cp,lattigo,555.858,24.522,0.044115583476355476
large,4,mul_cc,lattigo,1178.065,11.153,0.009467219550703908
large,4,mul_cc_rlk,lattigo,23595.967,1258.005,0.05331440750023087
large,4,relin,lattigo,22417.903,0.0,0.0
large,4,rescale,lattigo,4556.013,141.915,0.031148945360779258
large,4,rot1,lattigo,23144.945,2653.069,0.11462844262537673
large,5,add_cc,lattigo,214.314,24.06,0.11226518099610851
large,5,add_cp,lattigo,160.198,11.067,0.06908325946641032
large,5,mul_cp,lattigo,684.799,78.611,0.11479426809910646
large,5,mul_cc,lattigo,1419.224,20.772,0.014636167370337592
large,5,mul_cc_rlk,lattigo,26405.846,454.408,0.017208613577463113
large,5,relin,lattigo,24986.622,0.0,0.0
large,5,rescale,lattigo,5645.157,526.412,0.09325019658443512
large,5,rot1,lattigo,25742.622,1952.466,0.07584565395086794
large,6,add_cc,lattigo,237.79,9.449,0.03973674250388999
large,6,add_cp,lattigo,184.948,7.272,0.03931915998010251
large,6,mul_cp,lattigo,782.881,41.413,0.052898205474395214
large,6,mul_cc,lattigo,1871.403,227.549,0.12159273016020601
large,6,mul_cc_rlk,lattigo,36039.806,1493.527,0.04144103883356087
large,6,relin,lattigo,34168.404,0.0,0.0
large,6,rescale,lattigo,6339.162,36.611,0.005775369047202137
large,6,rot1,lattigo,34341.057,1022.632,0.029778699007430083
large,7,add_cc,lattigo,272.868,17.285,0.06334564697949192
large,7,add_cp,lattigo,207.934,5.571,0.026792155203093287
