preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,18.531,2.223,0.11996114618746964
small,1,add_cc,openfhe,65.827,6.881,0.10453157518951191
small,1,add_cp,lattigo,13.954,4.01,0.28737279633080115
small,1,add_cp,openfhe,44.91,5.823,0.12965931863727456
small,1,mul_cp,lattigo,55.629,4.124,0.07413399485879667
small,1,mul_cp,openfhe,89.489,9.086,0.10153203186983875
small,1,mul_cc,lattigo,132.831,23.082,0.17376967725907358
small,1,mul_cc,openfhe,378.518,44.667,0.11800495617117285
small,1,mul_cc_rlk,lattigo,2087.961,79.709,0.03817552147765212
small,1,mul_cc_rlk,openfhe,2728.68,686.535,0.251599674567923
small,1,relin,lattigo,1955.13,0.0,0.0
small,1,relin,openfhe,2350.161,0.0,0.0
small,1,rescale,lattigo,400.909,14.964,0.03732517853178652
small,1,rescale,openfhe,584.51,24.748,0.042339737557954525
small,1,rot1,lattigo,1951.495,81.153,0.041585041211993884
small,1,rot1,openfhe,2296.326,325.653,0.14181479458927
small,2,add_cc,lattigo,26.438,1.949,0.07371964596414253
small,2,add_cc,openfhe,87.605,5.081,0.057998972661377775
small,2,add_cp,lattigo,20.392,0.431,0.021135739505688506
small,2,add_cp,openfhe,69.971,5.179,0.07401637821383145
small,2,mul_cp,lattigo,81.797,3.301,0.04035600327640378
small,2,mul_cp,openfhe,158.736,9.121,0.05746018546517489
small,2,mul_cc,lattigo,209.149,44.934,0.21484205040425725
small,2,mul_cc,openfhe,958.259,403.561,0.42113979623462966
small,2,mul_cc_rlk,lattigo,3502.125,396.568,0.1132363921904558
small,2,mul_cc_rlk,openfhe,5602.83,2706.082,0.48298484872823194
small,2,relin,lattigo,3292.975,0.0,0.0
small,2,relin,openfhe,4644.571,0.0,0.0
small,2,rescale,lattigo,599.094,13.766,0.02297803015887323
small,2,rescale,openfhe,718.202,70.319,0.09790978025680798
small,2,rot1,lattigo,3252.915,241.33,0.07418884293011038
small,2,rot1,openfhe,4582.962,1374.896,0.3000016146762726
small,3,add_cc,lattigo,35.427,2.927,0.08262060010726283
small,3,add_cc,openfhe,222.415,346.748,1.5590135557403952
small,3,add_cp,lattigo,27.703,3.025,0.1091939501137061
small,3,add_cp,openfhe,109.808,32.651,0.2973462771382777
small,3,mul_cp,lattigo,116.232,10.543,0.09070651799848578
small,3,mul_cp,openfhe,232.932,46.613,0.2001141964178387
small,3,mul_cc,lattigo,253.306,21.907,0.08648433120415623
small,3,mul_cc,openfhe,1166.366,341.254,0.29257883031569853
small,3,mul_cc_rlk,lattigo,4965.939,210.188,0.04232593271886746
small,3,mul_cc_rlk,openfhe,29119.838,32081.549,1.101707674335276
small,3,relin,lattigo,4712.633,0.0,0.0
small,3,relin,openfhe,27953.472,0.0,0.0
small,3,rescale,lattigo,959.121,194.722,0.20302130805185165
small,3,rescale,openfhe,996.71,5.726,0.00574490072337992
small,3,rot1,lattigo,4797.631,320.468,0.06679713383542836
small,3,rot1,openfhe,5067.398,2984.85,0.5890301097328451
small,4,add_cc,lattigo,43.926,3.479,0.07920138414606383
small,4,add_cc,openfhe,150.57,7.218,0.047937836222355056
small,4,add_cp,lattigo,34.638,3.13,0.09036318494139385
small,4,add_cp,openfhe,138.447,90.192,0.6514550694489587
small,4,mul_cp,lattigo,150.623,7.015,0.04657323250765155
small,4,mul_cp,openfhe,273.745,7.389,0.026992273831485506
small,4,mul_cc,lattigo,298.754,10.58,0.035413751782402914
small,4,mul_cc,openfhe,1375.341,123.874,0.09006784499262364
small,4,mul_cc_rlk,lattigo,6806.417,216.392,0.03179235124735966
small,4,mul_cc_rlk,openfhe,9661.745,3738.703,0.38695939501611765
small,4,relin,lattigo,6507.663,0.0,0.0
small,4,relin,openfhe,8286.404,0.0,0.0
small,4,rescale,lattigo,1010.316,18.741,0.018549641894219232
small,4,rescale,openfhe,1240.119,229.868,0.18535963080962392
small,4,rot1,lattigo,6556.356,234.045,0.03569742094541541
small,4,rot1,openfhe,7928.364,1081.598,0.1364213348428503
small,5,add_cc,lattigo,59.942,11.651,0.19437122551800073
small,5,add_cc,openfhe,191.443,10.519,0.05494585855842209
small,5,add_cp,lattigo,41.036,3.748,0.09133443805439127
small,5,add_cp,openfhe,149.827,5.944,0.03967242219359662
small,5,mul_cp,lattigo,169.382,11.985,0.0707572233177079
small,5,mul_cp,openfhe,300.838,9.546,0.03173136372399763
small,5,mul_cc,lattigo,365.361,18.771,0.05137658370762069
small,5,mul_cc,openfhe,1663.201,172.881,0.10394474269796615
small,5,mul_cc_rlk,lattigo,8853.2,242.995,0.027447137758098764
small,5,mul_cc_rlk,openfhe,8601.388,814.965,0.09474808019356876
small,5,relin,lattigo,8487.839,0.0,0.0
small,5,relin,openfhe,6938.187,0.0,0.0
small,5,rescale,lattigo,1212.685,28.092,0.023165125321085032
small,5,rescale,openfhe,1589.615,496.6,0.31240268870135224
small,5,rot1,lattigo,8558.675,203.792,0.02381116235865949
