preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,18.531,2.223,0.11996114618746964
small,1,add_cc,openfhe,40.989,2.324,0.05669813852497011
small,1,add_cp,lattigo,13.954,4.01,0.28737279633080115
small,1,add_cp,openfhe,33.578,6.531,0.19450235273095476
small,1,mul_cp,lattigo,55.629,4.124,0.07413399485879667
small,1,mul_cp,openfhe,125.923,17.319,0.13753643099354365
small,1,mul_cc,lattigo,132.831,23.082,0.17376967725907358
small,1,mul_cc,openfhe,272.78,43.616,0.15989442041205368
small,1,mul_cc_rlk,lattigo,2087.961,79.709,0.03817552147765212
small,1,mul_cc_rlk,openfhe,3082.885,347.563,0.11273952807191963
small,1,relin,lattigo,1955.13,0.0,0.0
small,1,relin,openfhe,2810.105,0.0,0.0
small,1,rescale,lattigo,400.909,14.964,0.03732517853178652
small,1,rescale,openfhe,601.294,56.048,0.09321230546122197
small,1,rot1,lattigo,1951.495,81.153,0.041585041211993884
small,1,rot1,openfhe,2598.03,44.593,0.01716415899739418
small,2,add_cc,lattigo,26.438,1.949,0.07371964596414253
small,2,add_cc,openfhe,89.13,8.832,0.09909121507909796
small,2,add_cp,lattigo,20.392,0.431,0.021135739505688506
small,2,add_cp,openfhe,74.268,6.553,0.08823450207357139
small,2,mul_cp,lattigo,81.797,3.301,0.04035600327640378
small,2,mul_cp,openfhe,258.846,42.62,0.1646538868670947
small,2,mul_cc,lattigo,209.149,44.934,0.21484205040425725
small,2,mul_cc,openfhe,531.515,15.378,0.028932391371833344
small,2,mul_cc_rlk,lattigo,3502.125,396.568,0.1132363921904558
small,2,mul_cc_rlk,openfhe,5633.711,349.648,0.062063531480404305
small,2,relin,lattigo,3292.975,0.0,0.0
small,2,relin,openfhe,5102.196,0.0,0.0
small,2,rescale,lattigo,599.094,13.766,0.02297803015887323
small,2,rescale,openfhe,905.375,54.901,0.06063896175617838
small,2,rot1,lattigo,3252.915,241.33,0.07418884293011038
small,2,rot1,openfhe,5126.589,261.808,0.05106865403097459
small,3,add_cc,lattigo,35.427,2.927,0.08262060010726283
small,3,add_cc,openfhe,85.694,8.524,0.09947020794921463
small,3,add_cp,lattigo,27.703,3.025,0.1091939501137061
small,3,add_cp,openfhe,75.168,14.204,0.18896338867603235
small,3,mul_cp,lattigo,116.232,10.543,0.09070651799848578
small,3,mul_cp,openfhe,401.491,19.774,0.049251415349285545
small,3,mul_cc,lattigo,253.306,21.907,0.08648433120415623
small,3,mul_cc,openfhe,785.437,141.614,0.18029962937829513
small,3,mul_cc_rlk,lattigo,4965.939,210.188,0.04232593271886746
small,3,mul_cc_rlk,openfhe,6614.175,286.596,0.043330574107881936
small,3,relin,lattigo,4712.633,0.0,0.0
small,3,relin,openfhe,5828.738,0.0,0.0
small,3,rescale,lattigo,959.121,194.722,0.20302130805185165
small,3,rescale,openfhe,1362.426,145.245,0.106607624927886
small,3,rot1,lattigo,4797.631,320.468,0.06679713383542836
