library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,1,add_cc,17.094,3.451,30
lattigo,small,13,5,1,add_cp,10.732,0.351,30
lattigo,small,13,5,1,mul_cp,44.382,5.856,30
lattigo,small,13,5,1,mul_cc,95.059,7.993,30
lattigo,small,13,5,1,mul_cc_rlk,1651.054,109.618,30
lattigo,small,13,5,1,relin,1535.135,28.37,30
lattigo,small,13,5,1,rescale,317.176,19.153,30
lattigo,small,13,5,1,rot1,1533.872,26.055,30
lattigo,small,13,5,2,add_cc,25.792,3.603,30
lattigo,small,13,5,2,add_cp,16.952,1.349,30
lattigo,small,13,5,2,mul_cp,66.506,7.713,30
lattigo,small,13,5,2,mul_cc,143.762,11.196,30
lattigo,small,13,5,2,mul_cc_rlk,2656.259,31.068,30
lattigo,small,13,5,2,relin,2505.553,24.705,30
lattigo,small,13,5,2,rescale,467.636,16.047,30
lattigo,small,13,5,2,rot1,2509.895,26.807,30
lattigo,small,13,5,3,add_cc,32.615,5.936,30
lattigo,small,13,5,3,add_cp,21.686,4.548,30
lattigo,small,13,5,3,mul_cp,94.007,7.329,30
lattigo,small,13,5,3,mul_cc,198.849,16.407,30
lattigo,small,13,5,3,mul_cc_rlk,3862.63,19.03,30
lattigo,small,13,5,3,relin,3658.736,28.058,30
lattigo,small,13,5,3,rescale,619.699,17.678,30
lattigo,small,13,5,3,rot1,3687.327,35.096,30
lattigo,small,13,5,4,add_cc,46.591,6.475,30
lattigo,small,13,5,4,add_cp,29.675,5.327,30
lattigo,small,13,5,4,mul_cp,115.176,13.063,30
lattigo,small,13,5,4,mul_cc,259.801,19.565,30
lattigo,small,13,5,4,mul_cc_rlk,5355.378,117.524,30
lattigo,small,13,5,4,relin,5042.308,31.244,30
lattigo,small,13,5,4,rescale,773.961,15.591,30
lattigo,small,13,5,4,rot1,5064.77,30.716,30
lattigo,small,13,5,5,add_cc,68.876,7.859,30
lattigo,small,13,5,5,add_cp,39.49,4.243,30
lattigo,small,13,5,5,mul_cp,140.203,10.204,30
lattigo,small,13,5,5,mul_cc,306.933,15.73,30
lattigo,small,13,5,5,mul_cc_rlk,6927.58,43.202,30
lattigo,small,13,5,5,relin,6638.878,41.188,30
lattigo,small,13,5,5,rescale,929.368,19.58,30
lattigo,small,13,5,5,rot1,6623.153,36.556,30
lattigo,medium,14,10,1,add_cc,36.561,2.747,30
lattigo,medium,14,10,1,add_cp,23.065,1.116,30
lattigo,medium,14,10,1,mul_cp,88.224,3.188,30
lattigo,medium,14,10,1,mul_cc,194.464,6.234,30
lattigo,medium,14,10,1,mul_cc_rlk,2917.038,27.059,30
lattigo,medium,14,10,1,relin,2750.079,21.705,30
lattigo,medium,14,10,1,rescale,646.03,13.012,30
lattigo,medium,14,10,1,rot1,2712.618,21.005,30
lattigo,medium,14,10,2,add_cc,58.847,2.323,30
lattigo,medium,14,10,2,add_cp,40.963,2.283,30
lattigo,medium,14,10,2,mul_cp,137.363,4.939,30
lattigo,medium,14,10,2,mul_cc,296.925,7.112,30
lattigo,medium,14,10,2,mul_cc_rlk,4988.517,34.598,30
lattigo,medium,14,10,2,relin,4781.117,38.463,30
lattigo,medium,14,10,2,rescale,974.775,18.093,30
lattigo,medium,14,10,2,rot1,4677.234,23.544,30
lattigo,medium,14,10,3,add_cc,91.052,5.408,30
lattigo,medium,14,10,3,add_cp,65.349,3.08,30
lattigo,medium,14,10,3,mul_cp,186.354,7.719,30
