library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,medium,14,10,10,add_cc,268.975,9.747,30
lattigo,medium,14,10,10,add_cp,217.963,7.992,30
lattigo,medium,14,10,10,mul_cp,528.264,12.050,30
lattigo,medium,14,10,10,mul_cc,1151.670,18.415,30
lattigo,medium,14,10,10,mul_cc_rlk,27225.008,314.403,30
lattigo,medium,14,10,10,relin,25823.971,188.168,30
lattigo,medium,14,10,10,rescale,3567.971,23.708,30
lattigo,medium,14,10,10,rot1,25643.677,306.702,30
lattigo,medium,14,10,9,add_cc,241.487,6.648,30
lattigo,medium,14,10,9,add_cp,195.151,4.736,30
lattigo,medium,14,10,9,mul_cp,474.630,10.083,30
lattigo,medium,14,10,9,mul_cc,1019.282,16.285,30
lattigo,medium,14,10,9,mul_cc_rlk,21329.074,263.715,30
lattigo,medium,14,10,9,relin,20302.116,347.970,30
lattigo,medium,14,10,9,rescale,3240.029,32.037,30
lattigo,medium,14,10,9,rot1,19739.552,108.816,30
lattigo,medium,14,10,8,add_cc,215.735,6.580,30
lattigo,medium,14,10,8,add_cp,175.347,5.304,30
lattigo,medium,14,10,8,mul_cp,422.078,10.482,30
lattigo,medium,14,10,8,mul_cc,913.660,18.562,30
lattigo,medium,14,10,8,mul_cc_rlk,19460.072,260.876,30
lattigo,medium,14,10,8,relin,18739.186,145.919,30
lattigo,medium,14,10,8,rescale,2916.264,36.670,30
lattigo,medium,14,10,8,rot1,18673.994,391.947,30
lattigo,medium,14,10,7,add_cc,188.448,7.767,30
lattigo,medium,14,10,7,add_cp,154.278,4.407,30
lattigo,medium,14,10,7,mul_cp,370.691,10.420,30
lattigo,medium,14,10,7,mul_cc,813.789,24.937,30
lattigo,medium,14,10,7,mul_cc_rlk,15047.605,159.634,30
lattigo,medium,14,10,7,relin,14263.366,102.456,30
lattigo,medium,14,10,7,rescale,2592.288,20.845,30
lattigo,medium,14,10,7,rot1,13996.686,119.328,30
lattigo,medium,14,10,6,add_cc,166.004,7.452,30
lattigo,medium,14,10,6,add_cp,134.712,3.615,30
lattigo,medium,14,10,6,mul_cp,322.062,7.155,30
lattigo,medium,14,10,6,mul_cc,717.117,18.360,30
lattigo,medium,14,10,6,mul_cc_rlk,13427.027,123.302,30
lattigo,medium,14,10,6,relin,12782.144,35.819,30
lattigo,medium,14,10,6,rescale,2278.915,34.363,30
lattigo,medium,14,10,6,rot1,12568.960,77.659,30
lattigo,medium,14,10,5,add_cc,137.749,4.639,30
lattigo,medium,14,10,5,add_cp,115.038,3.452,30
lattigo,medium,14,10,5,mul_cp,278.499,14.557,30
lattigo,medium,14,10,5,mul_cc,592.077,14.405,30
lattigo,medium,14,10,5,mul_cc_rlk,9820.291,50.596,30
lattigo,medium,14,10,5,relin,9391.239,91.767,30
lattigo,medium,14,10,5,rescale,1943.832,24.442,30
lattigo,medium,14,10,5,rot1,9202.990,45.965,30
lattigo,medium,14,10,4,add_cc,115.380,4.148,30
lattigo,medium,14,10,4,add_cp,93.016,5.433,30
lattigo,medium,14,10,4,mul_cp,230.500,10.023,30
lattigo,medium,14,10,4,mul_cc,490.776,13.430,30
lattigo,medium,14,10,4,mul_cc_rlk,8650.272,48.204,30
lattigo,medium,14,10,4,relin,8428.546,97.649,30
lattigo,medium,14,10,4,rescale,1619.838,19.338,30
lattigo,medium,14,10,4,rot1,8189.403,74.654,30
lattigo,medium,14,10,3,add_cc,91.052,5.408,30
lattigo,medium,14,10,3,add_cp,65.349,3.080,30
lattigo,medium,14,10,3,mul_cp,186.354,7.719,30
lattigo,medium,14,10,3,mul_cc,402.803,18.263,30
lattigo,medium,14,10,3,mul_cc_rlk,5934.817,83.188,30
lattigo,medium,14,10,3,relin,5596.130,38.057,30
lattigo,medium,14,10,3,rescale,1302.458,25.822,30
lattigo,medium,14,10,3,rot1,5504.993,21.299,30
lattigo,medium,14,10,2,add_cc,58.847,2.323,30
lattigo,medium,14,10,2,add_cp,40.963,2.283,30
lattigo,medium,14,10,2,mul_cp,137.363,4.939,30
lattigo,medium,14,10,2,mul_cc,296.925,7.112,30
lattigo,medium,14,10,2,mul_cc_rlk,4988.517,34.598,30
lattigo,medium,14,10,2,relin,4781.117,38.463,30
lattigo,medium,14,10,2,rescale,974.775,18.093,30
lattigo,medium,14,10,2,rot1,4677.234,23.544,30
lattigo,medium,14,10,1,add_cc,36.561,2.747,30
lattigo,medium,14,10,1,add_cp,23.065,1.116,30
lattigo,medium,14,10,1,mul_cp,88.224,3.188,30
lattigo,medium,14,10,1,mul_cc,194.464,6.234,30
lattigo,medium,14,10,1,mul_cc_rlk,2917.038,27.059,30
lattigo,medium,14,10,1,relin,2750.079,21.705,30
lattigo,medium,14,10,1,rescale,646.030,13.012,30
lattigo,medium,14,10,1,rot1,2712.618,21.005,30
