library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,medium,14,10,10,add_cc,265.976,6.227,30
lattigo,medium,14,10,10,add_cp,216.673,6.124,30
lattigo,medium,14,10,10,mul_cc,1155.815,17.619,30
lattigo,medium,14,10,10,mul_cc_rlk,27243.141,547.463,30
lattigo,medium,14,10,10,mul_cp,522.261,11.228,30
lattigo,medium,14,10,10,relin,26087.326,0.000,30
lattigo,medium,14,10,10,rescale,3558.149,45.692,30
lattigo,medium,14,10,10,rot1,25229.742,194.255,30
lattigo,medium,14,10,9,add_cc,236.153,5.643,30
lattigo,medium,14,10,9,add_cp,196.402,6.199,30
lattigo,medium,14,10,9,mul_cc,1000.429,16.140,30
lattigo,medium,14,10,9,mul_cc_rlk,20902.171,303.303,30
lattigo,medium,14,10,9,mul_cp,464.649,8.061,30
lattigo,medium,14,10,9,relin,19901.742,0.000,30
lattigo,medium,14,10,9,rescale,3219.875,34.647,30
lattigo,medium,14,10,9,rot1,19701.609,205.585,30
lattigo,medium,14,10,8,add_cc,209.054,5.306,30
lattigo,medium,14,10,8,add_cp,172.768,4.210,30
lattigo,medium,14,10,8,mul_cc,898.519,14.399,30
lattigo,medium,14,10,8,mul_cc_rlk,19697.218,720.455,30
lattigo,medium,14,10,8,mul_cp,416.017,7.705,30
lattigo,medium,14,10,8,relin,18798.700,0.000,30
lattigo,medium,14,10,8,rescale,2896.662,18.376,30
lattigo,medium,14,10,8,rot1,18187.374,286.489,30
lattigo,medium,14,10,7,add_cc,183.699,6.058,30
lattigo,medium,14,10,7,add_cp,151.117,4.167,30
lattigo,medium,14,10,7,mul_cc,803.681,10.384,30
lattigo,medium,14,10,7,mul_cc_rlk,14687.496,112.976,30
lattigo,medium,14,10,7,mul_cp,367.986,7.416,30
lattigo,medium,14,10,7,relin,13869.472,0.000,30
lattigo,medium,14,10,7,rescale,2580.189,26.153,30
lattigo,medium,14,10,7,rot1,13849.454,95.783,30
lattigo,medium,14,10,6,add_cc,161.062,5.737,30
lattigo,medium,14,10,6,add_cp,132.754,3.459,30
lattigo,medium,14,10,6,mul_cc,704.077,34.048,30
lattigo,medium,14,10,6,mul_cc_rlk,13262.107,101.930,30
lattigo,medium,14,10,6,mul_cp,318.763,7.376,30
lattigo,medium,14,10,6,relin,12558.029,0.000,30
lattigo,medium,14,10,6,rescale,2255.529,22.678,30
lattigo,medium,14,10,6,rot1,12562.833,182.337,30
lattigo,medium,14,10,5,add_cc,138.802,5.738,30
lattigo,medium,14,10,5,add_cp,116.740,2.900,30
lattigo,medium,14,10,5,mul_cc,588.650,11.809,30
lattigo,medium,14,10,5,mul_cc_rlk,9790.832,69.361,30
lattigo,medium,14,10,5,mul_cp,275.306,6.727,30
lattigo,medium,14,10,5,relin,9194.792,0.000,30
lattigo,medium,14,10,5,rescale,1932.934,17.895,30
lattigo,medium,14,10,5,rot1,9174.587,46.611,30
lattigo,medium,14,10,4,add_cc,112.678,3.677,30
lattigo,medium,14,10,4,add_cp,90.109,3.034,30
lattigo,medium,14,10,4,mul_cc,486.477,10.383,30
lattigo,medium,14,10,4,mul_cc_rlk,8673.958,227.963,30
lattigo,medium,14,10,4,mul_cp,227.253,5.707,30
lattigo,medium,14,10,4,relin,8180.210,0.000,30
lattigo,medium,14,10,4,rescale,1612.938,19.212,30
lattigo,medium,14,10,4,rot1,8088.098,45.229,30
lattigo,medium,14,10,3,add_cc,87.669,3.498,30
lattigo,medium,14,10,3,add_cp,61.962,2.424,30
lattigo,medium,14,10,3,mul_cc,388.072,12.077,30
lattigo,medium,14,10,3,mul_cc_rlk,5846.471,38.054,30
lattigo,medium,14,10,3,mul_cp,181.779,5.523,30
lattigo,medium,14,10,3,relin,5388.103,0.000,30
lattigo,medium,14,10,3,rescale,1292.267,20.650,30
lattigo,medium,14,10,3,rot1,5479.996,54.091,30
lattigo,medium,14,10,2,add_cc,57.110,2.531,30
lattigo,medium,14,10,2,add_cp,35.799,2.207,30
lattigo,medium,14,10,2,mul_cc,289.946,7.026,30
lattigo,medium,14,10,2,mul_cc_rlk,4924.686,15.523,30
lattigo,medium,14,10,2,mul_cp,135.334,4.200,30
lattigo,medium,14,10,2,relin,4625.448,0.000,30
lattigo,medium,14,10,2,rescale,965.678,15.079,30
lattigo,medium,14,10,2,rot1,4650.104,13.816,30
lattigo,medium,14,10,1,add_cc,31.751,2.274,30
lattigo,medium,14,10,1,add_cp,20.637,1.285,30
lattigo,medium,14,10,1,mul_cc,191.421,7.628,30
lattigo,medium,14,10,1,mul_cc_rlk,2879.321,17.823,30
lattigo,medium,14,10,1,mul_cp,86.002,2.302,30
lattigo,medium,14,10,1,relin,2687.899,0.000,30
lattigo,medium,14,10,1,rescale,644.629,12.486,30
lattigo,medium,14,10,1,rot1,2695.579,17.163,30
