library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,medium,14,10,10,add_cc,267.427,12.370,30
lattigo,medium,14,10,10,add_cp,215.821,8.508,30
lattigo,medium,14,10,10,mul_cp,529.990,28.340,30
lattigo,medium,14,10,10,mul_cc,1158.689,21.974,30
lattigo,medium,14,10,10,mul_cc_rlk,27523.855,297.154,30
lattigo,medium,14,10,10,relin,26054.338,524.188,30
lattigo,medium,14,10,10,rescale,3563.569,35.154,30
lattigo,medium,14,10,10,rot1,25581.391,237.697,30
lattigo,medium,14,10,9,add_cc,240.321,8.160,30
lattigo,medium,14,10,9,add_cp,198.668,14.211,30
lattigo,medium,14,10,9,mul_cp,471.467,13.219,30
lattigo,medium,14,10,9,mul_cc,1026.464,23.993,30
lattigo,medium,14,10,9,mul_cc_rlk,21275.695,235.829,30
lattigo,medium,14,10,9,relin,20170.366,240.246,30
lattigo,medium,14,10,9,rescale,3237.391,25.114,30
lattigo,medium,14,10,9,rot1,19870.760,367.368,30
lattigo,medium,14,10,8,add_cc,215.117,7.749,30
lattigo,medium,14,10,8,add_cp,175.406,8.192,30
lattigo,medium,14,10,8,mul_cp,421.009,12.261,30
lattigo,medium,14,10,8,mul_cc,911.849,16.487,30
lattigo,medium,14,10,8,mul_cc_rlk,19888.424,567.386,30
lattigo,medium,14,10,8,relin,18800.374,381.709,30
lattigo,medium,14,10,8,rescale,2904.922,26.045,30
lattigo,medium,14,10,8,rot1,18250.164,234.769,30
lattigo,medium,14,10,7,add_cc,190.124,12.877,30
lattigo,medium,14,10,7,add_cp,154.957,6.746,30
lattigo,medium,14,10,7,mul_cp,371.846,14.160,30
lattigo,medium,14,10,7,mul_cc,806.918,14.103,30
lattigo,medium,14,10,7,mul_cc_rlk,14948.572,125.239,30
lattigo,medium,14,10,7,relin,14180.739,121.087,30
lattigo,medium,14,10,7,rescale,2594.060,33.957,30
lattigo,medium,14,10,7,rot1,14051.663,159.108,30
lattigo,medium,14,10,6,add_cc,162.410,6.127,30
lattigo,medium,14,10,6,add_cp,134.566,5.110,30
lattigo,medium,14,10,6,mul_cp,322.304,11.551,30
lattigo,medium,14,10,6,mul_cc,712.326,18.736,30
lattigo,medium,14,10,6,mul_cc_rlk,13354.255,105.453,30
lattigo,medium,14,10,6,relin,12788.366,90.430,30
lattigo,medium,14,10,6,rescale,2269.743,41.906,30
lattigo,medium,14,10,6,rot1,12591.748,60.939,30
lattigo,medium,14,10,5,add_cc,137.202,5.545,30
lattigo,medium,14,10,5,add_cp,115.595,4.388,30
lattigo,medium,14,10,5,mul_cp,277.534,18.005,30
lattigo,medium,14,10,5,mul_cc,589.876,11.215,30
lattigo,medium,14,10,5,mul_cc_rlk,9800.465,51.830,30
lattigo,medium,14,10,5,relin,9346.925,41.068,30
lattigo,medium,14,10,5,rescale,1939.457,19.565,30
lattigo,medium,14,10,5,rot1,9185.947,35.071,30
lattigo,medium,14,10,4,add_cc,116.693,6.822,30
lattigo,medium,14,10,4,add_cp,140.967,257.493,30
lattigo,medium,14,10,4,mul_cp,229.295,9.658,30
lattigo,medium,14,10,4,mul_cc,487.228,13.183,30
lattigo,medium,14,10,4,mul_cc_rlk,8640.295,41.104,30
lattigo,medium,14,10,4,relin,8267.473,42.947,30
lattigo,medium,14,10,4,rescale,1617.340,25.729,30
lattigo,medium,14,10,4,rot1,8117.224,28.472,30
lattigo,medium,14,10,3,add_cc,90.120,4.678,30
lattigo,medium,14,10,3,add_cp,66.026,3.872,30
lattigo,medium,14,10,3,mul_cp,180.472,6.310,30
lattigo,medium,14,10,3,mul_cc,396.938,12.213,30
lattigo,medium,14,10,3,mul_cc_rlk,5904.486,49.553,30
lattigo,medium,14,10,3,relin,5614.740,46.731,30
lattigo,medium,14,10,3,rescale,1295.293,20.729,30
lattigo,medium,14,10,3,rot1,5492.546,37.133,30
lattigo,medium,14,10,2,add_cc,56.342,3.128,30
lattigo,medium,14,10,2,add_cp,37.148,1.931,30
lattigo,medium,14,10,2,mul_cp,135.479,4.501,30
lattigo,medium,14,10,2,mul_cc,294.469,8.563,30
lattigo,medium,14,10,2,mul_cc_rlk,4983.643,40.528,30
lattigo,medium,14,10,2,relin,4816.159,144.656,30
lattigo,medium,14,10,2,rescale,971.089,18.646,30
lattigo,medium,14,10,2,rot1,4672.842,24.589,30
lattigo,medium,14,10,1,add_cc,32.371,3.091,30
lattigo,medium,14,10,1,add_cp,21.512,2.029,30
lattigo,medium,14,10,1,mul_cp,88.341,3.774,30
lattigo,medium,14,10,1,mul_cc,194.240,7.816,30
lattigo,medium,14,10,1,mul_cc_rlk,2937.152,44.019,30
lattigo,medium,14,10,1,relin,2765.914,30.868,30
lattigo,medium,14,10,1,rescale,647.982,11.553,30
lattigo,medium,14,10,1,rot1,2736.500,51.267,30
