library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,2057.912,161.905,30
openfhe,large,15,15,15,add_cp,1680.171,19.413,30
openfhe,large,15,15,15,mul_cp,3436.815,41.678,30
openfhe,large,15,15,15,mul_cc,11532.558,259.143,30
openfhe,large,15,15,15,mul_cc_rlk,114783.902,977.310,30
openfhe,large,15,15,15,relin,108334.385,1069.848,30
openfhe,large,15,15,15,rescale,18666.918,115.799,30
openfhe,large,15,15,15,rot1,105267.635,545.240,30
openfhe,large,15,15,14,add_cc,1700.509,61.779,30
openfhe,large,15,15,14,add_cp,1565.383,18.493,30
openfhe,large,15,15,14,mul_cp,3261.846,95.906,30
openfhe,large,15,15,14,mul_cc,10826.650,236.901,30
openfhe,large,15,15,14,mul_cc_rlk,107510.569,739.022,30
openfhe,large,15,15,14,relin,102140.730,592.472,30
openfhe,large,15,15,14,rescale,17216.303,93.826,30
openfhe,large,15,15,14,rot1,100008.810,893.273,30
openfhe,large,15,15,13,add_cc,1545.497,30.170,30
openfhe,large,15,15,13,add_cp,1445.330,15.870,30
openfhe,large,15,15,13,mul_cp,2990.696,36.421,30
openfhe,large,15,15,13,mul_cc,9919.935,174.846,30
openfhe,large,15,15,13,mul_cc_rlk,101867.268,855.437,30
openfhe,large,15,15,13,relin,95818.924,666.031,30
openfhe,large,15,15,13,rescale,16149.852,81.989,30
openfhe,large,15,15,13,rot1,94304.529,1121.326,30
openfhe,large,15,15,12,add_cc,1444.096,102.217,30
openfhe,large,15,15,12,add_cp,1338.355,18.669,30
openfhe,large,15,15,12,mul_cp,2762.856,20.981,30
openfhe,large,15,15,12,mul_cc,9229.316,237.671,30
openfhe,large,15,15,12,mul_cc_rlk,95893.570,1440.901,30
openfhe,large,15,15,12,relin,90857.967,851.904,30
openfhe,large,15,15,12,rescale,14794.664,37.755,30
openfhe,large,15,15,12,rot1,88782.764,866.276,30
openfhe,large,15,15,11,add_cc,1324.988,24.369,30
openfhe,large,15,15,11,add_cp,1228.451,17.257,30
openfhe,large,15,15,11,mul_cp,2553.647,33.451,30
openfhe,large,15,15,11,mul_cc,8206.159,227.189,30
openfhe,large,15,15,11,mul_cc_rlk,71818.909,717.884,30
openfhe,large,15,15,11,relin,67250.895,725.183,30
openfhe,large,15,15,11,rescale,13780.384,88.825,30
openfhe,large,15,15,11,rot1,65359.989,1927.663,30
openfhe,large,15,15,10,add_cc,1202.378,14.720,30
openfhe,large,15,15,10,add_cp,1112.915,13.012,30
openfhe,large,15,15,10,mul_cp,2333.755,29.108,30
openfhe,large,15,15,10,mul_cc,7294.990,127.842,30
openfhe,large,15,15,10,mul_cc_rlk,66387.590,588.332,30
openfhe,large,15,15,10,relin,62864.833,542.455,30
openfhe,large,15,15,10,rescale,12533.054,140.727,30
openfhe,large,15,15,10,rot1,61020.627,831.517,30
openfhe,large,15,15,9,add_cc,1082.295,14.950,30
openfhe,large,15,15,9,add_cp,1006.216,11.351,30
openfhe,large,15,15,9,mul_cp,2117.474,23.347,30
openfhe,large,15,15,9,mul_cc,6533.819,139.417,30
openfhe,large,15,15,9,mul_cc_rlk,61304.289,671.113,30
openfhe,large,15,15,9,relin,58071.847,762.754,30
openfhe,large,15,15,9,rescale,11362.541,46.491,30
openfhe,large,15,15,9,rot1,55697.791,746.033,30
openfhe,large,15,15,8,add_cc,970.874,20.770,30
openfhe,large,15,15,8,add_cp,894.735,11.788,30
openfhe,large,15,15,8,mul_cp,1901.017,18.898,30
openfhe,large,15,15,8,mul_cc,5760.984,76.674,30
openfhe,large,15,15,8,mul_cc_rlk,57270.648,1230.228,30
openfhe,large,15,15,8,relin,52865.308,376.654,30
openfhe,large,15,15,8,rescale,10050.340,22.580,30
openfhe,large,15,15,8,rot1,51743.303,878.774,30
openfhe,large,15,15,7,add_cc,854.638,14.587,30
