library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,large,15,15,15,add_cc,1988.600,183.670,30
openfhe,large,15,15,15,add_cp,1937.940,310.514,30
openfhe,large,15,15,15,mul_cp,1796.470,19.897,30
openfhe,large,15,15,15,mul_cc,13469.381,2295.634,30
openfhe,large,15,15,15,mul_cc_rlk,50638.580,11142.325,30
openfhe,large,15,15,15,relin,48289.903,23108.295,30
openfhe,large,15,15,15,rescale,3296.215,99.928,30
openfhe,large,15,15,15,rot1,38782.111,8260.598,30
openfhe,large,15,15,14,add_cc,1653.969,137.647,30
openfhe,large,15,15,14,add_cp,1592.194,106.625,30
openfhe,large,15,15,14,mul_cp,1497.710,33.170,30
openfhe,large,15,15,14,mul_cc,12303.349,1285.190,30
openfhe,large,15,15,14,mul_cc_rlk,53360.787,9542.044,30
openfhe,large,15,15,14,relin,37608.445,7347.957,30
openfhe,large,15,15,14,rescale,3479.147,48.285,30
openfhe,large,15,15,14,rot1,43281.568,10098.060,30
openfhe,large,15,15,13,add_cc,1817.318,10.074,30
openfhe,large,15,15,13,add_cp,1666.276,45.114,30
openfhe,large,15,15,13,mul_cp,1671.086,14.706,30
openfhe,large,15,15,13,mul_cc,10342.936,661.107,30
openfhe,large,15,15,13,mul_cc_rlk,45864.685,9353.424,30
openfhe,large,15,15,13,relin,37667.478,9336.412,30
openfhe,large,15,15,13,rescale,3997.838,38.168,30
openfhe,large,15,15,13,rot1,42957.927,13558.240,30
openfhe,large,15,15,12,add_cc,1730.951,289.837,30
openfhe,large,15,15,12,add_cp,1470.134,29.370,30
openfhe,large,15,15,12,mul_cp,1551.802,15.583,30
openfhe,large,15,15,12,mul_cc,9194.539,120.422,30
openfhe,large,15,15,12,mul_cc_rlk,39660.493,6980.034,30
openfhe,large,15,15,12,relin,35239.056,8680.602,30
openfhe,large,15,15,12,rescale,3353.360,208.363,30
openfhe,large,15,15,12,rot1,41435.624,20168.766,30
openfhe,large,15,15,11,add_cc,1447.094,15.817,30
openfhe,large,15,15,11,add_cp,1373.767,144.239,30
openfhe,large,15,15,11,mul_cp,1379.692,10.296,30
openfhe,large,15,15,11,mul_cc,8272.301,99.685,30
openfhe,large,15,15,11,mul_cc_rlk,37747.532,13001.788,30
openfhe,large,15,15,11,relin,31371.670,13770.327,30
openfhe,large,15,15,11,rescale,3821.362,16.233,30
openfhe,large,15,15,11,rot1,30136.030,7702.220,30
openfhe,large,15,15,10,add_cc,1321.148,11.195,30
openfhe,large,15,15,10,add_cp,1251.360,170.985,30
openfhe,large,15,15,10,mul_cp,1291.147,18.632,30
openfhe,large,15,15,10,mul_cc,7625.160,354.601,30
openfhe,large,15,15,10,mul_cc_rlk,30048.953,7133.182,30
openfhe,large,15,15,10,relin,27054.492,6540.575,30
openfhe,large,15,15,10,rescale,3352.807,227.871,30
openfhe,large,15,15,10,rot1,25748.050,9634.142,30
openfhe,large,15,15,9,add_cc,1247.302,12.612,30
openfhe,large,15,15,9,add_cp,1144.710,14.838,30
openfhe,large,15,15,9,mul_cp,1254.263,11.144,30
openfhe,large,15,15,9,mul_cc,6742.925,63.135,30
openfhe,large,15,15,9,mul_cc_rlk,30209.288,6875.411,30
openfhe,large,15,15,9,relin,22849.678,4157.628,30
openfhe,large,15,15,9,rescale,3596.137,29.187,30
openfhe,large,15,15,9,rot1,22444.779,5896.571,30
openfhe,large,15,15,8,add_cc,1007.014,10.001,30
openfhe,large,15,15,8,add_cp,962.040,36.213,30
openfhe,large,15,15,8,mul_cp,1102.661,28.618,30
openfhe,large,15,15,8,mul_cc,6337.063,623.988,30
openfhe,large,15,15,8,mul_cc_rlk,27623.714,4864.035,30
openfhe,large,15,15,8,relin,22574.486,3593.054,30
openfhe,large,15,15,8,rescale,3598.568,11.873,30
openfhe,large,15,15,8,rot1,22014.609,3588.840,30
openfhe,large,15,15,7,add_cc,1066.071,10.178,30
openfhe,large,15,15,7,add_cp,918.690,10.542,30
openfhe,large,15,15,7,mul_cp,1054.428,10.453,30
openfhe,large,15,15,7,mul_cc,5463.711,198.757,30
openfhe,large,15,15,7,mul_cc_rlk,36334.075,10345.644,30
openfhe,large,15,15,7,relin,23882.350,2771.721,30
openfhe,large,15,15,7,rescale,4198.656,90.553,30
openfhe,large,15,15,7,rot1,24469.958,6052.974,30
openfhe,large,15,15,6,add_cc,942.263,6.136,30
openfhe,large,15,15,6,add_cp,988.105,4.611,30
openfhe,large,15,15,6,mul_cp,1022.590,3.560,30
openfhe,large,15,15,6,mul_cc,7084.975,35.074,30
openfhe,large,15,15,6,mul_cc_rlk,30499.776,6790.168,30
openfhe,large,15,15,6,relin,24278.996,5248.294,30
openfhe,large,15,15,6,rescale,3987.636,13.656,30
openfhe,large,15,15,6,rot1,22215.810,3775.943,30
openfhe,large,15,15,5,add_cc,797.775,8.741,30
openfhe,large,15,15,5,add_cp,810.963,6.925,30
openfhe,large,15,15,5,mul_cp,893.131,28.157,30
openfhe,large,15,15,5,mul_cc,3778.871,83.456,30
openfhe,large,15,15,5,mul_cc_rlk,17222.707,4686.835,30
openfhe,large,15,15,5,relin,13758.154,2613.885,30
openfhe,large,15,15,5,rescale,3305.392,32.278,30
openfhe,large,15,15,5,rot1,13301.176,2954.496,30
openfhe,large,15,15,4,add_cc,554.590,8.583,30
openfhe,large,15,15,4,add_cp,523.748,16.407,30
openfhe,large,15,15,4,mul_cp,641.561,5.316,30
openfhe,large,15,15,4,mul_cc,3091.473,26.005,30
openfhe,large,15,15,4,mul_cc_rlk,15587.002,3599.117,30
openfhe,large,15,15,4,relin,13177.479,4394.353,30
openfhe,large,15,15,4,rescale,2815.390,330.903,30
openfhe,large,15,15,4,rot1,17200.724,5794.773,30
openfhe,large,15,15,3,add_cc,369.899,8.964,30
openfhe,large,15,15,3,add_cp,352.680,7.280,30
openfhe,large,15,15,3,mul_cp,432.519,6.974,30
openfhe,large,15,15,3,mul_cc,2163.504,22.323,30
openfhe,large,15,15,3,mul_cc_rlk,12024.337,2608.955,30
openfhe,large,15,15,3,relin,10162.311,1372.303,30
openfhe,large,15,15,3,rescale,2295.965,20.570,30
openfhe,large,15,15,3,rot1,9731.405,3326.119,30
openfhe,large,15,15,2,add_cc,287.335,6.756,30
openfhe,large,15,15,2,add_cp,252.594,5.368,30
openfhe,large,15,15,2,mul_cp,354.164,7.670,30
openfhe,large,15,15,2,mul_cc,1433.876,15.932,30
openfhe,large,15,15,2,mul_cc_rlk,10134.997,3124.797,30
openfhe,large,15,15,2,relin,8938.794,551.741,30
openfhe,large,15,15,2,rescale,1930.963,14.514,30
openfhe,large,15,15,2,rot1,9683.058,6086.693,30
openfhe,large,15,15,1,add_cc,183.576,5.554,30
openfhe,large,15,15,1,add_cp,159.756,5.857,30
openfhe,large,15,15,1,mul_cp,272.375,5.552,30
openfhe,large,15,15,1,mul_cc,950.171,17.284,30
openfhe,large,15,15,1,mul_cc_rlk,8481.719,556.940,30
openfhe,large,15,15,1,relin,10318.557,3408.659,30
openfhe,large,15,15,1,rescale,1854.731,19.598,30
openfhe,large,15,15,1,rot1,8617.565,1146.230,30
