library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,612.779,11.380,30
openfhe,medium,14,10,10,add_cp,563.332,8.591,30
openfhe,medium,14,10,10,mul_cp,1195.566,23.266,30
openfhe,medium,14,10,10,mul_cc,3512.655,22.943,30
openfhe,medium,14,10,10,mul_cc_rlk,36443.873,384.506,30
openfhe,medium,14,10,10,relin,34580.981,916.777,30
openfhe,medium,14,10,10,rescale,6171.488,28.533,30
openfhe,medium,14,10,10,rot1,33678.523,622.083,30
openfhe,medium,14,10,9,add_cc,557.569,11.355,30
openfhe,medium,14,10,9,add_cp,497.139,13.186,30
openfhe,medium,14,10,9,mul_cp,1084.072,18.744,30
openfhe,medium,14,10,9,mul_cc,3223.676,90.616,30
openfhe,medium,14,10,9,mul_cc_rlk,34520.921,891.689,30
openfhe,medium,14,10,9,relin,31632.421,311.252,30
openfhe,medium,14,10,9,rescale,5533.445,63.353,30
openfhe,medium,14,10,9,rot1,32223.289,890.152,30
openfhe,medium,14,10,8,add_cc,498.221,6.998,30
openfhe,medium,14,10,8,add_cp,435.212,14.046,30
openfhe,medium,14,10,8,mul_cp,967.242,15.550,30
openfhe,medium,14,10,8,mul_cc,2876.175,43.610,30
openfhe,medium,14,10,8,mul_cc_rlk,30876.632,226.065,30
openfhe,medium,14,10,8,relin,29327.490,229.246,30
openfhe,medium,14,10,8,rescale,5019.432,17.036,30
openfhe,medium,14,10,8,rot1,28574.888,307.725,30
openfhe,medium,14,10,7,add_cc,437.676,12.607,30
openfhe,medium,14,10,7,add_cp,371.034,13.184,30
openfhe,medium,14,10,7,mul_cp,856.168,16.792,30
openfhe,medium,14,10,7,mul_cc,2550.063,24.122,30
openfhe,medium,14,10,7,mul_cc_rlk,23117.448,435.211,30
openfhe,medium,14,10,7,relin,21263.214,217.432,30
openfhe,medium,14,10,7,rescale,4375.090,27.892,30
openfhe,medium,14,10,7,rot1,20653.778,128.858,30
openfhe,medium,14,10,6,add_cc,378.605,14.631,30
openfhe,medium,14,10,6,add_cp,306.720,11.163,30
openfhe,medium,14,10,6,mul_cp,739.001,13.809,30
openfhe,medium,14,10,6,mul_cc,2214.396,20.799,30
openfhe,medium,14,10,6,mul_cc_rlk,20642.935,132.443,30
openfhe,medium,14,10,6,relin,18923.902,54.612,30
openfhe,medium,14,10,6,rescale,3870.519,82.648,30
openfhe,medium,14,10,6,rot1,18710.501,158.044,30
openfhe,medium,14,10,5,add_cc,314.914,9.177,30
openfhe,medium,14,10,5,add_cp,247.636,6.719,30
openfhe,medium,14,10,5,mul_cp,617.127,11.384,30
openfhe,medium,14,10,5,mul_cc,1867.335,16.903,30
openfhe,medium,14,10,5,mul_cc_rlk,18143.270,158.563,30
openfhe,medium,14,10,5,relin,17100.897,75.586,30
openfhe,medium,14,10,5,rescale,3136.902,22.677,30
openfhe,medium,14,10,5,rot1,16798.718,120.447,30
openfhe,medium,14,10,4,add_cc,257.293,7.140,30
openfhe,medium,14,10,4,add_cp,198.467,6.129,30
openfhe,medium,14,10,4,mul_cp,505.965,10.047,30
openfhe,medium,14,10,4,mul_cc,1552.540,22.669,30
openfhe,medium,14,10,4,mul_cc_rlk,16190.541,150.997,30
openfhe,medium,14,10,4,relin,15362.066,69.929,30
openfhe,medium,14,10,4,rescale,2677.289,16.156,30
openfhe,medium,14,10,4,rot1,15125.656,136.610,30
openfhe,medium,14,10,3,add_cc,195.766,8.579,30
openfhe,medium,14,10,3,add_cp,158.391,7.115,30
openfhe,medium,14,10,3,mul_cp,398.924,10.331,30
openfhe,medium,14,10,3,mul_cc,1000.224,14.435,30
openfhe,medium,14,10,3,mul_cc_rlk,10215.049,38.241,30
openfhe,medium,14,10,3,relin,9799.314,37.605,30
openfhe,medium,14,10,3,rescale,2034.319,16.869,30
openfhe,medium,14,10,3,rot1,9278.314,39.280,30
openfhe,medium,14,10,2,add_cc,134.035,7.552,30
openfhe,medium,14,10,2,add_cp,105.379,6.158,30
openfhe,medium,14,10,2,mul_cp,287.688,10.269,30
openfhe,medium,14,10,2,mul_cc,724.504,17.883,30
openfhe,medium,14,10,2,mul_cc_rlk,8293.722,35.916,30
openfhe,medium,14,10,2,relin,7975.989,63.948,30
openfhe,medium,14,10,2,rescale,1529.838,18.343,30
openfhe,medium,14,10,2,rot1,7590.658,30.073,30
openfhe,medium,14,10,1,add_cc,79.778,5.600,30
openfhe,medium,14,10,1,add_cp,59.408,4.985,30
openfhe,medium,14,10,1,mul_cp,184.990,8.236,30
openfhe,medium,14,10,1,mul_cc,458.345,14.313,30
openfhe,medium,14,10,1,mul_cc_rlk,6773.621,28.589,30
openfhe,medium,14,10,1,relin,6357.497,32.742,30
openfhe,medium,14,10,1,rescale,891.082,16.334,30
openfhe,medium,14,10,1,rot1,6402.628,36.694,30
