library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
openfhe,medium,14,10,10,add_cc,642.207,17.771,30
openfhe,medium,14,10,10,add_cp,606.005,16.066,30
openfhe,medium,14,10,10,mul_cp,615.071,58.805,30
openfhe,medium,14,10,10,mul_cc,3553.571,113.317,30
openfhe,medium,14,10,10,mul_cc_rlk,20651.636,12201.005,30
openfhe,medium,14,10,10,relin,13081.653,3709.385,30
openfhe,medium,14,10,10,rescale,1438.200,45.074,30
openfhe,medium,14,10,10,rot1,13376.396,6568.018,30
openfhe,medium,14,10,9,add_cc,639.462,33.280,30
openfhe,medium,14,10,9,add_cp,557.831,10.094,30
openfhe,medium,14,10,9,mul_cp,588.206,11.654,30
openfhe,medium,14,10,9,mul_cc,3167.879,35.824,30
openfhe,medium,14,10,9,mul_cc_rlk,16944.137,7650.600,30
openfhe,medium,14,10,9,relin,15695.968,5720.981,30
openfhe,medium,14,10,9,rescale,1386.706,67.528,30
openfhe,medium,14,10,9,rot1,11307.005,847.174,30
openfhe,medium,14,10,8,add_cc,561.870,11.243,30
openfhe,medium,14,10,8,add_cp,491.318,10.521,30
openfhe,medium,14,10,8,mul_cp,575.061,18.124,30
openfhe,medium,14,10,8,mul_cc,2849.512,25.060,30
openfhe,medium,14,10,8,mul_cc_rlk,20005.341,13051.680,30
openfhe,medium,14,10,8,relin,16255.878,6137.253,30
openfhe,medium,14,10,8,rescale,1790.119,66.824,30
openfhe,medium,14,10,8,rot1,17731.605,8223.133,30
openfhe,medium,14,10,7,add_cc,565.745,14.000,30
openfhe,medium,14,10,7,add_cp,550.296,9.854,30
openfhe,medium,14,10,7,mul_cp,573.583,8.742,30
openfhe,medium,14,10,7,mul_cc,4122.632,28.357,30
openfhe,medium,14,10,7,mul_cc_rlk,17089.754,9410.908,30
openfhe,medium,14,10,7,relin,12022.697,4290.316,30
openfhe,medium,14,10,7,rescale,1700.892,12.483,30
openfhe,medium,14,10,7,rot1,19444.502,12428.941,30
openfhe,medium,14,10,6,add_cc,426.681,12.396,30
openfhe,medium,14,10,6,add_cp,380.387,12.506,30
openfhe,medium,14,10,6,mul_cp,411.093,15.861,30
openfhe,medium,14,10,6,mul_cc,2218.211,22.776,30
openfhe,medium,14,10,6,mul_cc_rlk,10140.338,2375.218,30
openfhe,medium,14,10,6,relin,8331.136,2169.250,30
openfhe,medium,14,10,6,rescale,1291.390,19.464,30
openfhe,medium,14,10,6,rot1,10010.737,4957.958,30
openfhe,medium,14,10,5,add_cc,406.010,10.864,30
openfhe,medium,14,10,5,add_cp,319.085,8.344,30
openfhe,medium,14,10,5,mul_cp,387.972,10.656,30
openfhe,medium,14,10,5,mul_cc,1919.567,26.520,30
openfhe,medium,14,10,5,mul_cc_rlk,11204.287,4763.141,30
openfhe,medium,14,10,5,relin,9768.198,3242.280,30
openfhe,medium,14,10,5,rescale,1243.090,15.763,30
openfhe,medium,14,10,5,rot1,10319.274,5739.694,30
openfhe,medium,14,10,4,add_cc,304.428,11.803,30
openfhe,medium,14,10,4,add_cp,239.650,8.177,30
openfhe,medium,14,10,4,mul_cp,306.134,9.221,30
openfhe,medium,14,10,4,mul_cc,1596.252,19.732,30
openfhe,medium,14,10,4,mul_cc_rlk,10472.210,3376.730,30
openfhe,medium,14,10,4,relin,8358.019,2956.908,30
openfhe,medium,14,10,4,rescale,1211.462,14.466,30
openfhe,medium,14,10,4,rot1,9091.268,4392.910,30
openfhe,medium,14,10,3,add_cc,256.044,8.447,30
openfhe,medium,14,10,3,add_cp,194.618,5.511,30
openfhe,medium,14,10,3,mul_cp,263.134,6.349,30
openfhe,medium,14,10,3,mul_cc,1277.753,19.646,30
openfhe,medium,14,10,3,mul_cc_rlk,5821.000,339.290,30
openfhe,medium,14,10,3,relin,5912.503,2957.995,30
openfhe,medium,14,10,3,rescale,1167.435,31.754,30
openfhe,medium,14,10,3,rot1,5530.148,3544.295,30
openfhe,medium,14,10,2,add_cc,175.150,5.010,30
openfhe,medium,14,10,2,add_cp,130.940,5.811,30
openfhe,medium,14,10,2,mul_cp,199.595,5.279,30
openfhe,medium,14,10,2,mul_cc,938.707,13.320,30
openfhe,medium,14,10,2,mul_cc_rlk,5651.123,1331.561,30
openfhe,medium,14,10,2,relin,5628.670,3592.276,30
openfhe,medium,14,10,2,rescale,1084.164,12.151,30
openfhe,medium,14,10,2,rot1,4406.862,345.203,30
openfhe,medium,14,10,1,add_cc,81.361,2.699,30
openfhe,medium,14,10,1,add_cp,62.959,4.880,30
openfhe,medium,14,10,1,mul_cp,127.403,3.722,30
openfhe,medium,14,10,1,mul_cc,454.745,11.125,30
openfhe,medium,14,10,1,mul_cc_rlk,4598.027,2806.376,30
openfhe,medium,14,10,1,relin,9196.666,7213.413,30
openfhe,medium,14,10,1,rescale,874.358,15.602,30
openfhe,medium,14,10,1,rot1,4106.872,1993.212,30
