library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,medium,14,10,10,add_cc,445.554,20.010,30
seal,medium,14,10,10,add_cp,300.897,8.593,30
seal,medium,14,10,10,mul_cp,1290.885,20.867,30
seal,medium,14,10,10,mul_cc,2622.713,17.278,30
seal,medium,14,10,10,mul_cc_rlk,33934.020,443.987,30
seal,medium,14,10,10,relin,31406.945,183.243,30
seal,medium,14,10,10,rescale,4180.914,197.726,30
seal,medium,14,10,10,rot1,31465.993,231.837,30
seal,medium,14,10,9,add_cc,396.224,19.186,30
seal,medium,14,10,9,add_cp,266.143,11.779,30
seal,medium,14,10,9,mul_cp,1166.590,17.084,30
seal,medium,14,10,9,mul_cc,2384.650,12.569,30
seal,medium,14,10,9,mul_cc_rlk,28560.871,277.566,30
seal,medium,14,10,9,relin,26527.852,314.954,30
seal,medium,14,10,9,rescale,3819.745,204.821,30
seal,medium,14,10,9,rot1,26512.706,221.758,30
seal,medium,14,10,8,add_cc,362.909,15.998,30
seal,medium,14,10,8,add_cp,236.501,10.175,30
seal,medium,14,10,8,mul_cp,1054.656,15.395,30
seal,medium,14,10,8,mul_cc,2144.821,17.213,30
seal,medium,14,10,8,mul_cc_rlk,23818.998,205.823,30
seal,medium,14,10,8,relin,21724.880,276.893,30
seal,medium,14,10,8,rescale,3369.546,22.448,30
seal,medium,14,10,8,rot1,21793.901,277.114,30
seal,medium,14,10,7,add_cc,319.497,16.660,30
seal,medium,14,10,7,add_cp,207.252,11.490,30
seal,medium,14,10,7,mul_cp,932.405,14.328,30
seal,medium,14,10,7,mul_cc,1905.582,26.001,30
seal,medium,14,10,7,mul_cc_rlk,19779.388,181.227,30
seal,medium,14,10,7,relin,17746.911,160.445,30
seal,medium,14,10,7,rescale,2991.990,66.531,30
seal,medium,14,10,7,rot1,17745.521,120.540,30
seal,medium,14,10,6,add_cc,277.741,11.987,30
seal,medium,14,10,6,add_cp,177.860,6.513,30
seal,medium,14,10,6,mul_cp,831.136,40.758,30
seal,medium,14,10,6,mul_cc,1662.871,18.403,30
seal,medium,14,10,6,mul_cc_rlk,15699.435,258.135,30
seal,medium,14,10,6,relin,14069.814,112.058,30
seal,medium,14,10,6,rescale,2580.968,22.201,30
seal,medium,14,10,6,rot1,14090.982,85.929,30
seal,medium,14,10,5,add_cc,232.428,13.482,30
seal,medium,14,10,5,add_cp,141.889,4.237,30
seal,medium,14,10,5,mul_cp,689.717,13.423,30
seal,medium,14,10,5,mul_cc,1422.156,16.396,30
seal,medium,14,10,5,mul_cc_rlk,12276.344,112.201,30
seal,medium,14,10,5,relin,10940.744,90.042,30
seal,medium,14,10,5,rescale,2191.122,20.739,30
seal,medium,14,10,5,rot1,11005.083,62.180,30
seal,medium,14,10,4,add_cc,189.976,11.349,30
seal,medium,14,10,4,add_cp,116.725,5.058,30
seal,medium,14,10,4,mul_cp,566.805,13.518,30
seal,medium,14,10,4,mul_cc,1181.283,12.168,30
seal,medium,14,10,4,mul_cc_rlk,9352.259,91.723,30
seal,medium,14,10,4,relin,8231.592,213.380,30
seal,medium,14,10,4,rescale,1783.575,6.816,30
seal,medium,14,10,4,rot1,8259.429,51.635,30
seal,medium,14,10,3,add_cc,146.434,8.415,30
seal,medium,14,10,3,add_cp,90.689,5.689,30
seal,medium,14,10,3,mul_cp,441.760,11.231,30
seal,medium,14,10,3,mul_cc,942.710,19.210,30
seal,medium,14,10,3,mul_cc_rlk,6772.155,51.603,30
seal,medium,14,10,3,relin,5958.590,181.882,30
seal,medium,14,10,3,rescale,1407.733,21.008,30
seal,medium,14,10,3,rot1,5961.200,29.841,30
seal,medium,14,10,2,add_cc,101.865,7.781,30
seal,medium,14,10,2,add_cp,62.810,3.375,30
seal,medium,14,10,2,mul_cp,324.560,7.928,30
seal,medium,14,10,2,mul_cc,694.537,10.274,30
seal,medium,14,10,2,mul_cc_rlk,4620.404,65.490,30
seal,medium,14,10,2,relin,3976.613,28.816,30
seal,medium,14,10,2,rescale,1019.363,10.674,30
seal,medium,14,10,2,rot1,4005.242,32.871,30
seal,medium,14,10,1,add_cc,57.619,2.771,30
seal,medium,14,10,1,add_cp,34.532,2.061,30
seal,medium,14,10,1,mul_cp,209.901,5.973,30
seal,medium,14,10,1,mul_cc,454.531,7.846,30
seal,medium,14,10,1,mul_cc_rlk,2821.678,34.128,30
seal,medium,14,10,1,relin,2377.104,22.672,30
seal,medium,14,10,1,rescale,640.628,10.955,30
seal,medium,14,10,1,rot1,2407.895,29.281,30
