library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
seal,medium,14,10,10,add_cc,448.080,18.746,30
seal,medium,14,10,10,add_cp,295.394,10.830,30
seal,medium,14,10,10,mul_cp,1286.363,21.786,30
seal,medium,14,10,10,mul_cc,2623.895,14.916,30
seal,medium,14,10,10,mul_cc_rlk,33937.768,290.936,30
seal,medium,14,10,10,relin,31694.340,684.508,30
seal,medium,14,10,10,rescale,4160.146,61.017,30
seal,medium,14,10,10,rot1,31760.516,306.224,30
seal,medium,14,10,9,add_cc,402.391,14.604,30
seal,medium,14,10,9,add_cp,269.281,9.245,30
seal,medium,14,10,9,mul_cp,1168.468,16.807,30
seal,medium,14,10,9,mul_cc,2443.587,109.535,30
seal,medium,14,10,9,mul_cc_rlk,28666.258,181.717,30
seal,medium,14,10,9,relin,26432.957,125.954,30
seal,medium,14,10,9,rescale,3783.555,71.055,30
seal,medium,14,10,9,rot1,27973.938,1451.810,30
seal,medium,14,10,8,add_cc,366.221,14.798,30
seal,medium,14,10,8,add_cp,238.453,10.378,30
seal,medium,14,10,8,mul_cp,1058.312,35.963,30
seal,medium,14,10,8,mul_cc,2145.143,30.870,30
seal,medium,14,10,8,mul_cc_rlk,23646.515,239.524,30
seal,medium,14,10,8,relin,21592.019,205.641,30
seal,medium,14,10,8,rescale,3378.448,47.023,30
seal,medium,14,10,8,rot1,21665.868,239.452,30
seal,medium,14,10,7,add_cc,326.747,10.997,30
seal,medium,14,10,7,add_cp,210.373,7.963,30
seal,medium,14,10,7,mul_cp,928.299,13.873,30
seal,medium,14,10,7,mul_cc,1889.149,18.433,30
seal,medium,14,10,7,mul_cc_rlk,19263.775,80.128,30
seal,medium,14,10,7,relin,17595.197,123.014,30
seal,medium,14,10,7,rescale,2971.155,34.453,30
seal,medium,14,10,7,rot1,17662.825,130.992,30
seal,medium,14,10,6,add_cc,281.035,11.554,30
seal,medium,14,10,6,add_cp,175.210,7.640,30
seal,medium,14,10,6,mul_cp,801.429,6.134,30
seal,medium,14,10,6,mul_cc,1652.307,5.813,30
seal,medium,14,10,6,mul_cc_rlk,15725.545,550.546,30
seal,medium,14,10,6,relin,14126.909,248.356,30
seal,medium,14,10,6,rescale,2577.882,20.777,30
seal,medium,14,10,6,rot1,14053.595,60.228,30
seal,medium,14,10,5,add_cc,234.076,12.601,30
seal,medium,14,10,5,add_cp,145.532,5.476,30
seal,medium,14,10,5,mul_cp,692.763,16.410,30
seal,medium,14,10,5,mul_cc,1420.861,14.789,30
seal,medium,14,10,5,mul_cc_rlk,12238.196,96.260,30
seal,medium,14,10,5,relin,10899.074,39.395,30
seal,medium,14,10,5,rescale,2187.050,9.939,30
seal,medium,14,10,5,rot1,10974.305,28.056,30
seal,medium,14,10,4,add_cc,190.715,7.537,30
seal,medium,14,10,4,add_cp,116.513,5.362,30
seal,medium,14,10,4,mul_cp,568.030,13.683,30
seal,medium,14,10,4,mul_cc,1198.753,42.606,30
seal,medium,14,10,4,mul_cc_rlk,9268.758,49.115,30
seal,medium,14,10,4,relin,8200.676,19.492,30
seal,medium,14,10,4,rescale,1790.974,21.371,30
seal,medium,14,10,4,rot1,8286.471,168.065,30
seal,medium,14,10,3,add_cc,143.122,6.568,30
seal,medium,14,10,3,add_cp,90.031,4.040,30
seal,medium,14,10,3,mul_cp,442.294,10.415,30
seal,medium,14,10,3,mul_cc,938.864,11.075,30
seal,medium,14,10,3,mul_cc_rlk,6751.460,24.628,30
seal,medium,14,10,3,relin,5906.977,32.770,30
seal,medium,14,10,3,rescale,1403.812,27.923,30
seal,medium,14,10,3,rot1,5957.514,10.550,30
seal,medium,14,10,2,add_cc,100.534,4.650,30
seal,medium,14,10,2,add_cp,57.247,1.663,30
seal,medium,14,10,2,mul_cp,322.441,8.370,30
seal,medium,14,10,2,mul_cc,694.237,9.198,30
seal,medium,14,10,2,mul_cc_rlk,4599.447,22.637,30
seal,medium,14,10,2,relin,3999.257,100.432,30
seal,medium,14,10,2,rescale,1024.678,35.891,30
seal,medium,14,10,2,rot1,3996.231,31.009,30
seal,medium,14,10,1,add_cc,60.712,4.116,30
seal,medium,14,10,1,add_cp,35.253,1.618,30
seal,medium,14,10,1,mul_cp,209.516,2.878,30
seal,medium,14,10,1,mul_cc,450.435,3.221,30
seal,medium,14,10,1,mul_cc_rlk,2892.237,176.279,30
seal,medium,14,10,1,relin,2378.849,16.205,30
seal,medium,14,10,1,rescale,644.029,8.625,30
seal,medium,14,10,1,rot1,2404.692,22.520,30
