preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,17.094,3.451,0.20188370188370186
small,1,add_cc,openfhe,38.379,2.107,0.05489981500299644
small,1,add_cc,seal,30.316,2.391,0.0788692439635836
small,1,add_cp,lattigo,10.732,0.351,0.032705926202012674
small,1,add_cp,openfhe,28.176,1.533,0.05440800681431005
small,1,add_cp,seal,17.63,1.226,0.069540555870675
small,1,mul_cp,lattigo,44.382,5.856,0.1319453832634852
small,1,mul_cp,openfhe,88.484,2.108,0.023823516115907963
small,1,mul_cp,seal,105.251,2.791,0.026517562778500915
small,1,mul_cc,lattigo,95.059,7.993,0.08408462113003504
small,1,mul_cc,openfhe,210.296,5.114,0.024318104005782326
small,1,mul_cc,seal,222.751,2.182,0.00979569115290167
small,1,mul_cc_rlk,lattigo,1651.054,109.618,0.06639274063719296
small,1,mul_cc_rlk,openfhe,2447.526,39.439,0.016113822692792643
small,1,mul_cc_rlk,seal,1341.735,15.762,0.0117474762154971
small,1,relin,lattigo,1535.135,28.37,0.018480459373279873
small,1,relin,openfhe,2329.963,10.51,0.004510801244483281
small,1,relin,seal,1130.895,17.696,0.01564778339279951
small,1,rescale,lattigo,317.176,19.153,0.0603860317300174
small,1,rescale,openfhe,410.55,5.104,0.012432103276093046
small,1,rescale,seal,301.952,3.312,0.010968630775752436
small,1,rot1,lattigo,1533.872,26.055,0.016986423899777815
small,1,rot1,openfhe,2182.66,8.893,0.004074386299286192
small,1,rot1,seal,1147.301,17.383,0.015151211408340096
small,2,add_cc,lattigo,25.792,3.603,0.1396944789081886
small,2,add_cc,openfhe,57.999,2.674,0.04610424317660649
small,2,add_cc,seal,45.418,3.418,0.07525650623100974
small,2,add_cp,lattigo,16.952,1.349,0.07957763095799905
small,2,add_cp,openfhe,42.431,1.726,0.04067780632085032
small,2,add_cp,seal,26.385,2.387,0.09046806897858631
small,2,mul_cp,lattigo,66.506,7.713,0.11597449854148498
small,2,mul_cp,openfhe,135.018,4.762,0.035269371491208575
small,2,mul_cp,seal,160.781,10.124,0.06296763921110081
small,2,mul_cc,lattigo,143.762,11.196,0.07787871621151625
small,2,mul_cc,openfhe,410.378,8.391,0.020447002519628246
small,2,mul_cc,seal,337.299,4.033,0.01195675053883943
small,2,mul_cc_rlk,lattigo,2656.259,31.068,0.011696148605990607
small,2,mul_cc_rlk,openfhe,4317.807,11.063,0.002562180291986187
small,2,mul_cc_rlk,seal,2200.839,38.372,0.017435169042351577
small,2,relin,lattigo,2505.553,24.705,0.009860098748659478
small,2,relin,openfhe,4085.078,25.412,0.006220689054162491
small,2,relin,seal,1898.283,67.183,0.03539145638453276
small,2,rescale,lattigo,467.636,16.047,0.034315151100428536
small,2,rescale,openfhe,642.347,9.203,0.01432714716500583
small,2,rescale,seal,472.911,7.656,0.016189092662255686
small,2,rot1,lattigo,2509.895,26.807,0.010680526476207172
small,2,rot1,openfhe,3981.596,26.801,0.006731220344806454
small,2,rot1,seal,1890.07,19.145,0.01012925447205659
small,3,add_cc,lattigo,32.615,5.936,0.18200214625172464
small,3,add_cc,openfhe,78.19,2.501,0.03198618749200665
small,3,add_cc,seal,61.208,3.959,0.0646810874395504
small,3,add_cp,lattigo,21.686,4.548,0.2097205570414092
small,3,add_cp,openfhe,60.453,2.831,0.04682976858055018
small,3,add_cp,seal,35.84,1.346,0.03755580357142857
small,3,mul_cp,lattigo,94.007,7.329,0.07796227940472518
small,3,mul_cp,openfhe,181.595,3.788,0.020859605165340453
small,3,mul_cp,seal,211.986,4.915,0.02318549338163841
small,3,mul_cc,lattigo,198.849,16.407,0.0825098441531011
small,3,mul_cc,openfhe,571.576,9.004,0.015752935742578415
small,3,mul_cc,seal,452.391,6.238,0.01378895689790469
small,3,mul_cc_rlk,lattigo,3862.63,19.03,0.004926695023856802
small,3,mul_cc_rlk,openfhe,5318.476,17.464,0.0032836474208025007
small,3,mul_cc_rlk,seal,3221.419,29.488,0.009153730079818862
small,3,relin,lattigo,3658.736,28.058,0.007668768667649156
small,3,relin,openfhe,5042.725,162.707,0.03226568968167012
small,3,relin,seal,2805.026,24.937,0.008890113674525656
small,3,rescale,lattigo,619.699,17.678,0.028526752504038255
small,3,rescale,openfhe,935.43,6.998,0.00748105149503437
small,3,rescale,seal,650.98,9.483,0.014567267811607117
small,3,rot1,lattigo,3687.327,35.096,0.009518005861698731
small,3,rot1,openfhe,4876.389,56.791,0.011646117649760918
small,3,rot1,seal,2827.397,65.631,0.023212516671694848
small,4,add_cc,lattigo,46.591,6.475,0.13897533858470518
small,4,add_cc,openfhe,109.073,4.627,0.042421130802306715
small,4,add_cc,seal,83.057,4.017,0.04836437627171702
small,4,add_cp,lattigo,29.675,5.327,0.17951137320977253
small,4,add_cp,openfhe,82.742,4.599,0.05558241280123758
small,4,add_cp,seal,43.445,1.371,0.03155714121302797
small,4,mul_cp,lattigo,115.176,13.063,0.11341772591512121
small,4,mul_cp,openfhe,232.439,6.198,0.026665060510499532
small,4,mul_cp,seal,265.333,6.682,0.02518344872292553
small,4,mul_cc,lattigo,259.801,19.565,0.07530763930854771
small,4,mul_cc,openfhe,737.928,17.862,0.024205613555794057
small,4,mul_cc,seal,575.932,10.636,0.01846745796378739
small,4,mul_cc_rlk,lattigo,5355.378,117.524,0.021945042908269034
small,4,mul_cc_rlk,openfhe,7690.805,13.924,0.0018104736760326129
small,4,mul_cc_rlk,seal,4418.702,38.215,0.008648467355345529
small,4,relin,lattigo,5042.308,31.244,0.006196368805713574
small,4,relin,openfhe,7294.875,16.479,0.002258983190253431
small,4,relin,seal,3883.843,27.605,0.0071076508499442435
small,4,rescale,lattigo,773.961,15.591,0.02014442588192428
small,4,rescale,openfhe,1186.214,38.257,0.0322513475646047
small,4,rescale,seal,832.466,13.854,0.016642121119661343
small,4,rot1,lattigo,5064.77,30.716,0.006064638670660267
small,4,rot1,openfhe,7107.4,23.833,0.003353265610490475
small,4,rot1,seal,3908.589,26.416,0.006758449148784894
small,5,add_cc,lattigo,68.876,7.859,0.11410360648121261
small,5,add_cc,openfhe,140.92,4.871,0.03456571104172581
small,5,add_cc,seal,102.271,5.347,0.05228266077382641
small,5,add_cp,lattigo,39.49,4.243,0.10744492276525704
small,5,add_cp,openfhe,106.163,3.68,0.03466367755244294
small,5,add_cp,seal,56.949,3.361,0.05901771760698169
small,5,mul_cp,lattigo,140.203,10.204,0.0727801830203348
small,5,mul_cp,openfhe,285.936,5.958,0.020836830619439316
small,5,mul_cp,seal,321.187,8.187,0.02548982368526746
small,5,mul_cc,lattigo,306.933,15.73,0.05124896964484106
small,5,mul_cc,openfhe,900.424,10.064,0.01117695663376365
small,5,mul_cc,seal,702.49,11.767,0.016750416376033823
small,5,mul_cc_rlk,lattigo,6927.58,43.202,0.00623623256606203
small,5,mul_cc_rlk,openfhe,8861.348,47.983,0.0054148646458755485
small,5,mul_cc_rlk,seal,5794.806,37.837,0.006529467940773169
small,5,relin,lattigo,6638.878,41.188,0.006204060384902389
small,5,relin,openfhe,8449.871,123.661,0.014634661286545086
small,5,relin,seal,5162.532,47.796,0.00925824769706028
small,5,rescale,lattigo,929.368,19.58,0.021068080674178577
small,5,rescale,openfhe,1494.254,62.008,0.04149763025563258
small,5,rescale,seal,1015.001,31.209,0.03074775295787886
small,5,rot1,lattigo,6623.153,36.556,0.005519425566644768
small,5,rot1,openfhe,8178.793,33.317,0.004073583962817008
small,5,rot1,seal,5180.722,27.911,0.005387473020169776
medium,1,add_cc,lattigo,36.561,2.747,0.07513470638111648
medium,1,add_cc,openfhe,79.778,5.6,0.07019479054375892
medium,1,add_cc,seal,57.619,2.771,0.04809177528245891
medium,1,add_cp,lattigo,23.065,1.116,0.048384998916106654
medium,1,add_cp,openfhe,59.408,4.985,0.0839112577430649
medium,1,add_cp,seal,34.532,2.061,0.05968377157419206
medium,1,mul_cp,lattigo,88.224,3.188,0.03613529198404063
medium,1,mul_cp,openfhe,184.99,8.236,0.044521325477052814
medium,1,mul_cp,seal,209.901,5.973,0.028456272242628665
medium,1,mul_cc,lattigo,194.464,6.234,0.03205734737534968
medium,1,mul_cc,openfhe,458.345,14.313,0.031227568752795382
medium,1,mul_cc,seal,454.531,7.846,0.01726174892361577
medium,1,mul_cc_rlk,lattigo,2917.038,27.059,0.009276190437011791
medium,1,mul_cc_rlk,openfhe,6773.621,28.589,0.004220637676657728
medium,1,mul_cc_rlk,seal,2821.678,34.128,0.01209493074688182
medium,1,relin,lattigo,2750.079,21.705,0.007892500542711681
medium,1,relin,openfhe,6357.497,32.742,0.005150140062983906
medium,1,relin,seal,2377.104,22.672,0.009537655903990739
medium,1,rescale,lattigo,646.03,13.012,0.02014147949785614
medium,1,rescale,openfhe,891.082,16.334,0.018330524014624917
medium,1,rescale,seal,640.628,10.955,0.01710040772491992
medium,1,rot1,lattigo,2712.618,21.005,0.00774344194427671
medium,1,rot1,openfhe,6402.628,36.694,0.005731084173561232
medium,1,rot1,seal,2407.895,29.281,0.012160413971539457
medium,2,add_cc,lattigo,58.847,2.323,0.03947524937549918
medium,2,add_cc,openfhe,134.035,7.552,0.05634349237139553
medium,2,add_cc,seal,101.865,7.781,0.07638541206498797
medium,2,add_cp,lattigo,40.963,2.283,0.05573322266435563
medium,2,add_cp,openfhe,105.379,6.158,0.05843669042219038
medium,2,add_cp,seal,62.81,3.375,0.05373348192962904
medium,2,mul_cp,lattigo,137.363,4.939,0.035955825076621796
medium,2,mul_cp,openfhe,287.688,10.269,0.0356949194961208
medium,2,mul_cp,seal,324.56,7.928,0.024426916440719742
medium,2,mul_cc,lattigo,296.925,7.112,0.02395217647554096
medium,2,mul_cc,openfhe,724.504,17.883,0.024683093537095722
medium,2,mul_cc,seal,694.537,10.274,0.014792588443812206
medium,2,mul_cc_rlk,lattigo,4988.517,34.598,0.006935528133912343
medium,2,mul_cc_rlk,openfhe,8293.722,35.916,0.004330504446616368
medium,2,mul_cc_rlk,seal,4620.404,65.49,0.014174085209864762
medium,2,relin,lattigo,4781.117,38.463,0.008044772801000268
medium,2,relin,openfhe,7975.989,63.948,0.008017563715295996
medium,2,relin,seal,3976.613,28.816,0.007246367700352033
medium,2,rescale,lattigo,974.775,18.093,0.018561206432253598
medium,2,rescale,openfhe,1529.838,18.343,0.011990158435076132
medium,2,rescale,seal,1019.363,10.674,0.010471245277688123
medium,2,rot1,lattigo,4677.234,23.544,0.0050337443027225065
medium,2,rot1,openfhe,7590.658,30.073,0.003961843624096883
medium,2,rot1,seal,4005.242,32.871,0.008206994733401878
medium,3,add_cc,lattigo,91.052,5.408,0.05939463163906339
medium,3,add_cc,openfhe,195.766,8.579,0.04382272713341439
medium,3,add_cc,seal,146.434,8.415,0.057466162230083176
medium,3,add_cp,lattigo,65.349,3.08,0.04713155518829668
medium,3,add_cp,openfhe,158.391,7.115,0.04492048159301981
medium,3,add_cp,seal,90.689,5.689,0.06273087143975566
medium,3,mul_cp,lattigo,186.354,7.719,0.04142116616761647
medium,3,mul_cp,openfhe,398.924,10.331,0.02589716336946386
medium,3,mul_cp,seal,441.76,11.231,0.025423306772908365
medium,3,mul_cc,lattigo,402.803,18.263,0.045339781481270006
medium,3,mul_cc,openfhe,1000.224,14.435,0.014431767284128354
medium,3,mul_cc,seal,942.71,19.21,0.020377422537153526
medium,3,mul_cc_rlk,lattigo,5934.817,83.188,0.014016944414629803
medium,3,mul_cc_rlk,openfhe,10215.049,38.241,0.0037435943772761147
medium,3,mul_cc_rlk,seal,6772.155,51.603,0.007619878753513469
medium,3,relin,lattigo,5596.13,38.057,0.006800592552353144
medium,3,relin,openfhe,9799.314,37.605,0.0038375135239058565
medium,3,relin,seal,5958.59,181.882,0.03052433545519997
medium,3,rescale,lattigo,1302.458,25.822,0.019825591305055516
medium,3,rescale,openfhe,2034.319,16.869,0.008292209825499344
medium,3,rescale,seal,1407.733,21.008,0.014923284458061294
medium,3,rot1,lattigo,5504.993,21.299,0.00386903307597303
medium,3,rot1,openfhe,9278.314,39.28,0.0042335277723948555
medium,3,rot1,seal,5961.2,29.841,0.00500587130108032
medium,4,add_cc,lattigo,115.38,4.148,0.0359507713641879
medium,4,add_cc,openfhe,257.293,7.14,0.02775046347937954
medium,4,add_cc,seal,189.976,11.349,0.05973912494209795
medium,4,add_cp,lattigo,93.016,5.433,0.058409305925862215
medium,4,add_cp,openfhe,198.467,6.129,0.030881708294074075
medium,4,add_cp,seal,116.725,5.058,0.043332619404583425
medium,4,mul_cp,lattigo,230.5,10.023,0.04348373101952278
medium,4,mul_cp,openfhe,505.965,10.047,0.019857104740446475
medium,4,mul_cp,seal,566.805,13.518,0.023849472040648904
medium,4,mul_cc,lattigo,490.776,13.43,0.027364826315875265
medium,4,mul_cc,openfhe,1552.54,22.669,0.014601234106689683
medium,4,mul_cc,seal,1181.283,12.168,0.010300664616353575
medium,4,mul_cc_rlk,lattigo,8650.272,48.204,0.0055725415339540766
medium,4,mul_cc_rlk,openfhe,16190.541,150.997,0.00932624796169566
medium,4,mul_cc_rlk,seal,9352.259,91.723,0.009807576971510306
medium,4,relin,lattigo,8428.546,97.649,0.011585509529164342
medium,4,relin,openfhe,15362.066,69.929,0.004552056995458814
medium,4,relin,seal,8231.592,213.38,0.025922081658080232
medium,4,rescale,lattigo,1619.838,19.338,0.01193823086012305
medium,4,rescale,openfhe,2677.289,16.156,0.0060344624730464275
medium,4,rescale,seal,1783.575,6.816,0.0038215382027669146
medium,4,rot1,lattigo,8189.403,74.654,0.009115927009575666
medium,4,rot1,openfhe,15125.656,136.61,0.00903167439481633
medium,4,rot1,seal,8259.429,51.635,0.006251642819376496
medium,5,add_cc,lattigo,137.749,4.639,0.03367719547873306
