=== 상한(L=20)에 걸린 셀 vs 격자 안에서 끝난 셀 ===
 levelBudget   q0    Δ    최대L     상한걸림  OF dnum  OF logQP    OF여유  LA dnum  LA logQP    LA여유
       {2,2}   40   33     20      YES        4      1654      93       13      1723      24
       {2,2}   40   35     20      YES        4      1730      17       19      1702      45
       {2,2}   40   38     20      YES        7      1724      23       38      1701      46
       {2,2}   40   40     20      YES       10      1740       7       38      1741       6
       {2,2}   42   35     20      YES        4      1732      15       19      1704      43
       {2,2}   42   38     20      YES        7      1726      21       38      1703      44
       {2,2}   42   40     20      YES       10      1742       5       38      1743       4
       {2,2}   42   42     19                19      1716      31       37      1741       6
       {2,2}   45   38     20      YES        7      1729      18       38      1706      41
       {2,2}   45   40     20      YES       10      1745       2       38      1746       1
       {2,2}   45   42     19                19      1719      28       37      1744       3
       {2,2}   45   45     17                18      1740       7       35      1711      36
       {2,2}   50   45     17                18      1745       2       35      1716      31
       {2,2}   50   48     16                35      1742       5       34      1719      28
       {2,2}   50   50     14                33      1710      37       16      1712      35
       {2,2}   55   48     16                35      1747       0       34      1724      23
       {2,2}   55   50     14                33      1715      32       16      1717      30
       {2,2}   55   55     11                30      1710      37        8      1744       3
       {2,2}   60   55     11                30      1715      32       10      1688      59
       {2,2}   60   58     10                29      1744       3        7      1724      23
       {3,3}   40   33     20      YES        5      1720      27       40      1696      51
       {3,3}   40   35     20      YES        6      1740       7       40      1736      11
       {3,3}   40   38     18                 7      1724      23       38      1720      27
       {3,3}   40   40     17                10      1700      47       37      1716      31
       {3,3}   42   35     20      YES        6      1742       5       40      1738       9
       {3,3}   42   38     18                 7      1726      21       38      1722      25
       {3,3}   42   40     17                10      1702      45       37      1718      29
       {3,3}   42   42     16                10      1734      13       36      1710      37
       {3,3}   45   38     18                 7      1729      18       38      1725      22
       {3,3}   45   40     17                10      1705      42       37      1721      26
       {3,3}   45   42     16                10      1737      10       36      1713      34
       {3,3}   45   45     15                18      1740       7       35      1716      31
       {3,3}   50   45     15                18      1745       2       35      1721      26
       {3,3}   50   48     14                35      1742       5       34      1718      29
       {3,3}   50   50     12                33      1710      37       16      1707      40
       {3,3}   55   48     14                35      1747       0       34      1723      24
       {3,3}   55   50     12                33      1715      32       16      1712      35
       {3,3}   55   55      9                30      1710      37        8      1729      18
       {3,3}   60   55      9                30      1715      32        8      1734      13
       {3,3}   60   58      8                29      1744       3        7      1703      44
       {3,4}   40   33     20      YES        6      1633     114       41      1735      12
       {3,4}   40   35     19                 6      1740       7       40      1740       7
       {3,4}   40   38     17                 7      1724      23       38      1721      26
       {3,4}   40   40     16                10      1700      47       37      1715      32
       {3,4}   42   35     19                 6      1742       5       40      1742       5
       {3,4}   42   38     17                 7      1726      21       38      1723      24
       {3,4}   42   40     16                10      1702      45       37      1717      30
       {3,4}   42   42     15                10      1734      13       36      1707      40
       {3,4}   45   38     17                 7      1729      18       38      1726      21
       {3,4}   45   40     16                10      1705      42       37      1720      27
       {3,4}   45   42     15                10      1737      10       36      1710      37
       {3,4}   45   45     14                18      1740       7       35      1710      37
       {3,4}   50   45     14                18      1745       2       35      1715      32
       {3,4}   50   48     13                35      1742       5       34      1709      38
       {3,4}   50   50     11                33      1710      37       16      1696      51
       {3,4}   55   48     13                35      1747       0       34      1714      33
       {3,4}   55   50     11                33      1715      32       16      1701      46
       {3,4}   55   55      8                30      1710      37        8      1713      34
       {3,4}   60   55      8                30      1715      32        8      1718      29
       {3,4}   60   58      7                29      1744       3        6      1745       2
       {4,3}   40   33     19                 5      1720      27       40      1719      28
       {4,3}   40   35     18                 5      1705      42       39      1722      25
       {4,3}   40   38     17                 7      1724      23       38      1738       9
       {4,3}   40   40     16                10      1700      47       37      1732      15
       {4,3}   42   35     18                 5      1707      40       39      1724      23
       {4,3}   42   38     17                 7      1726      21       38      1740       7
       {4,3}   42   40     16                10      1702      45       37      1734      13
       {4,3}   42   42     15                10      1734      13       36      1724      23
       {4,3}   45   38     17                 7      1729      18       38      1743       4
       {4,3}   45   40     16                10      1705      42       37      1737      10
       {4,3}   45   42     15                10      1737      10       36      1727      20
