logN,q0,delta,sizeQ,dnum,predicted_valid,actual_ok,predicted_maxDigitBits,runtime_maxDigitBits,predicted_PCount,runtime_PCount,match,err
16,45,40,24,1,1,1,965,966,17,17,1,
16,45,40,24,2,1,1,485,486,9,9,1,
16,45,40,24,3,1,1,325,326,6,6,1,
16,45,40,24,4,1,1,245,246,5,5,1,
16,45,40,24,5,1,1,205,206,4,4,1,
16,45,40,24,6,1,1,165,166,3,3,1,
16,45,40,24,7,0,0,165,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 7 digits. Please select different number of digits.
16,45,40,24,8,1,1,125,126,3,3,1,
16,45,40,24,9,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 9 digits. Please select different number of digits.
16,45,40,24,10,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 10 digits. Please select different number of digits.
16,45,40,24,11,0,0,125,-1,3,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 11 digits. Please select different number of digits.
16,45,40,24,12,1,1,85,86,2,2,1,
16,45,40,24,13,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 13 digits. Please select different number of digits.
16,45,40,24,14,0,0,85,-1,2,-1,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 24 towers into 14 digits. Please select different number of digits.
