q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,QCount_boot_of,logQ_boot_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,dnum_of,QCount_residual_of,logQ_residual_of,logQP_residual_of,grid_of,boot_depth_la,evalmod_levels_la,QCount_boot_la,logQ_boot_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,dnum_la,QCount_residual_la,logQ_residual_la,logQP_residual_la,grid_la,rotkeys_la,rotkeys_of
40,33,3,2,2,18,14,22.0,733.0,13.0,780.0,1513.0,234.0,1,4.0,139.0,919.0,L3-14,17.0,13.0,21.0,979.0,7,427.0,1406.0,341.0,3.0,4.0,139.0,383.0,L3-14,61,
40,33,3,3,3,20,14,24.0,799.0,14.0,840.0,1639.0,108.0,1,4.0,139.0,979.0,L3-14,19.0,13.0,23.0,1074.0,8,488.0,1562.0,185.0,3.0,4.0,139.0,383.0,L3-14,39,
40,33,3,3,4,21,14,25.0,832.0,14.0,840.0,1672.0,75.0,1,4.0,139.0,979.0,L3-14,20.0,13.0,24.0,1113.0,8,488.0,1601.0,146.0,3.0,4.0,139.0,383.0,L3-14,48,
40,33,3,4,3,21,14,25.0,832.0,14.0,840.0,1672.0,75.0,1,4.0,139.0,979.0,L3-14,20.0,13.0,24.0,1130.0,8,488.0,1618.0,129.0,3.0,4.0,139.0,383.0,L3-14,48,
40,33,3,4,4,22,14,26.0,865.0,8.0,480.0,1345.0,402.0,2,4.0,139.0,619.0,L3-14,21.0,13.0,25.0,1169.0,7,427.0,1596.0,151.0,4.0,4.0,139.0,383.0,L3-14,33,
40,33,4,2,2,18,14,23.0,766.0,13.0,780.0,1546.0,201.0,1,5.0,172.0,952.0,L3-14,17.0,13.0,22.0,1012.0,8,488.0,1500.0,247.0,3.0,5.0,172.0,477.0,L3-14,61,
40,33,4,3,3,20,14,25.0,832.0,14.0,840.0,1672.0,75.0,1,5.0,172.0,1012.0,L3-14,19.0,13.0,24.0,1107.0,8,488.0,1595.0,152.0,3.0,5.0,172.0,477.0,L3-14,39,
40,33,4,3,4,21,14,26.0,865.0,8.0,480.0,1345.0,402.0,2,5.0,172.0,652.0,L3-14,20.0,13.0,25.0,1146.0,7,427.0,1573.0,174.0,4.0,5.0,172.0,477.0,L3-14,48,
40,33,4,4,3,21,14,26.0,865.0,8.0,480.0,1345.0,402.0,2,5.0,172.0,652.0,L3-14,20.0,13.0,25.0,1163.0,7,427.0,1590.0,157.0,4.0,5.0,172.0,477.0,L3-14,48,
40,33,4,4,4,22,14,27.0,898.0,8.0,480.0,1378.0,369.0,2,5.0,172.0,652.0,L3-14,21.0,13.0,26.0,1202.0,7,427.0,1629.0,118.0,4.0,5.0,172.0,477.0,L3-14,33,
40,33,5,2,2,18,14,24.0,799.0,14.0,840.0,1639.0,108.0,1,6.0,205.0,1045.0,L3-14,17.0,13.0,23.0,1045.0,8,488.0,1533.0,214.0,3.0,6.0,205.0,571.0,L3-14,61,
40,33,5,3,3,20,14,26.0,865.0,8.0,480.0,1345.0,402.0,2,6.0,205.0,685.0,L3-14,19.0,13.0,25.0,1140.0,7,427.0,1567.0,180.0,4.0,6.0,205.0,571.0,L3-14,39,
40,33,5,3,4,21,14,27.0,898.0,8.0,480.0,1378.0,369.0,2,6.0,205.0,685.0,L3-14,20.0,13.0,26.0,1179.0,7,427.0,1606.0,141.0,4.0,6.0,205.0,571.0,L3-14,48,
40,33,5,4,3,21,14,27.0,898.0,8.0,480.0,1378.0,369.0,2,6.0,205.0,685.0,L3-14,20.0,13.0,26.0,1196.0,7,427.0,1623.0,124.0,4.0,6.0,205.0,571.0,L3-14,48,
