q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,QCount_boot_of,logQ_boot_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,dnum_of,log_message_ratio_of,boot_depth_la,evalmod_levels_la,QCount_boot_la,logQ_boot_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,dnum_la,log_message_ratio_la,evalmod_scale_la
53,52,3,2,2,18,14,22.0,1145.0,10.0,600.0,1745.0,2.0,2,1,12.0,8.0,16.0,799.0,8,488.0,1287.0,460.0,2.0,1,50
53,52,3,3,3,20,14,24.0,1249.0,7.0,420.0,1669.0,78.0,3,1,14.0,8.0,18.0,894.0,6,366.0,1260.0,487.0,3.0,1,50
53,52,3,3,4,21,14,25.0,1301.0,7.0,420.0,1721.0,26.0,4,1,15.0,8.0,19.0,933.0,7,427.0,1360.0,387.0,3.0,1,50
53,52,3,4,3,21,14,25.0,1301.0,7.0,420.0,1721.0,26.0,4,1,15.0,8.0,19.0,950.0,7,427.0,1377.0,370.0,3.0,1,50
53,52,3,4,4,22,14,26.0,1353.0,6.0,360.0,1713.0,34.0,5,1,16.0,8.0,20.0,989.0,7,427.0,1416.0,331.0,3.0,1,50
53,52,4,2,2,18,14,23.0,1197.0,7.0,420.0,1617.0,130.0,3,1,12.0,8.0,17.0,851.0,6,366.0,1217.0,530.0,3.0,1,50
53,52,4,3,3,20,14,25.0,1301.0,7.0,420.0,1721.0,26.0,4,1,14.0,8.0,19.0,946.0,7,427.0,1373.0,374.0,3.0,1,50
53,52,4,3,4,21,14,26.0,1353.0,6.0,360.0,1713.0,34.0,5,1,15.0,8.0,20.0,985.0,7,427.0,1412.0,335.0,3.0,1,50
53,52,4,4,3,21,14,26.0,1353.0,6.0,360.0,1713.0,34.0,5,1,15.0,8.0,20.0,1002.0,7,427.0,1429.0,318.0,3.0,1,50
53,52,4,4,4,22,14,27.0,1405.0,5.0,300.0,1705.0,42.0,6,1,16.0,8.0,21.0,1041.0,7,427.0,1468.0,279.0,3.0,1,50
53,52,5,2,2,18,14,24.0,1249.0,7.0,420.0,1669.0,78.0,3,1,12.0,8.0,18.0,903.0,6,366.0,1269.0,478.0,3.0,1,50
53,52,5,3,3,20,14,26.0,1353.0,6.0,360.0,1713.0,34.0,5,1,14.0,8.0,20.0,998.0,7,427.0,1425.0,322.0,3.0,1,50
53,52,5,3,4,21,14,27.0,1405.0,5.0,300.0,1705.0,42.0,6,1,15.0,8.0,21.0,1037.0,7,427.0,1464.0,283.0,3.0,1,50
53,52,5,4,3,21,14,27.0,1405.0,5.0,300.0,1705.0,42.0,6,1,15.0,8.0,21.0,1054.0,7,427.0,1481.0,266.0,3.0,1,50
53,52,5,4,4,22,14,28.0,1457.0,4.0,240.0,1697.0,50.0,7,1,16.0,8.0,22.0,1093.0,8,488.0,1581.0,166.0,3.0,1,50
53,52,6,2,2,18,14,25.0,1301.0,7.0,420.0,1721.0,26.0,4,1,12.0,8.0,19.0,955.0,7,427.0,1382.0,365.0,3.0,1,50
53,52,6,3,3,20,14,27.0,1405.0,5.0,300.0,1705.0,42.0,6,1,14.0,8.0,21.0,1050.0,7,427.0,1477.0,270.0,3.0,1,50
53,52,6,3,4,21,14,28.0,1457.0,4.0,240.0,1697.0,50.0,7,1,15.0,8.0,22.0,1089.0,8,488.0,1577.0,170.0,3.0,1,50
53,52,6,4,3,21,14,28.0,1457.0,4.0,240.0,1697.0,50.0,7,1,15.0,8.0,22.0,1106.0,8,488.0,1594.0,153.0,3.0,1,50
53,52,6,4,4,22,14,29.0,1509.0,3.0,180.0,1689.0,58.0,10,1,16.0,8.0,23.0,1145.0,8,488.0,1633.0,114.0,3.0,1,50
53,52,7,2,2,18,14,26.0,1353.0,6.0,360.0,1713.0,34.0,5,1,12.0,8.0,20.0,1007.0,7,427.0,1434.0,313.0,3.0,1,50
