library,logN,numSlots,c2s_depth,s2c_depth,galois_c2s,galois_s2c,galois_union,galois_total_with_conj,invariant_check
lattigo,16,32768,1,1,382,382,382,383,true
lattigo,16,32768,1,2,382,60,389,390,true
lattigo,16,32768,1,3,382,38,389,390,true
lattigo,16,32768,1,4,382,32,387,388,true
lattigo,16,32768,2,1,60,382,389,390,true
lattigo,16,32768,2,2,60,60,60,61,true
lattigo,16,32768,2,3,60,38,71,72,true
lattigo,16,32768,2,4,60,32,66,67,true
lattigo,16,32768,3,1,38,382,389,390,true
lattigo,16,32768,3,2,38,60,71,72,true
lattigo,16,32768,3,3,38,38,38,39,true
lattigo,16,32768,3,4,38,32,47,48,true
lattigo,16,32768,4,1,32,382,387,388,true
lattigo,16,32768,4,2,32,60,66,67,true
lattigo,16,32768,4,3,32,38,47,48,true
lattigo,16,32768,4,4,32,32,32,33,true
