library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,evalmod_scale,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,mod1_degree,mod1_inv_degree,log_message_ratio,ephemeral_secret_weight,in_scale_log2,ok,fail_reason
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,1,61,860,4,209,244,453,16,56,887,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,2,122,921,4,209,244,453,8,112,826,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,3,183,982,4,209,244,453,6,157,765,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,4,244,1043,4,209,244,453,4,212,704,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,5,305,1104,4,209,244,453,4,256,643,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,6,366,1165,4,209,244,453,3,300,582,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,7,427,1226,4,209,244,453,3,350,521,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,50,16,16,799,8,488,1287,4,209,244,453,2,412,460,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,1,61,900,4,209,244,453,16,56,847,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,2,122,961,4,209,244,453,8,112,786,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,3,183,1022,4,209,244,453,6,166,725,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,4,244,1083,4,209,244,453,4,222,664,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,5,305,1144,4,209,244,453,4,276,603,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,6,366,1205,4,209,244,453,3,330,542,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,7,427,1266,4,209,244,453,3,385,481,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,55,16,16,839,8,488,1327,4,209,244,453,2,442,420,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,1,61,940,4,209,244,453,16,60,807,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,2,122,1001,4,209,244,453,8,120,746,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,3,183,1062,4,209,244,453,6,180,685,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,4,244,1123,4,209,244,453,4,240,624,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,5,305,1184,4,209,244,453,4,296,563,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,6,366,1245,4,209,244,453,3,360,502,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,7,427,1306,4,209,244,453,3,420,441,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,12,2,2,8,60,16,16,879,8,488,1367,4,209,244,453,2,472,380,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,1,61,899,4,209,244,453,17,56,848,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,2,122,960,4,209,244,453,9,106,787,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,3,183,1021,4,209,244,453,6,157,726,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,4,244,1082,4,209,244,453,5,209,665,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,5,305,1143,4,209,244,453,4,250,604,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,6,366,1204,4,209,244,453,3,289,543,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,7,427,1265,4,209,244,453,3,350,482,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,50,16,17,838,8,488,1326,4,209,244,453,3,406,421,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,1,61,939,4,209,244,453,17,56,808,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,2,122,1000,4,209,244,453,9,111,747,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,3,183,1061,4,209,244,453,6,165,686,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,4,244,1122,4,209,244,453,5,221,625,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,5,305,1183,4,209,244,453,4,275,564,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,6,366,1244,4,209,244,453,3,314,503,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,7,427,1305,4,209,244,453,3,385,442,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,55,16,17,878,8,488,1366,4,209,244,453,3,441,381,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,1,61,979,4,209,244,453,17,60,768,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,2,122,1040,4,209,244,453,9,120,707,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,3,183,1101,4,209,244,453,6,180,646,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,4,244,1162,4,209,244,453,5,240,585,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,5,305,1223,4,209,244,453,4,300,524,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,6,366,1284,4,209,244,453,3,339,463,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,7,427,1345,4,209,244,453,3,420,402,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,13,2,3,8,60,16,17,918,8,488,1406,4,209,244,453,3,476,341,30,0,1,32,52,1,
lattigo,16,32768,53,52,3,14,2,4,8,50,16,18,877,1,61,938,4,209,244,453,18,56,809,30,0,1,32,52,1,
