library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,mod1_degree,mod1_inv_degree,log_message_ratio,ephemeral_secret_weight,in_scale_log2,ok,fail_reason
openfhe,16,32768,53,52,3,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1041 + 예측 logP 1080 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,9,540,1581,4,209,540,749,2,521,166,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,7,420,1461,4,209,420,629,3,365,286,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,5,300,1341,4,209,300,509,4,261,406,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,4,240,1281,4,209,240,449,5,210,466,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,3,180,1221,4,209,180,389,7,157,526,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,2,120,1161,4,209,120,329,10,106,586,,,1,,52,1,
openfhe,16,32768,53,52,3,16,1,1,14,512,20,1041,1,60,1101,4,209,60,269,20,53,646,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1093 + 예측 logP 1140 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,10,600,1693,5,261,600,861,2,573,54,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,7,420,1513,5,261,420,681,3,365,234,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,6,360,1453,5,261,360,621,4,313,294,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,5,300,1393,5,261,300,561,5,261,354,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,4,240,1333,5,261,240,501,6,209,414,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,3,180,1273,5,261,180,441,7,157,474,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,2,120,1213,5,261,120,381,11,105,534,,,1,,52,1,
openfhe,16,32768,53,52,4,16,1,1,14,512,21,1093,1,60,1153,5,261,60,321,21,53,594,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1145 + 예측 logP 1200 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,5,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1145 + 예측 logP 1200 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,10,600,1745,4,209,600,809,2,573,2,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,10,600,1745,6,313,600,913,2,573,2,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,7,420,1565,4,209,420,629,3,417,182,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,7,420,1565,6,313,420,733,3,417,182,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,6,360,1505,4,209,360,569,4,314,242,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,6,360,1505,6,313,360,673,4,314,242,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,5,300,1445,4,209,300,509,5,261,302,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,5,300,1445,6,313,300,613,5,261,302,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,4,240,1385,4,209,240,449,6,210,362,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,4,240,1385,6,313,240,553,6,210,362,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,3,180,1325,4,209,180,389,8,157,422,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,3,180,1325,6,313,180,493,8,157,422,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,2,120,1265,4,209,120,329,11,106,482,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,2,120,1265,6,313,120,433,11,106,482,,,1,,52,1,
openfhe,16,32768,53,52,3,18,2,2,14,512,22,1145,1,60,1205,4,209,60,269,22,53,542,,,1,,52,1,
openfhe,16,32768,53,52,5,16,1,1,14,512,22,1145,1,60,1205,6,313,60,373,22,53,542,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1197 + 예측 logP 1200 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,6,16,1,1,14,512,,,,,,,,,,1,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1197 + 예측 logP 1200 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,18,2,2,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1197 + 예측 logP 660 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,6,16,1,1,14,512,,,,,,,,,,2,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1197 + 예측 logP 660 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,7,420,1617,5,261,420,681,3,417,130,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,7,420,1617,7,365,420,785,3,417,130,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,6,360,1557,5,261,360,621,4,313,190,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,6,360,1557,7,365,360,725,4,313,190,,,1,,52,1,
openfhe,16,32768,53,52,4,18,2,2,14,512,23,1197,5,300,1497,5,261,300,561,5,261,250,,,1,,52,1,
openfhe,16,32768,53,52,6,16,1,1,14,512,23,1197,5,300,1497,7,365,300,665,5,261,250,,,1,,52,1,
