library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,evalmod_scale,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,ok,fail_reason
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,1,61.0,1040.0,4.0,139.0,244.0,383.0,21.0,56.0,707.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,2,122.0,1101.0,4.0,139.0,244.0,383.0,11.0,106.0,646.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,3,183.0,1162.0,4.0,139.0,244.0,383.0,7.0,162.0,585.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,4,244.0,1223.0,4.0,139.0,244.0,383.0,6.0,206.0,524.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,5,305.0,1284.0,4.0,139.0,244.0,383.0,5.0,256.0,463.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,6,366.0,1345.0,4.0,139.0,244.0,383.0,4.0,300.0,402.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,7,427.0,1406.0,4.0,139.0,244.0,383.0,3.0,362.0,341.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,50,512,21.0,979.0,8,488.0,1467.0,4.0,139.0,244.0,383.0,3.0,400.0,280.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,1,61.0,1105.0,4.0,139.0,244.0,383.0,21.0,56.0,642.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,2,122.0,1166.0,4.0,139.0,244.0,383.0,11.0,111.0,581.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,3,183.0,1227.0,4.0,139.0,244.0,383.0,7.0,167.0,520.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,4,244.0,1288.0,4.0,139.0,244.0,383.0,6.0,221.0,459.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,5,305.0,1349.0,4.0,139.0,244.0,383.0,5.0,276.0,398.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,6,366.0,1410.0,4.0,139.0,244.0,383.0,4.0,330.0,337.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,7,427.0,1471.0,4.0,139.0,244.0,383.0,3.0,387.0,276.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,55,512,21.0,1044.0,8,488.0,1532.0,4.0,139.0,244.0,383.0,3.0,440.0,215.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,1,61.0,1170.0,4.0,139.0,244.0,383.0,21.0,60.0,577.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,2,122.0,1231.0,4.0,139.0,244.0,383.0,11.0,120.0,516.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,3,183.0,1292.0,4.0,139.0,244.0,383.0,7.0,180.0,455.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,4,244.0,1353.0,4.0,139.0,244.0,383.0,6.0,240.0,394.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,5,305.0,1414.0,4.0,139.0,244.0,383.0,5.0,300.0,333.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,6,366.0,1475.0,4.0,139.0,244.0,383.0,4.0,360.0,272.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,7,427.0,1536.0,4.0,139.0,244.0,383.0,3.0,420.0,211.0,1,
lattigo,16,32768,40,33,3,17.0,2,2,13.0,60,512,21.0,1109.0,8,488.0,1597.0,4.0,139.0,244.0,383.0,3.0,480.0,150.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,1,61.0,1079.0,4.0,139.0,244.0,383.0,22.0,56.0,668.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,2,122.0,1140.0,4.0,139.0,244.0,383.0,11.0,112.0,607.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,3,183.0,1201.0,4.0,139.0,244.0,383.0,8.0,156.0,546.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,4,244.0,1262.0,4.0,139.0,244.0,383.0,6.0,200.0,485.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,5,305.0,1323.0,4.0,139.0,244.0,383.0,5.0,250.0,424.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,6,366.0,1384.0,4.0,139.0,244.0,383.0,4.0,300.0,363.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,7,427.0,1445.0,4.0,139.0,244.0,383.0,4.0,356.0,302.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,50,512,22.0,1018.0,8,488.0,1506.0,4.0,139.0,244.0,383.0,3.0,400.0,241.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,1,61.0,1144.0,4.0,139.0,244.0,383.0,22.0,56.0,603.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,2,122.0,1205.0,4.0,139.0,244.0,383.0,11.0,112.0,542.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,3,183.0,1266.0,4.0,139.0,244.0,383.0,8.0,166.0,481.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,4,244.0,1327.0,4.0,139.0,244.0,383.0,6.0,220.0,420.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,5,305.0,1388.0,4.0,139.0,244.0,383.0,5.0,275.0,359.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,6,366.0,1449.0,4.0,139.0,244.0,383.0,4.0,330.0,298.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,7,427.0,1510.0,4.0,139.0,244.0,383.0,4.0,386.0,237.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,55,512,22.0,1083.0,8,488.0,1571.0,4.0,139.0,244.0,383.0,3.0,440.0,176.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,1,61.0,1209.0,4.0,139.0,244.0,383.0,22.0,60.0,538.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,2,122.0,1270.0,4.0,139.0,244.0,383.0,11.0,120.0,477.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,3,183.0,1331.0,4.0,139.0,244.0,383.0,8.0,180.0,416.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,4,244.0,1392.0,4.0,139.0,244.0,383.0,6.0,240.0,355.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,5,305.0,1453.0,4.0,139.0,244.0,383.0,5.0,300.0,294.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,6,366.0,1514.0,4.0,139.0,244.0,383.0,4.0,360.0,233.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,7,427.0,1575.0,4.0,139.0,244.0,383.0,4.0,420.0,172.0,1,
lattigo,16,32768,40,33,3,18.0,2,3,13.0,60,512,22.0,1148.0,8,488.0,1636.0,4.0,139.0,244.0,383.0,3.0,480.0,111.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,1,61.0,1118.0,4.0,139.0,244.0,383.0,23.0,56.0,629.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,2,122.0,1179.0,4.0,139.0,244.0,383.0,12.0,106.0,568.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,3,183.0,1240.0,4.0,139.0,244.0,383.0,8.0,150.0,507.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,4,244.0,1301.0,4.0,139.0,244.0,383.0,6.0,200.0,446.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,5,305.0,1362.0,4.0,139.0,244.0,383.0,5.0,250.0,385.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,6,366.0,1423.0,4.0,139.0,244.0,383.0,4.0,300.0,324.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,7,427.0,1484.0,4.0,139.0,244.0,383.0,4.0,350.0,263.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,50,512,23.0,1057.0,8,488.0,1545.0,4.0,139.0,244.0,383.0,3.0,400.0,202.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,55,512,23.0,1122.0,1,61.0,1183.0,4.0,139.0,244.0,383.0,23.0,56.0,564.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,55,512,23.0,1122.0,2,122.0,1244.0,4.0,139.0,244.0,383.0,12.0,111.0,503.0,1,
lattigo,16,32768,40,33,3,19.0,2,4,13.0,55,512,23.0,1122.0,3,183.0,1305.0,4.0,139.0,244.0,383.0,8.0,165.0,442.0,1,
