library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,evalmod_scale,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,ok,fail_reason
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,1,61.0,1436.0,16.0,535.0,488.0,1023.0,33.0,56.0,311.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,2,122.0,1497.0,16.0,535.0,488.0,1023.0,17.0,106.0,250.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,3,183.0,1558.0,16.0,535.0,488.0,1023.0,11.0,162.0,189.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,4,244.0,1619.0,16.0,535.0,488.0,1023.0,9.0,206.0,128.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,5,305.0,1680.0,16.0,535.0,488.0,1023.0,7.0,250.0,67.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,6,366.0,1741.0,16.0,535.0,488.0,1023.0,6.0,300.0,6.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,50,512,33.0,1375.0,7,427.0,1802.0,16.0,535.0,488.0,1023.0,5.0,350.0,-55.0,0,logQP_boot 1802 > 1747
lattigo,16,32768,40,33,15,,2,2,,,512,,,8,,,,,,,,,,0,예측 탈락: logQ_boot(명목) 1375 + logP 488 > 1747+61 → 미생성
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,1,61.0,1501.0,16.0,535.0,488.0,1023.0,33.0,56.0,246.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,2,122.0,1562.0,16.0,535.0,488.0,1023.0,17.0,111.0,185.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,3,183.0,1623.0,16.0,535.0,488.0,1023.0,11.0,167.0,124.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,4,244.0,1684.0,16.0,535.0,488.0,1023.0,9.0,221.0,63.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,5,305.0,1745.0,16.0,535.0,488.0,1023.0,7.0,275.0,2.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,55,512,33.0,1440.0,6,366.0,1806.0,16.0,535.0,488.0,1023.0,6.0,330.0,-59.0,0,logQP_boot 1806 > 1747
lattigo,16,32768,40,33,15,,2,2,,,512,,,7,,,,,,,,,,0,예측 탈락: logQ_boot(명목) 1440 + logP 427 > 1747+61 → 미생성
lattigo,16,32768,40,33,15,,2,2,,,512,,,8,,,,,,,,,,0,예측 탈락: logQ_boot(명목) 1440 + logP 488 > 1747+61 → 미생성
lattigo,16,32768,40,33,15,17.0,2,2,13.0,60,512,33.0,1505.0,1,61.0,1566.0,16.0,535.0,488.0,1023.0,33.0,60.0,181.0,1,
lattigo,16,32768,40,33,15,17.0,2,2,13.0,60,512,33.0,1505.0,2,122.0,1627.0,16.0,535.0,488.0,1023.0,17.0,120.0,120.0,1,
