library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,ok,fail_reason
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,12,720,1387,4,139,720,859,1,668,360,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,6,360,1027,4,139,360,499,2,338,720,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,4,240,907,4,139,240,379,3,239,840,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,3,180,847,4,139,180,319,4,173,900,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,3,180,847,4,139,180,319,5,140,900,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,2,120,787,4,139,120,259,7,107,960,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,2,120,787,4,139,120,259,10,74,960,1,
openfhe,16,32768,40,33,3,16,1,1,14,512,20,667,1,60,727,4,139,60,199,20,40,1020,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,12,720,1420,5,172,720,892,1,701,327,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,7,420,1120,5,172,420,592,2,371,627,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,4,240,940,5,172,240,412,3,239,807,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,4,240,940,5,172,240,412,4,205,807,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,3,180,880,5,172,180,352,5,173,867,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,3,180,880,5,172,180,352,6,139,867,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,2,120,820,5,172,120,292,7,107,927,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,2,120,820,5,172,120,292,11,73,927,1,
openfhe,16,32768,40,33,4,16,1,1,14,512,21,700,1,60,760,5,172,60,232,21,40,987,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,13,780,1513,4,139,780,919,1,734,234,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,13,780,1513,6,205,780,985,1,734,234,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,7,420,1153,4,139,420,559,2,371,594,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,7,420,1153,6,205,420,625,2,371,594,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,5,300,1033,4,139,300,439,3,272,714,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,5,300,1033,6,205,300,505,3,272,714,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,4,240,973,4,139,240,379,4,206,774,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,4,240,973,6,205,240,445,4,206,774,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,3,180,913,4,139,180,319,5,173,834,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,3,180,913,6,205,180,385,5,173,834,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,3,180,913,4,139,180,319,6,140,834,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,3,180,913,6,205,180,385,6,140,834,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,2,120,853,4,139,120,259,8,107,894,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,2,120,853,6,205,120,325,8,107,894,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,2,120,853,4,139,120,259,11,74,894,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,2,120,853,6,205,120,325,11,74,894,1,
openfhe,16,32768,40,33,3,18,2,2,14,512,22,733,1,60,793,4,139,60,199,22,40,954,1,
openfhe,16,32768,40,33,5,16,1,1,14,512,22,733,1,60,793,6,205,60,265,22,40,954,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,13,780,1546,5,172,780,952,1,767,201,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,13,780,1546,7,238,780,1018,1,767,201,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,7,420,1186,5,172,420,592,2,404,561,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,7,420,1186,7,238,420,658,2,404,561,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,5,300,1066,5,172,300,472,3,272,681,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,5,300,1066,7,238,300,538,3,272,681,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,4,240,1006,5,172,240,412,4,205,741,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,4,240,1006,7,238,240,478,4,205,741,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,3,180,946,5,172,180,352,5,173,801,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,3,180,946,7,238,180,418,5,173,801,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,3,180,946,5,172,180,352,6,139,801,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,3,180,946,7,238,180,418,6,139,801,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,2,120,886,5,172,120,292,8,107,861,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,2,120,886,7,238,120,358,8,107,861,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,2,120,886,5,172,120,292,12,73,861,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,2,120,886,7,238,120,358,12,73,861,1,
openfhe,16,32768,40,33,4,18,2,2,14,512,23,766,1,60,826,5,172,60,232,23,40,921,1,
openfhe,16,32768,40,33,6,16,1,1,14,512,23,766,1,60,826,7,238,60,298,23,40,921,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,14,840,1639,4,139,840,979,1,800,108,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,14,840,1639,6,205,840,1045,1,800,108,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,14,840,1639,8,271,840,1111,1,800,108,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,7,420,1219,4,139,420,559,2,404,528,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,7,420,1219,6,205,420,625,2,404,528,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,7,420,1219,8,271,420,691,2,404,528,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,5,300,1099,4,139,300,439,3,272,648,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,5,300,1099,6,205,300,505,3,272,648,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,5,300,1099,8,271,300,571,3,272,648,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,4,240,1039,4,139,240,379,4,206,708,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,4,240,1039,6,205,240,445,4,206,708,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,4,240,1039,8,271,240,511,4,206,708,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,3,180,979,4,139,180,319,5,173,768,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,3,180,979,6,205,180,385,5,173,768,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,3,180,979,8,271,180,451,5,173,768,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,3,180,979,4,139,180,319,6,140,768,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,3,180,979,6,205,180,385,6,140,768,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,3,180,979,8,271,180,451,6,140,768,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,2,120,919,4,139,120,259,8,107,828,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,2,120,919,6,205,120,325,8,107,828,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,2,120,919,8,271,120,391,8,107,828,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,2,120,919,4,139,120,259,12,74,828,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,2,120,919,6,205,120,325,12,74,828,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,2,120,919,8,271,120,391,12,74,828,1,
openfhe,16,32768,40,33,3,20,3,3,14,512,24,799,1,60,859,4,139,60,199,24,40,888,1,
openfhe,16,32768,40,33,5,18,2,2,14,512,24,799,1,60,859,6,205,60,265,24,40,888,1,
openfhe,16,32768,40,33,7,16,1,1,14,512,24,799,1,60,859,8,271,60,331,24,40,888,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,14,840,1672,4,139,840,979,1,833,75,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,14,840,1672,4,139,840,979,1,833,75,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,14,840,1672,5,172,840,1012,1,833,75,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,14,840,1672,7,238,840,1078,1,833,75,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,14,840,1672,9,304,840,1144,1,833,75,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,8,480,1312,4,139,480,619,2,437,435,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,8,480,1312,4,139,480,619,2,437,435,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,8,480,1312,5,172,480,652,2,437,435,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,8,480,1312,7,238,480,718,2,437,435,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,8,480,1312,9,304,480,784,2,437,435,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,6,360,1192,4,139,360,499,3,305,555,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,6,360,1192,4,139,360,499,3,305,555,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,6,360,1192,5,172,360,532,3,305,555,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,6,360,1192,7,238,360,598,3,305,555,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,6,360,1192,9,304,360,664,3,305,555,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,4,240,1072,4,139,240,379,4,239,675,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,4,240,1072,4,139,240,379,4,239,675,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,4,240,1072,5,172,240,412,4,239,675,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,4,240,1072,7,238,240,478,4,239,675,1,
openfhe,16,32768,40,33,8,16,1,1,14,512,25,832,4,240,1072,9,304,240,544,4,239,675,1,
openfhe,16,32768,40,33,3,21,3,4,14,512,25,832,3,180,1012,4,139,180,319,5,173,735,1,
openfhe,16,32768,40,33,3,21,4,3,14,512,25,832,3,180,1012,4,139,180,319,5,173,735,1,
openfhe,16,32768,40,33,4,20,3,3,14,512,25,832,3,180,1012,5,172,180,352,5,173,735,1,
openfhe,16,32768,40,33,6,18,2,2,14,512,25,832,3,180,1012,7,238,180,418,5,173,735,1,
