library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,ok,fail_reason
openfhe,16,32768,40,33,15,16,1,1,14,512,,,,,,,,,,1,,,0,예측 탈락(§8.5 규칙4): logQ 1063 + 예측 logP 1080 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,9,540,1603,16,535,540,1075,2,536,144,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,7,420,1483,16,535,420,955,3,371,264,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,5,300,1363,16,535,300,835,4,272,384,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,4,240,1303,16,535,240,775,5,239,444,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,4,240,1303,16,535,240,775,6,206,444,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,3,180,1243,16,535,180,715,7,173,504,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,3,180,1243,16,535,180,715,8,140,504,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,2,120,1183,16,535,120,655,11,107,564,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,2,120,1183,16,535,120,655,16,74,564,1,
openfhe,16,32768,40,33,15,16,1,1,14,512,32,1063,1,60,1123,16,535,60,595,32,40,624,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,,,,,,,,,,1,,,0,예측 탈락(§8.5 규칙4): logQ 1096 + 예측 logP 1140 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,10,600,1696,17,568,600,1168,2,569,51,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,7,420,1516,17,568,420,988,3,371,231,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,6,360,1456,17,568,360,928,4,305,291,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,4,240,1336,17,568,240,808,5,239,411,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,4,240,1336,17,568,240,808,6,205,411,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,3,180,1276,17,568,180,748,7,173,471,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,3,180,1276,17,568,180,748,9,139,471,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,2,120,1216,17,568,120,688,11,107,531,1,
openfhe,16,32768,40,33,16,16,1,1,14,512,33,1096,2,120,1216,17,568,120,688,17,73,531,1,
