q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,QCount_boot_of,logQ_boot_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,dnum_of,log_message_ratio_of,boot_depth_la,evalmod_levels_la,QCount_boot_la,logQ_boot_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,dnum_la,log_message_ratio_la,evalmod_scale_la,role,q0_minus_delta
53.0,52.0,7.0,3.0,3.0,20.0,14.0,28.0,1457.0,4.0,240.0,1697.0,50.0,7.0,1.0,14.0,8.0,22.0,1102.0,8.0,488.0,1590.0,157.0,3.0,1.0,50.0,curve,1.0
59.0,52.0,7.0,3.0,3.0,20.0,14.0,28.0,1463.0,4.0,240.0,1703.0,44.0,7.0,7.0,14.0,8.0,22.0,1108.0,8.0,488.0,1596.0,151.0,3.0,7.0,50.0,curve,7.0
54.0,53.0,7.0,3.0,3.0,20.0,14.0,28.0,1485.0,4.0,240.0,1725.0,22.0,7.0,1.0,14.0,8.0,22.0,1110.0,8.0,488.0,1598.0,149.0,3.0,1.0,50.0,curve,1.0
60.0,53.0,7.0,3.0,3.0,20.0,14.0,28.0,1491.0,4.0,240.0,1731.0,16.0,7.0,7.0,14.0,8.0,22.0,1116.0,8.0,488.0,1604.0,143.0,3.0,7.0,50.0,curve,7.0
56.0,55.0,6.0,3.0,3.0,20.0,14.0,27.0,1486.0,4.0,240.0,1726.0,21.0,7.0,1.0,14.0,8.0,21.0,1071.0,7.0,427.0,1498.0,249.0,3.0,1.0,50.0,curve,1.0
60.0,55.0,6.0,3.0,3.0,20.0,14.0,27.0,1490.0,4.0,240.0,1730.0,17.0,7.0,5.0,14.0,8.0,21.0,1075.0,7.0,427.0,1502.0,245.0,3.0,5.0,50.0,curve,5.0
59.0,58.0,4.0,3.0,3.0,20.0,14.0,25.0,1451.0,4.0,240.0,1691.0,56.0,7.0,1.0,14.0,8.0,19.0,976.0,7.0,427.0,1403.0,344.0,3.0,1.0,50.0,curve,1.0
60.0,58.0,4.0,3.0,3.0,20.0,14.0,25.0,1452.0,4.0,240.0,1692.0,55.0,7.0,2.0,14.0,8.0,19.0,977.0,7.0,427.0,1404.0,343.0,3.0,2.0,50.0,curve,2.0
60.0,59.0,4.0,3.0,3.0,20.0,14.0,25.0,1476.0,4.0,240.0,1716.0,31.0,7.0,1.0,14.0,8.0,19.0,981.0,7.0,427.0,1408.0,339.0,3.0,1.0,50.0,curve,1.0
60.0,59.0,3.0,3.0,3.0,20.0,14.0,24.0,1417.0,5.0,300.0,1717.0,30.0,5.0,1.0,14.0,8.0,18.0,922.0,6.0,366.0,1288.0,459.0,3.0,1.0,50.0,curve,1.0
53.0,52.0,3.0,3.0,3.0,20.0,14.0,24.0,1249.0,7.0,420.0,1669.0,78.0,3.0,1.0,14.0,8.0,18.0,894.0,6.0,366.0,1260.0,487.0,3.0,1.0,50.0,Lsweep,1.0
53.0,52.0,4.0,3.0,3.0,20.0,14.0,25.0,1301.0,7.0,420.0,1721.0,26.0,4.0,1.0,14.0,8.0,19.0,946.0,7.0,427.0,1373.0,374.0,3.0,1.0,50.0,Lsweep,1.0
53.0,52.0,5.0,3.0,3.0,20.0,14.0,26.0,1353.0,6.0,360.0,1713.0,34.0,5.0,1.0,14.0,8.0,20.0,998.0,7.0,427.0,1425.0,322.0,3.0,1.0,50.0,Lsweep,1.0
53.0,52.0,6.0,3.0,3.0,20.0,14.0,27.0,1405.0,5.0,300.0,1705.0,42.0,6.0,1.0,14.0,8.0,21.0,1050.0,7.0,427.0,1477.0,270.0,3.0,1.0,50.0,Lsweep,1.0
53.0,52.0,3.0,2.0,2.0,18.0,14.0,22.0,1145.0,10.0,600.0,1745.0,2.0,2.0,1.0,12.0,8.0,16.0,799.0,8.0,488.0,1287.0,460.0,2.0,1.0,50.0,LBsweep,1.0
53.0,52.0,3.0,3.0,4.0,21.0,14.0,25.0,1301.0,7.0,420.0,1721.0,26.0,4.0,1.0,15.0,8.0,19.0,933.0,7.0,427.0,1360.0,387.0,3.0,1.0,50.0,LBsweep,1.0
53.0,52.0,3.0,4.0,3.0,21.0,14.0,25.0,1301.0,7.0,420.0,1721.0,26.0,4.0,1.0,15.0,8.0,19.0,950.0,7.0,427.0,1377.0,370.0,3.0,1.0,50.0,LBsweep,1.0
53.0,52.0,3.0,4.0,4.0,22.0,14.0,26.0,1353.0,6.0,360.0,1713.0,34.0,5.0,1.0,16.0,8.0,20.0,989.0,7.0,427.0,1416.0,331.0,3.0,1.0,50.0,LBsweep,1.0
53.0,52.0,6.0,2.0,2.0,18.0,14.0,25.0,1301.0,7.0,420.0,1721.0,26.0,4.0,1.0,12.0,8.0,19.0,955.0,7.0,427.0,1382.0,365.0,3.0,1.0,50.0,LBsweep,1.0
53.0,52.0,6.0,3.0,4.0,21.0,14.0,28.0,1457.0,4.0,240.0,1697.0,50.0,7.0,1.0,15.0,8.0,22.0,1089.0,8.0,488.0,1577.0,170.0,3.0,1.0,50.0,LBsweep,1.0
53.0,52.0,6.0,4.0,3.0,21.0,14.0,28.0,1457.0,4.0,240.0,1697.0,50.0,7.0,1.0,15.0,8.0,22.0,1106.0,8.0,488.0,1594.0,153.0,3.0,1.0,50.0,LBsweep,1.0
