preset,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,dnum_of,PCount_boot_la,evalmod_scale_la,log_message_ratio,logQP_boot_of,logQP_boot_la,margin_of,margin_la
BT1,60,59,4,2,2,4,6,50,1,1718,1252,29,495
BT1,60,59,4,3,3,7,7,50,1,1716,1408,31,339
BT1,60,59,4,3,4,9,7,50,1,1715,1447,32,300
BT1,60,59,4,4,3,9,7,50,1,1715,1464,32,283
BT1,60,59,4,4,4,14,7,50,1,1714,1503,33,244
BT2,60,58,4,2,2,4,6,50,2,1696,1248,51,499
BT2,60,58,4,3,3,7,7,50,2,1692,1404,55,343
BT2,60,58,4,3,4,9,7,50,2,1690,1443,57,304
BT2,60,58,4,4,3,9,7,50,2,1690,1460,57,287
BT2,60,58,4,4,4,14,7,50,2,1688,1499,59,248
