q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth_of,evalmod_levels_of,evalmod_levels_la,logQ_boot_la,dnum_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,boot_depth_la,dnum_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,rotkeys_la,grid_of,grid_la
40,33,3,2,2,18,14,13.0,979.0,1,13.0,780.0,1513.0,234.0,17.0,3.0,7,427.0,1406.0,341.0,61,L3-14,L3-14
40,33,4,2,2,18,14,13.0,1012.0,1,13.0,780.0,1546.0,201.0,17.0,3.0,8,488.0,1500.0,247.0,61,L3-14,L3-14
40,33,5,2,2,18,14,13.0,1045.0,1,14.0,840.0,1639.0,108.0,17.0,3.0,8,488.0,1533.0,214.0,61,L3-14,L3-14
40,33,6,2,2,18,14,13.0,1078.0,1,14.0,840.0,1672.0,75.0,17.0,3.0,8,488.0,1566.0,181.0,61,L3-14,L3-14
40,33,7,2,2,18,14,13.0,1111.0,2,8.0,480.0,1345.0,402.0,17.0,4.0,7,427.0,1538.0,209.0,61,L3-14,L3-14
40,33,8,2,2,18,14,13.0,1144.0,2,8.0,480.0,1378.0,369.0,17.0,4.0,7,427.0,1571.0,176.0,61,L3-14,L3-14
40,33,9,2,2,18,14,13.0,1177.0,2,8.0,480.0,1411.0,336.0,17.0,4.0,7,427.0,1604.0,143.0,61,L3-14,L3-14
40,33,10,2,2,18,14,13.0,1210.0,2,9.0,540.0,1504.0,243.0,17.0,4.0,7,427.0,1637.0,110.0,61,L3-14,L3-14
40,33,11,2,2,18,14,13.0,1243.0,2,9.0,540.0,1537.0,210.0,17.0,4.0,8,488.0,1731.0,16.0,61,L3-14,L3-14
40,33,12,2,2,18,14,13.0,1276.0,2,9.0,540.0,1570.0,177.0,17.0,5.0,6,366.0,1642.0,105.0,61,L3-14,L3-14
40,33,13,2,2,18,14,13.0,1309.0,2,9.0,540.0,1603.0,144.0,17.0,5.0,7,427.0,1736.0,11.0,61,L3-14,L3-14
40,33,14,2,2,18,14,13.0,1342.0,2,10.0,600.0,1696.0,51.0,17.0,6.0,6,366.0,1708.0,39.0,61,L3-14,L3-14
40,33,15,2,2,18,14,13.0,1375.0,2,10.0,600.0,1729.0,18.0,17.0,6.0,6,366.0,1741.0,6.0,61,L15-20,L15-20
40,33,16,2,2,18,14,13.0,1408.0,3,7.0,420.0,1582.0,165.0,17.0,7.0,5,305.0,1713.0,34.0,61,L15-20,L15-20
40,33,17,2,2,18,14,13.0,1441.0,3,7.0,420.0,1615.0,132.0,17.0,7.0,5,305.0,1746.0,1.0,61,L15-20,L15-20
40,33,3,3,3,20,14,13.0,1074.0,1,14.0,840.0,1639.0,108.0,19.0,3.0,8,488.0,1562.0,185.0,39,L3-14,L3-14
40,33,4,3,3,20,14,13.0,1107.0,1,14.0,840.0,1672.0,75.0,19.0,3.0,8,488.0,1595.0,152.0,39,L3-14,L3-14
40,33,5,3,3,20,14,13.0,1140.0,2,8.0,480.0,1345.0,402.0,19.0,4.0,7,427.0,1567.0,180.0,39,L3-14,L3-14
40,33,6,3,3,20,14,13.0,1173.0,2,8.0,480.0,1378.0,369.0,19.0,4.0,7,427.0,1600.0,147.0,39,L3-14,L3-14
40,33,7,3,3,20,14,13.0,1206.0,2,8.0,480.0,1411.0,336.0,19.0,4.0,7,427.0,1633.0,114.0,39,L3-14,L3-14
40,33,8,3,3,20,14,13.0,1239.0,2,9.0,540.0,1504.0,243.0,19.0,4.0,7,427.0,1666.0,81.0,39,L3-14,L3-14
40,33,9,3,3,20,14,13.0,1272.0,2,9.0,540.0,1537.0,210.0,19.0,5.0,6,366.0,1638.0,109.0,39,L3-14,L3-14
40,33,10,3,3,20,14,13.0,1305.0,2,9.0,540.0,1570.0,177.0,19.0,5.0,6,366.0,1671.0,76.0,39,L3-14,L3-14
40,33,11,3,3,20,14,13.0,1338.0,2,9.0,540.0,1603.0,144.0,19.0,6.0,6,366.0,1704.0,43.0,39,L3-14,L3-14
40,33,12,3,3,20,14,13.0,1371.0,2,10.0,600.0,1696.0,51.0,19.0,6.0,6,366.0,1737.0,10.0,39,L3-14,L3-14
40,33,13,3,3,20,14,13.0,1404.0,2,10.0,600.0,1729.0,18.0,19.0,7.0,5,305.0,1709.0,38.0,39,L3-14,L3-14
40,33,14,3,3,20,14,13.0,1437.0,3,7.0,420.0,1582.0,165.0,19.0,7.0,5,305.0,1742.0,5.0,39,L3-14,L3-14
40,33,3,3,4,21,14,13.0,1113.0,1,14.0,840.0,1672.0,75.0,20.0,3.0,8,488.0,1601.0,146.0,48,L3-14,L3-14
40,33,4,3,4,21,14,13.0,1146.0,2,8.0,480.0,1345.0,402.0,20.0,4.0,7,427.0,1573.0,174.0,48,L3-14,L3-14
40,33,5,3,4,21,14,13.0,1179.0,2,8.0,480.0,1378.0,369.0,20.0,4.0,7,427.0,1606.0,141.0,48,L3-14,L3-14
40,33,6,3,4,21,14,13.0,1212.0,2,8.0,480.0,1411.0,336.0,20.0,4.0,7,427.0,1639.0,108.0,48,L3-14,L3-14
40,33,7,3,4,21,14,13.0,1245.0,2,9.0,540.0,1504.0,243.0,20.0,4.0,7,427.0,1672.0,75.0,48,L3-14,L3-14
40,33,8,3,4,21,14,13.0,1278.0,2,9.0,540.0,1537.0,210.0,20.0,5.0,6,366.0,1644.0,103.0,48,L3-14,L3-14
40,33,9,3,4,21,14,13.0,1311.0,2,9.0,540.0,1570.0,177.0,20.0,5.0,6,366.0,1677.0,70.0,48,L3-14,L3-14
40,33,10,3,4,21,14,13.0,1344.0,2,9.0,540.0,1603.0,144.0,20.0,6.0,6,366.0,1710.0,37.0,48,L3-14,L3-14
40,33,11,3,4,21,14,13.0,1377.0,2,10.0,600.0,1696.0,51.0,20.0,6.0,6,366.0,1743.0,4.0,48,L3-14,L3-14
40,33,12,3,4,21,14,13.0,1410.0,2,10.0,600.0,1729.0,18.0,20.0,7.0,5,305.0,1715.0,32.0,48,L3-14,L3-14
40,33,3,4,3,21,14,13.0,1130.0,1,14.0,840.0,1672.0,75.0,20.0,3.0,8,488.0,1618.0,129.0,48,L3-14,L3-14
40,33,4,4,3,21,14,13.0,1163.0,2,8.0,480.0,1345.0,402.0,20.0,4.0,7,427.0,1590.0,157.0,48,L3-14,L3-14
40,33,5,4,3,21,14,13.0,1196.0,2,8.0,480.0,1378.0,369.0,20.0,4.0,7,427.0,1623.0,124.0,48,L3-14,L3-14
40,33,6,4,3,21,14,13.0,1229.0,2,8.0,480.0,1411.0,336.0,20.0,4.0,7,427.0,1656.0,91.0,48,L3-14,L3-14
40,33,7,4,3,21,14,13.0,1262.0,2,9.0,540.0,1504.0,243.0,20.0,4.0,7,427.0,1689.0,58.0,48,L3-14,L3-14
40,33,8,4,3,21,14,13.0,1295.0,2,9.0,540.0,1537.0,210.0,20.0,5.0,6,366.0,1661.0,86.0,48,L3-14,L3-14
40,33,9,4,3,21,14,13.0,1328.0,2,9.0,540.0,1570.0,177.0,20.0,5.0,6,366.0,1694.0,53.0,48,L3-14,L3-14
40,33,10,4,3,21,14,13.0,1361.0,2,9.0,540.0,1603.0,144.0,20.0,6.0,6,366.0,1727.0,20.0,48,L3-14,L3-14
