role,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,evalmod_scale_la,boot_depth_of,dnum_of,PCount_boot_of,logP_boot_of,logQP_boot_of,margin_1747_of,boot_depth_la,dnum_la,PCount_boot_la,logP_boot_la,logQP_boot_la,margin_1747_la,rotkeys_la
Lsweep,45,40,3,3,3,50,20,2,9.0,540.0,1505.0,242.0,19.0,3.0,8,488.0,1588.0,159.0,39
Lsweep,45,40,5,3,3,50,20,2,9.0,540.0,1585.0,162.0,19.0,4.0,7,427.0,1607.0,140.0,39
Lsweep,45,40,8,3,3,50,20,3,7.0,420.0,1585.0,162.0,19.0,4.0,7,427.0,1727.0,20.0,39
Lsweep,45,40,10,3,3,50,20,3,8.0,480.0,1725.0,22.0,19.0,5.0,6,366.0,1746.0,1.0,39
curve,40,33,14,3,3,50,20,3,7.0,420.0,1582.0,165.0,19.0,7.0,5,305.0,1742.0,5.0,39
curve,40,35,13,3,3,50,20,3,8.0,480.0,1675.0,72.0,19.0,7.0,5,305.0,1735.0,12.0,39
curve,40,38,12,3,3,50,20,3,7.0,420.0,1676.0,71.0,19.0,7.0,5,305.0,1736.0,11.0,39
curve,40,40,12,3,3,50,20,4,7.0,420.0,1740.0,7.0,19.0,8.0,4,244.0,1699.0,48.0,39
curve,42,35,13,3,3,50,20,3,8.0,480.0,1677.0,70.0,19.0,7.0,5,305.0,1737.0,10.0,39
curve,45,38,12,3,3,50,20,3,8.0,480.0,1741.0,6.0,19.0,7.0,5,305.0,1741.0,6.0,39
curve,45,40,12,3,3,50,20,4,7.0,420.0,1745.0,2.0,19.0,8.0,4,244.0,1704.0,43.0,39
curve,45,42,12,3,3,50,20,5,5.0,300.0,1689.0,58.0,19.0,8.0,4,244.0,1728.0,19.0,39
curve,45,45,11,3,3,50,20,6,5.0,300.0,1740.0,7.0,19.0,8.0,4,244.0,1719.0,28.0,39
curve,50,45,11,3,3,50,20,6,5.0,300.0,1745.0,2.0,19.0,8.0,4,244.0,1724.0,23.0,39
curve,50,48,10,3,3,50,20,8,4.0,240.0,1730.0,17.0,19.0,8.0,4,244.0,1709.0,38.0,39
curve,50,50,9,3,3,50,20,8,4.0,240.0,1740.0,7.0,19.0,6.0,5,305.0,1740.0,7.0,39
curve,55,48,10,3,3,50,20,8,4.0,240.0,1735.0,12.0,19.0,8.0,4,244.0,1714.0,33.0,39
curve,55,50,9,3,3,50,20,8,4.0,240.0,1745.0,2.0,19.0,6.0,5,305.0,1745.0,2.0,39
curve,55,55,6,3,3,50,20,7,4.0,240.0,1725.0,22.0,19.0,4.0,7,427.0,1747.0,0.0,39
curve,60,55,6,3,3,50,20,7,4.0,240.0,1730.0,17.0,19.0,5.0,6,366.0,1691.0,56.0,39
curve,60,58,4,3,3,50,20,7,4.0,240.0,1692.0,55.0,19.0,3.0,8,488.0,1715.0,32.0,39
