library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,1,15,60,40,13,2,5,300,300,13,enc_dec,0,28.3113
openfhe,1,15,60,40,13,2,5,300,300,13,rot1,0,24.0400
openfhe,1,15,60,40,13,2,5,300,300,13,enc_dec,1,28.3131
openfhe,1,15,60,40,13,2,5,300,300,13,rot1,1,22.9075
openfhe,1,15,60,40,13,2,5,300,300,13,enc_dec,2,28.3260
openfhe,1,15,60,40,13,2,5,300,300,13,rot1,2,23.6722
openfhe,1,15,60,40,13,2,5,300,300,13,enc_dec,3,28.3144
openfhe,1,15,60,40,13,2,5,300,300,13,rot1,3,23.0882
openfhe,1,15,60,40,13,2,5,300,300,13,enc_dec,4,28.3190
openfhe,1,15,60,40,13,2,5,300,300,13,rot1,4,22.8422
openfhe,1,15,60,40,13,3,4,240,220,13,enc_dec,0,28.3049
openfhe,1,15,60,40,13,3,4,240,220,13,rot1,0,25.6727
openfhe,1,15,60,40,13,3,4,240,220,13,enc_dec,1,28.3249
openfhe,1,15,60,40,13,3,4,240,220,13,rot1,1,25.6086
openfhe,1,15,60,40,13,3,4,240,220,13,enc_dec,2,28.3142
openfhe,1,15,60,40,13,3,4,240,220,13,rot1,2,25.0556
openfhe,1,15,60,40,13,3,4,240,220,13,enc_dec,3,28.3299
openfhe,1,15,60,40,13,3,4,240,220,13,rot1,3,25.9603
openfhe,1,15,60,40,13,3,4,240,220,13,enc_dec,4,28.3123
openfhe,1,15,60,40,13,3,4,240,220,13,rot1,4,24.5386
openfhe,1,15,60,40,13,4,4,240,180,13,enc_dec,0,28.3126
openfhe,1,15,60,40,13,4,4,240,180,13,rot1,0,25.6624
openfhe,1,15,60,40,13,4,4,240,180,13,enc_dec,1,28.3253
openfhe,1,15,60,40,13,4,4,240,180,13,rot1,1,25.6695
openfhe,1,15,60,40,13,4,4,240,180,13,enc_dec,2,28.3178
openfhe,1,15,60,40,13,4,4,240,180,13,rot1,2,25.6859
openfhe,1,15,60,40,13,4,4,240,180,13,enc_dec,3,28.3192
openfhe,1,15,60,40,13,4,4,240,180,13,rot1,3,25.3028
openfhe,1,15,60,40,13,4,4,240,180,13,enc_dec,4,28.3188
openfhe,1,15,60,40,13,4,4,240,180,13,rot1,4,25.1004
openfhe,1,15,60,40,13,5,3,180,140,13,enc_dec,0,28.3128
openfhe,1,15,60,40,13,5,3,180,140,13,rot1,0,24.7845
openfhe,1,15,60,40,13,5,3,180,140,13,enc_dec,1,28.2988
openfhe,1,15,60,40,13,5,3,180,140,13,rot1,1,25.1318
openfhe,1,15,60,40,13,5,3,180,140,13,enc_dec,2,28.3149
openfhe,1,15,60,40,13,5,3,180,140,13,rot1,2,25.4368
openfhe,1,15,60,40,13,5,3,180,140,13,enc_dec,3,28.3140
openfhe,1,15,60,40,13,5,3,180,140,13,rot1,3,26.1830
openfhe,1,15,60,40,13,5,3,180,140,13,enc_dec,4,28.3081
openfhe,1,15,60,40,13,5,3,180,140,13,rot1,4,26.1376
openfhe,1,15,60,40,13,7,2,120,100,13,enc_dec,0,28.3082
openfhe,1,15,60,40,13,7,2,120,100,13,rot1,0,26.1379
openfhe,1,15,60,40,13,7,2,120,100,13,enc_dec,1,28.3126
openfhe,1,15,60,40,13,7,2,120,100,13,rot1,1,26.0856
openfhe,1,15,60,40,13,7,2,120,100,13,enc_dec,2,28.3172
openfhe,1,15,60,40,13,7,2,120,100,13,rot1,2,26.3716
openfhe,1,15,60,40,13,7,2,120,100,13,enc_dec,3,28.3277
openfhe,1,15,60,40,13,7,2,120,100,13,rot1,3,26.5464
openfhe,1,15,60,40,13,7,2,120,100,13,enc_dec,4,28.3146
openfhe,1,15,60,40,13,7,2,120,100,13,rot1,4,26.3790
openfhe,1,15,60,40,13,14,1,60,60,13,enc_dec,0,28.3449
openfhe,1,15,60,40,13,14,1,60,60,13,rot1,0,26.0974
openfhe,1,15,60,40,13,14,1,60,60,13,enc_dec,1,28.3138
openfhe,1,15,60,40,13,14,1,60,60,13,rot1,1,26.1903
openfhe,1,15,60,40,13,14,1,60,60,13,enc_dec,2,28.3204
openfhe,1,15,60,40,13,14,1,60,60,13,rot1,2,26.0800
openfhe,1,15,60,40,13,14,1,60,60,13,enc_dec,3,28.3156
openfhe,1,15,60,40,13,14,1,60,60,13,rot1,3,26.0918
openfhe,1,15,60,40,13,14,1,60,60,13,enc_dec,4,28.3095
openfhe,1,15,60,40,13,14,1,60,60,13,rot1,4,26.4592
lattigo,1,15,60,40,13,14,1,60,60,13,enc_dec,0,31.6173
lattigo,1,15,60,40,13,14,1,60,60,13,rot1,0,26.0557
lattigo,1,15,60,40,13,14,1,60,60,13,enc_dec,1,31.6210
lattigo,1,15,60,40,13,14,1,60,60,13,rot1,1,26.0429
lattigo,1,15,60,40,13,14,1,60,60,13,enc_dec,2,31.6271
lattigo,1,15,60,40,13,14,1,60,60,13,rot1,2,26.0225
lattigo,1,15,60,40,13,14,1,60,60,13,enc_dec,3,31.6338
lattigo,1,15,60,40,13,14,1,60,60,13,rot1,3,26.0452
lattigo,1,15,60,40,13,14,1,60,60,13,enc_dec,4,31.6149
lattigo,1,15,60,40,13,14,1,60,60,13,rot1,4,26.0373
lattigo,1,15,60,40,13,7,2,120,100,13,enc_dec,0,31.6206
lattigo,1,15,60,40,13,7,2,120,100,13,rot1,0,28.0776
lattigo,1,15,60,40,13,7,2,120,100,13,enc_dec,1,31.6457
lattigo,1,15,60,40,13,7,2,120,100,13,rot1,1,28.0690
lattigo,1,15,60,40,13,7,2,120,100,13,enc_dec,2,31.6125
lattigo,1,15,60,40,13,7,2,120,100,13,rot1,2,28.0799
lattigo,1,15,60,40,13,7,2,120,100,13,enc_dec,3,31.6217
lattigo,1,15,60,40,13,7,2,120,100,13,rot1,3,28.0650
lattigo,1,15,60,40,13,7,2,120,100,13,enc_dec,4,31.6136
lattigo,1,15,60,40,13,7,2,120,100,13,rot1,4,28.0693
lattigo,1,15,60,40,13,5,3,180,140,13,enc_dec,0,31.6212
lattigo,1,15,60,40,13,5,3,180,140,13,rot1,0,28.0808
lattigo,1,15,60,40,13,5,3,180,140,13,enc_dec,1,31.6367
lattigo,1,15,60,40,13,5,3,180,140,13,rot1,1,28.0865
lattigo,1,15,60,40,13,5,3,180,140,13,enc_dec,2,31.6301
lattigo,1,15,60,40,13,5,3,180,140,13,rot1,2,28.0664
lattigo,1,15,60,40,13,5,3,180,140,13,enc_dec,3,31.6333
lattigo,1,15,60,40,13,5,3,180,140,13,rot1,3,28.0853
lattigo,1,15,60,40,13,5,3,180,140,13,enc_dec,4,31.6298
lattigo,1,15,60,40,13,5,3,180,140,13,rot1,4,28.0853
lattigo,1,15,60,40,13,4,4,240,180,13,enc_dec,0,31.6406
lattigo,1,15,60,40,13,4,4,240,180,13,rot1,0,28.0760
lattigo,1,15,60,40,13,4,4,240,180,13,enc_dec,1,31.6180
lattigo,1,15,60,40,13,4,4,240,180,13,rot1,1,28.0746
lattigo,1,15,60,40,13,4,4,240,180,13,enc_dec,2,31.6335
lattigo,1,15,60,40,13,4,4,240,180,13,rot1,2,28.0683
lattigo,1,15,60,40,13,4,4,240,180,13,enc_dec,3,31.6365
lattigo,1,15,60,40,13,4,4,240,180,13,rot1,3,28.0810
lattigo,1,15,60,40,13,4,4,240,180,13,enc_dec,4,31.6342
lattigo,1,15,60,40,13,4,4,240,180,13,rot1,4,28.0770
lattigo,1,15,60,40,13,3,5,300,220,13,enc_dec,0,31.6385
lattigo,1,15,60,40,13,3,5,300,220,13,rot1,0,28.0713
lattigo,1,15,60,40,13,3,5,300,220,13,enc_dec,1,31.6315
lattigo,1,15,60,40,13,3,5,300,220,13,rot1,1,28.0767
lattigo,1,15,60,40,13,3,5,300,220,13,enc_dec,2,31.6198
lattigo,1,15,60,40,13,3,5,300,220,13,rot1,2,28.0732
lattigo,1,15,60,40,13,3,5,300,220,13,enc_dec,3,31.6238
lattigo,1,15,60,40,13,3,5,300,220,13,rot1,3,28.0726
lattigo,1,15,60,40,13,3,5,300,220,13,enc_dec,4,31.6310
lattigo,1,15,60,40,13,3,5,300,220,13,rot1,4,28.0903
seal,1,15,60,40,13,14,1,60,60,13,enc_dec,0,31.6066
seal,1,15,60,40,13,14,1,60,60,13,rot1,0,25.9966
seal,1,15,60,40,13,14,1,60,60,13,enc_dec,1,31.6071
seal,1,15,60,40,13,14,1,60,60,13,rot1,1,25.9842
seal,1,15,60,40,13,14,1,60,60,13,enc_dec,2,31.6192
seal,1,15,60,40,13,14,1,60,60,13,rot1,2,25.9837
seal,1,15,60,40,13,14,1,60,60,13,enc_dec,3,31.6230
seal,1,15,60,40,13,14,1,60,60,13,rot1,3,25.9638
seal,1,15,60,40,13,14,1,60,60,13,enc_dec,4,31.6220
seal,1,15,60,40,13,14,1,60,60,13,rot1,4,25.9872
