library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,13,mul_cc,9346.416,152.530,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,13,mul_cc_rlk,79849.717,963.069,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,13,relin,75222.173,943.167,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,13,rot1,72510.421,569.918,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,7,mul_cc,4952.645,55.180,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,7,mul_cc_rlk,49805.038,427.266,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,7,relin,47229.472,485.589,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,7,rot1,45737.626,419.386,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,1,mul_cc,944.920,15.155,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,1,15,60,40,13,2,5,300,580,880,881,1,13,1,mul_cc_rlk,15690.082,90.579,30,L13=2;L12=2;L11=2;L10=2;L9=2;L8=2;L7=2;L6=1;L5=1;L4=1;L3=1;L2=1;L1=1,1,
