library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,add_cc,1472.949,17.864,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,add_cp,1400.096,16.893,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,mul_cp,2944.872,28.466,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,mul_cc,9315.438,164.934,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,mul_cc_rlk,145304.996,599.957,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,relin,139955.382,612.291,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,rescale,16058.512,64.278,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,40,13,7,2,120,580,700,881,181,13,13,rot1,137906.482,510.991,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,add_cc,1541.938,112.972,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,add_cp,1428.868,187.671,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,mul_cp,2946.654,22.656,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,mul_cc,9293.245,151.505,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,mul_cc_rlk,145236.673,522.055,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,relin,140011.795,592.342,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,rescale,16053.369,29.409,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,41,13,7,2,120,593,713,881,168,13,13,rot1,138092.539,690.123,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,add_cc,1583.893,108.926,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,add_cp,1390.678,16.455,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,mul_cp,2929.653,17.559,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,mul_cc,9256.235,104.326,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,mul_cc_rlk,145252.391,780.550,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,relin,139873.318,769.816,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,rescale,16049.414,30.454,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,42,13,7,2,120,606,726,881,155,13,13,rot1,138019.187,629.285,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,add_cc,1455.314,17.487,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,add_cp,1381.271,16.593,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,mul_cp,2958.234,165.649,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,mul_cc,9146.038,82.176,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,mul_cc_rlk,144202.365,616.783,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,relin,138862.751,548.589,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,rescale,16098.455,267.731,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,43,13,7,2,120,619,739,881,142,13,13,rot1,137252.341,714.478,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,44,13,7,2,120,632,752,881,129,13,13,add_cc,1515.682,27.075,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,44,13,7,2,120,632,752,881,129,13,13,add_cp,1371.779,16.422,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,44,13,7,2,120,632,752,881,129,13,13,mul_cp,2921.682,16.424,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,2,15,60,44,13,7,2,120,632,752,881,129,13,13,mul_cc,9258.174,240.514,30,L13=7;L12=7;L11=6;L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
