preset,op,level,openfhe_1t_off_ms,openfhe_1t_hexl_ms,openfhe_1t_speedup,openfhe_mt_off_ms,openfhe_mt_off_min,openfhe_mt_off_max,openfhe_mt_hexl_ms,openfhe_mt_hexl_min,openfhe_mt_hexl_max,openfhe_mt_speedup,seal_1t_off_ms,seal_1t_hexl_ms,seal_1t_speedup,seal_mt_off_ms,seal_mt_off_min,seal_mt_off_max,seal_mt_hexl_ms,seal_mt_hexl_min,seal_mt_hexl_max,seal_mt_speedup,mt_runs_openfhe,mt_runs_seal
A,add_cc,12,1.4679,1.5311,0.959,1.5023,1.4088,1.7304,1.4682,1.3793,1.6325,1.023,1.0615,0.8409,1.262,1.0375,1.0239,1.057,0.8429,0.8418,0.8445,1.231,5,3
A,add_cc,11,1.3189,1.3001,1.014,1.3541,1.2765,1.4908,1.4416,1.3724,1.4648,0.939,0.9995,0.7799,1.282,0.9498,0.9435,0.9641,0.7831,0.7755,0.7852,1.213,5,3
A,add_cc,10,1.2013,1.191,1.009,1.3103,1.2753,1.3397,1.2121,1.1018,1.4227,1.081,0.9113,0.7238,1.259,0.8793,0.8772,0.8948,0.7124,0.7096,0.7171,1.234,5,3
A,add_cc,9,1.0925,1.0834,1.008,1.1813,1.1744,1.3468,1.1785,1.13,1.3577,1.002,0.828,0.6515,1.271,0.7929,0.7846,0.7963,0.6482,0.6481,0.6495,1.223,5,3
A,add_cc,8,0.9783,0.9728,1.006,1.0049,0.9451,1.1729,1.0207,0.8864,1.2124,0.985,0.7352,0.5865,1.253,0.7231,0.7184,0.7313,0.5841,0.5837,0.5843,1.238,5,3
A,add_cc,7,0.8779,0.865,1.015,0.9586,0.8074,1.1048,0.9946,0.8164,1.0008,0.964,0.659,0.5228,1.261,0.6417,0.6358,0.6555,0.5204,0.5179,0.5208,1.233,5,3
A,add_cc,6,0.7625,0.7625,1.0,0.8144,0.7539,1.0232,0.8081,0.6361,0.8567,1.008,0.5738,0.4536,1.265,0.5537,0.5516,0.5625,0.4532,0.4524,0.4534,1.222,5,3
A,add_cc,5,0.6497,0.6472,1.004,0.6781,0.5488,0.8379,0.6337,0.5445,0.767,1.07,0.4833,0.3898,1.24,0.482,0.4752,0.4837,0.3882,0.3873,0.3885,1.242,5,3
A,add_cc,4,0.5372,0.5399,0.995,0.6081,0.4637,0.6739,0.5527,0.4319,0.655,1.1,0.4056,0.3228,1.256,0.3992,0.3967,0.4011,0.3223,0.3219,0.323,1.239,5,3
A,add_cc,3,0.4289,0.432,0.993,0.4842,0.4592,0.5835,0.3905,0.3544,0.5241,1.24,0.3162,0.2563,1.234,0.3121,0.3115,0.3137,0.2567,0.2563,0.2684,1.216,5,3
A,add_cc,2,0.32,0.3162,1.012,0.3337,0.2938,0.4351,0.2826,0.272,0.3806,1.181,0.2564,0.1875,1.368,0.2294,0.2285,0.2309,0.1863,0.1836,0.1865,1.231,5,3
A,add_cc,1,0.195,0.1946,1.002,0.2122,0.1897,0.2863,0.1971,0.1853,0.2749,1.077,0.141,0.0876,1.61,0.1406,0.1384,0.142,0.0879,0.0856,0.0886,1.6,5,3
A,add_cp,12,1.372,1.3703,1.001,1.4225,1.3719,1.4814,1.3574,1.3522,1.4663,1.048,0.7433,0.6304,1.179,0.7163,0.7109,0.7167,0.6308,0.6307,0.6318,1.136,5,3
A,add_cp,11,1.2517,1.2661,0.989,1.2461,1.2274,1.3221,1.2954,1.2562,1.3041,0.962,0.6844,0.5824,1.175,0.6537,0.6518,0.6634,0.5853,0.5812,0.5858,1.117,5,3
A,add_cp,10,1.1482,1.1508,0.998,1.1584,1.151,1.3409,1.1127,1.0538,1.2387,1.041,0.6276,0.5457,1.15,0.609,0.6007,0.61,0.5358,0.5319,0.5376,1.137,5,3
A,add_cp,9,1.0354,1.0244,1.011,1.0548,1.0427,1.3919,1.0638,1.0407,1.1708,0.992,0.5707,0.49,1.165,0.5476,0.5449,0.5499,0.4858,0.4857,0.4897,1.127,5,3
A,add_cp,8,0.9357,0.9315,1.004,0.9235,0.886,1.0073,0.9205,0.8705,1.0545,1.003,0.506,0.4384,1.154,0.4947,0.4912,0.4975,0.4374,0.4372,0.438,1.131,5,3
A,add_cp,7,0.8188,0.827,0.99,0.8868,0.7789,1.1202,0.8526,0.7876,0.9167,1.04,0.4504,0.3904,1.154,0.4388,0.4368,0.4413,0.3882,0.3879,0.3892,1.13,5,3
A,add_cp,6,0.7221,0.7162,1.008,0.7476,0.6949,1.0065,0.7204,0.6392,0.7748,1.038,0.3979,0.3377,1.178,0.3848,0.3837,0.3875,0.3382,0.3379,0.3385,1.138,5,3
A,add_cp,5,0.6095,0.5981,1.019,0.6178,0.5552,0.8439,0.6281,0.5793,0.6679,0.984,0.3344,0.2871,1.165,0.3282,0.3265,0.3285,0.2866,0.2866,0.2879,1.145,5,3
