preset,logN,depth,delta,mode,library,dnum,PCount,logP,level,rep,enc_dec,rot1,ks_loss
A,15,12,42,1t,openfhe,3,4,240,1,0,30.3105,27.6549,2.6555999999999997
A,15,12,42,1t,openfhe,3,4,240,1,1,30.3263,27.8178,2.5085000000000015
A,15,12,42,1t,openfhe,3,4,240,1,2,30.3349,27.0824,3.2525000000000013
A,15,12,42,1t,openfhe,3,4,240,1,3,30.3298,27.8172,2.512599999999999
A,15,12,42,1t,openfhe,3,4,240,1,4,30.3081,27.1745,3.1336000000000013
A,15,12,42,1t,openfhe,3,4,240,1,5,30.3167,27.9332,2.3835000000000015
A,15,12,42,1t,openfhe,3,4,240,1,6,30.3175,27.089,3.2285000000000004
A,15,12,42,1t,openfhe,3,4,240,1,7,30.3123,27.9024,2.4099000000000004
A,15,12,42,1t,openfhe,3,4,240,1,8,30.3177,27.9422,2.375499999999999
A,15,12,42,1t,openfhe,3,4,240,1,9,30.3201,26.8559,3.4642000000000017
A,15,12,42,1t,openfhe,3,4,240,1,10,30.3118,27.5546,2.757200000000001
A,15,12,42,1t,openfhe,3,4,240,1,11,30.3061,26.0344,4.271699999999999
A,15,12,42,1t,openfhe,3,4,240,2,0,30.3205,27.6735,2.6469999999999985
A,15,12,42,1t,openfhe,3,4,240,2,1,30.3248,27.8223,2.5025000000000013
A,15,12,42,1t,openfhe,3,4,240,2,2,30.3146,27.0921,3.2225
A,15,12,42,1t,openfhe,3,4,240,2,3,30.3213,27.8108,2.5105000000000004
A,15,12,42,1t,openfhe,3,4,240,2,4,30.3124,27.2077,3.104700000000001
A,15,12,42,1t,openfhe,3,4,240,2,5,30.3162,27.9119,2.404299999999999
A,15,12,42,1t,openfhe,3,4,240,2,6,30.3185,27.0643,3.254200000000001
A,15,12,42,1t,openfhe,3,4,240,2,7,30.3195,27.9049,2.4146
A,15,12,42,1t,openfhe,3,4,240,2,8,30.3195,27.9211,2.3984000000000023
A,15,12,42,1t,openfhe,3,4,240,2,9,30.3186,26.8369,3.4817
A,15,12,42,1t,openfhe,3,4,240,2,10,30.3185,27.5512,2.7672999999999988
A,15,12,42,1t,openfhe,3,4,240,2,11,30.3213,26.0443,4.277000000000001
A,15,12,42,1t,openfhe,3,4,240,3,0,30.3391,27.6481,2.690999999999999
A,15,12,42,1t,openfhe,3,4,240,3,1,30.3096,27.8222,2.487400000000001
A,15,12,42,1t,openfhe,3,4,240,3,2,30.3298,27.0777,3.2520999999999987
A,15,12,42,1t,openfhe,3,4,240,3,3,30.3336,27.8043,2.529299999999999
A,15,12,42,1t,openfhe,3,4,240,3,4,30.3276,27.1888,3.1388
A,15,12,42,1t,openfhe,3,4,240,3,5,30.3231,27.9143,2.4087999999999994
A,15,12,42,1t,openfhe,3,4,240,3,6,30.3116,27.0866,3.224999999999998
A,15,12,42,1t,openfhe,3,4,240,3,7,30.3113,27.9177,2.3935999999999993
A,15,12,42,1t,openfhe,3,4,240,3,8,30.3177,27.914,2.403699999999997
A,15,12,42,1t,openfhe,3,4,240,3,9,30.3201,26.8362,3.4838999999999984
A,15,12,42,1t,openfhe,3,4,240,3,10,30.3253,27.5274,2.7978999999999985
A,15,12,42,1t,openfhe,3,4,240,3,11,30.3195,26.033,4.2865
A,15,12,42,1t,openfhe,3,4,240,4,0,30.3241,27.6599,2.664200000000001
A,15,12,42,1t,openfhe,3,4,240,4,1,30.3135,27.8202,2.4933000000000014
A,15,12,42,1t,openfhe,3,4,240,4,2,30.3207,27.0837,3.2369999999999983
A,15,12,42,1t,openfhe,3,4,240,4,3,30.3245,27.8216,2.5029000000000003
A,15,12,42,1t,openfhe,3,4,240,4,4,30.3155,27.1971,3.118400000000001
A,15,12,42,1t,openfhe,3,4,240,4,5,30.3178,27.9137,2.4040999999999997
A,15,12,42,1t,openfhe,3,4,240,4,6,30.3312,27.0904,3.2408
A,15,12,42,1t,openfhe,3,4,240,4,7,30.3178,27.9022,2.4155999999999977
A,15,12,42,1t,openfhe,3,4,240,4,8,30.3218,27.9195,2.4023000000000003
A,15,12,42,1t,openfhe,3,4,240,4,9,30.3263,26.8333,3.4929999999999986
