mode,library,op,level,mean_ms,lo_ms,hi_ms,kind,logP
1t,lattigo,add_cc,12,0.649847,0.639795,0.6598989999999999,std,300
1t,lattigo,add_cp,12,0.535473,0.527331,0.543615,std,300
1t,lattigo,mul_cp,12,1.280981,1.267657,1.2943049999999998,std,300
1t,lattigo,mul_cc,12,2.8259279999999998,2.8029149999999996,2.848941,std,300
1t,lattigo,mul_cc_rlk,12,54.475082,54.256224,54.69394,std,300
1t,lattigo,relin,12,49.64907,49.337349,49.960791,std,300
1t,lattigo,rescale,12,8.833135,8.729180000000001,8.93709,std,300
1t,lattigo,rot1,12,49.539975,49.242270999999995,49.837679,std,300
1t,lattigo,add_cc,11,0.654618,0.641661,0.667575,std,300
1t,lattigo,add_cp,11,0.525293,0.5146270000000001,0.535959,std,300
1t,lattigo,mul_cp,11,1.429981,1.412644,1.4473179999999999,std,300
1t,lattigo,mul_cc,11,3.101158,3.079513,3.1228029999999998,std,300
1t,lattigo,mul_cc_rlk,11,50.740176,50.468056999999995,51.012295,std,300
1t,lattigo,relin,11,46.359853,46.141197,46.578509000000004,std,300
1t,lattigo,rescale,11,8.123683,8.106027,8.141339,std,300
1t,lattigo,rot1,11,46.211105,45.966217,46.45599300000001,std,300
1t,lattigo,add_cc,10,0.6053,0.5957819999999999,0.614818,std,300
1t,lattigo,add_cp,10,0.481645,0.472845,0.49044499999999996,std,300
1t,lattigo,mul_cp,10,1.304278,1.281327,1.327229,std,300
1t,lattigo,mul_cc,10,2.81248,2.790726,2.834234,std,300
1t,lattigo,mul_cc_rlk,10,51.267418,49.363417999999996,53.171418,std,300
1t,lattigo,relin,10,45.328328,45.093431,45.563224999999996,std,300
1t,lattigo,rescale,10,7.446272,7.425376999999999,7.467167,std,300
1t,lattigo,rot1,10,45.414145,45.262997,45.565293,std,300
1t,lattigo,add_cc,9,0.49599400000000005,0.48466900000000007,0.5073190000000001,std,300
1t,lattigo,add_cp,9,0.41226999999999997,0.403591,0.42094899999999996,std,300
1t,lattigo,mul_cp,9,0.972913,0.9566060000000001,0.98922,std,300
1t,lattigo,mul_cc,9,2.1509430000000003,2.1329520000000004,2.168934,std,300
1t,lattigo,mul_cc_rlk,9,36.029737999999995,35.797095999999996,36.26237999999999,std,300
1t,lattigo,relin,9,32.576403,32.388766,32.76404,std,300
1t,lattigo,rescale,9,6.782822,6.693425,6.872219,std,300
1t,lattigo,rot1,9,32.551865,32.371611,32.732119,std,300
1t,lattigo,add_cc,8,0.493333,0.482003,0.504663,std,300
1t,lattigo,add_cp,8,0.390728,0.38233300000000003,0.399123,std,300
1t,lattigo,mul_cp,8,1.062066,1.043409,1.0807229999999999,std,300
1t,lattigo,mul_cc,8,1.923841,1.8510879999999998,1.996594,std,300
1t,lattigo,mul_cc_rlk,8,32.971073,32.689305,33.252841,std,300
1t,lattigo,relin,8,30.241812999999997,29.775164999999998,30.708460999999996,std,300
1t,lattigo,rescale,8,6.117615,6.032957,6.202273,std,300
1t,lattigo,rot1,8,29.986537000000002,29.833899000000002,30.139175,std,300
1t,lattigo,add_cc,7,0.39956200000000003,0.38878300000000005,0.410341,std,300
1t,lattigo,add_cp,7,0.345008,0.268754,0.42126199999999997,std,300
1t,lattigo,mul_cp,7,0.772718,0.759943,0.785493,std,300
1t,lattigo,mul_cc,7,1.674974,1.653646,1.696302,std,300
1t,lattigo,mul_cc_rlk,7,30.041648000000002,29.815794,30.267502000000004,std,300
1t,lattigo,relin,7,27.521010999999998,27.231195,27.810826999999996,std,300
1t,lattigo,rescale,7,5.421845,5.401759,5.441931,std,300
1t,lattigo,rot1,7,27.463888,27.152571000000002,27.775205,std,300
1t,lattigo,add_cc,6,0.39179899999999995,0.38518399999999997,0.39841399999999993,std,300
1t,lattigo,add_cp,6,0.306817,0.301261,0.312373,std,300
1t,lattigo,mul_cp,6,0.8248110000000001,0.80969,0.8399320000000001,std,300
1t,lattigo,mul_cc,6,1.8015750000000001,1.7788750000000002,1.824275,std,300
1t,lattigo,mul_cc_rlk,6,28.06108,26.96397,29.15819,std,300
1t,lattigo,relin,6,24.976622,24.775598,25.177646,std,300
1t,lattigo,rescale,6,4.752486,4.732857,4.772115,std,300
1t,lattigo,rot1,6,24.886145,24.711067,25.061223,std,300
1t,lattigo,add_cc,5,0.327849,0.31749,0.338208,std,300
1t,lattigo,add_cp,5,0.260042,0.24836,0.271724,std,300
1t,lattigo,mul_cp,5,0.701503,0.685644,0.7173619999999999,std,300
1t,lattigo,mul_cc,5,1.530127,1.506022,1.554232,std,300
1t,lattigo,mul_cc_rlk,5,25.822391,25.037171,26.607611,std,300
1t,lattigo,relin,5,22.833294000000002,22.713959000000003,22.952629,std,300
1t,lattigo,rescale,5,4.084228,4.065291,4.103165000000001,std,300
1t,lattigo,rot1,5,23.051631,22.771302000000002,23.33196,std,300
1t,lattigo,add_cc,4,0.307672,0.09998300000000002,0.515361,std,300
1t,lattigo,add_cp,4,0.211235,0.20469500000000002,0.217775,std,300
1t,lattigo,mul_cp,4,0.616381,0.44367899999999993,0.789083,std,300
1t,lattigo,mul_cc,4,1.2156559999999998,1.1125709999999998,1.318741,std,300
1t,lattigo,mul_cc_rlk,4,16.477875,16.353148,16.602602,std,300
1t,lattigo,relin,4,15.242524,15.103726,15.381321999999999,std,300
1t,lattigo,rescale,4,3.406948,3.387324,3.4265719999999997,std,300
1t,lattigo,rot1,4,15.275813,15.133066,15.41856,std,300
1t,lattigo,add_cc,3,0.209892,0.202146,0.217638,std,300
