library,logN,q0,delta,depth,QCount,logQ,PCount,logP,dnum,maxDigitBits,logQP,bound,margin,ok,err,digits
lattigo,14,60,40,4,5,220,1,60,5,60,280,438,158,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,40,4,5,220,2,120,3,100,340,438,98,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,40,4,5,220,3,180,2,140,400,438,38,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,41,4,5,224,1,60,5,60,284,438,154,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,41,4,5,224,2,120,3,101,344,438,94,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,41,4,5,224,3,180,2,142,404,438,34,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,42,4,5,228,1,60,5,60,288,438,150,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,42,4,5,228,2,120,3,102,348,438,90,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,42,4,5,228,3,180,2,144,408,438,30,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,43,4,5,232,1,60,5,60,292,438,146,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,43,4,5,232,2,120,3,103,352,438,86,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,43,4,5,232,3,180,2,146,412,438,26,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,44,4,5,236,1,60,5,60,296,438,142,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,44,4,5,236,2,120,3,104,356,438,82,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,44,4,5,236,3,180,2,148,416,438,22,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,45,4,5,240,1,60,5,60,300,438,138,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,45,4,5,240,2,120,3,105,360,438,78,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,45,4,5,240,3,180,2,150,420,438,18,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,46,4,5,244,1,60,5,60,304,438,134,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,46,4,5,244,2,120,3,106,364,438,74,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,46,4,5,244,3,180,2,152,424,438,14,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,47,4,5,248,1,60,5,60,308,438,130,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,47,4,5,248,2,120,3,107,368,438,70,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,47,4,5,248,3,180,2,154,428,438,10,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,48,4,5,252,1,60,5,60,312,438,126,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,48,4,5,252,2,120,3,108,372,438,66,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,48,4,5,252,3,180,2,156,432,438,6,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,49,4,5,256,1,60,5,60,316,438,122,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,49,4,5,256,2,120,3,109,376,438,62,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,49,4,5,256,3,180,2,158,436,438,2,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,50,4,5,260,1,60,5,60,320,438,118,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,50,4,5,260,2,120,3,110,380,438,58,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,50,4,5,260,3,180,2,160,440,438,-2,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,40,5,6,260,1,60,6,60,320,438,118,1,,L5=6;L4=5;L3=4;L2=3;L1=2
lattigo,14,60,40,5,6,260,2,120,3,100,380,438,58,1,,L5=3;L4=3;L3=2;L2=2;L1=1
lattigo,14,60,40,5,6,260,3,180,2,140,440,438,-2,1,,L5=2;L4=2;L3=2;L2=1;L1=1
