library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,threads,nthreads,ok,err
openfhe,6,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc_rlk,14451.178,110.769,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,6,14,60,42,4,2,3,180,228,408,438,30,4,4,relin,13535.312,20.081,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,6,14,60,42,4,2,3,180,228,408,438,30,4,4,rot1,13257.682,16.042,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
openfhe,6,14,60,42,4,3,2,120,228,348,438,90,4,4,mul_cc_rlk,15869.161,63.904,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,4,3,2,120,228,348,438,90,4,4,relin,15045.044,26.969,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,4,3,2,120,228,348,438,90,4,4,rot1,14695.184,90.841,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,4,5,1,60,228,288,438,150,4,4,mul_cc_rlk,18945.270,29.301,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
openfhe,6,14,60,42,4,5,1,60,228,288,438,150,4,4,relin,18129.992,26.890,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
openfhe,6,14,60,42,4,5,1,60,228,288,438,150,4,4,rot1,17836.545,101.301,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
openfhe,6,14,60,42,5,3,2,120,270,390,438,48,5,5,mul_cc_rlk,18299.420,32.632,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,5,3,2,120,270,390,438,48,5,5,relin,17294.937,34.539,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,5,3,2,120,270,390,438,48,5,5,rot1,16967.479,129.972,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
openfhe,6,14,60,42,5,6,1,60,270,330,438,108,5,5,mul_cc_rlk,25167.468,59.849,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
openfhe,6,14,60,42,5,6,1,60,270,330,438,108,5,5,relin,24311.242,277.572,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
openfhe,6,14,60,42,5,6,1,60,270,330,438,108,5,5,rot1,23875.668,298.967,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,4,2,3,180,228,408,438,30,4,4,mul_cc_rlk,7898.558,24.879,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
lattigo,6,14,60,42,4,2,3,180,228,408,438,30,4,4,relin,7419.648,29.347,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
lattigo,6,14,60,42,4,2,3,180,228,408,438,30,4,4,rot1,7434.836,117.223,30,L4=2;L3=2;L2=1;L1=1,1t,1,1,
lattigo,6,14,60,42,4,3,2,120,228,348,438,90,4,4,mul_cc_rlk,8985.893,22.036,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,4,3,2,120,228,348,438,90,4,4,relin,8383.873,22.320,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,4,3,2,120,228,348,438,90,4,4,rot1,8399.826,24.172,30,L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,4,5,1,60,228,288,438,150,4,4,mul_cc_rlk,11345.354,82.703,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,4,5,1,60,228,288,438,150,4,4,relin,10720.542,34.126,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,4,5,1,60,228,288,438,150,4,4,rot1,10759.613,146.844,30,L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,5,3,2,120,270,390,438,48,5,5,mul_cc_rlk,10250.076,53.931,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,5,3,2,120,270,390,438,48,5,5,relin,9123.982,18.479,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,5,3,2,120,270,390,438,48,5,5,rot1,9508.281,35.355,30,L5=3;L4=3;L3=2;L2=2;L1=1,1t,1,1,
lattigo,6,14,60,42,5,6,1,60,270,330,438,108,5,5,mul_cc_rlk,14949.144,440.187,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,5,6,1,60,270,330,438,108,5,5,relin,14098.422,61.081,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
lattigo,6,14,60,42,5,6,1,60,270,330,438,108,5,5,rot1,14171.882,53.895,30,L5=6;L4=5;L3=4;L2=3;L1=2,1t,1,1,
