library,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,0,31.3000
openfhe,14,60,42,4,2,3,180,144,4,rot1,0,28.3555
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,1,31.3371
openfhe,14,60,42,4,2,3,180,144,4,rot1,1,29.0192
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,2,31.3018
openfhe,14,60,42,4,2,3,180,144,4,rot1,2,28.9677
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,3,31.3049
openfhe,14,60,42,4,2,3,180,144,4,rot1,3,28.7775
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,4,31.3007
openfhe,14,60,42,4,2,3,180,144,4,rot1,4,28.2524
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,5,31.3118
openfhe,14,60,42,4,2,3,180,144,4,rot1,5,27.9749
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,6,31.3170
openfhe,14,60,42,4,2,3,180,144,4,rot1,6,28.1182
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,7,31.3047
openfhe,14,60,42,4,2,3,180,144,4,rot1,7,27.2667
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,8,31.3138
openfhe,14,60,42,4,2,3,180,144,4,rot1,8,28.5136
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,9,31.3164
openfhe,14,60,42,4,2,3,180,144,4,rot1,9,28.9460
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,10,31.3114
openfhe,14,60,42,4,2,3,180,144,4,rot1,10,28.4574
openfhe,14,60,42,4,2,3,180,144,4,enc_dec,11,31.3338
openfhe,14,60,42,4,2,3,180,144,4,rot1,11,28.5747
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,0,31.2939
openfhe,14,60,42,4,3,2,120,102,4,rot1,0,29.6832
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,1,31.2955
openfhe,14,60,42,4,3,2,120,102,4,rot1,1,28.0433
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,2,31.3052
openfhe,14,60,42,4,3,2,120,102,4,rot1,2,29.6791
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,3,31.3315
openfhe,14,60,42,4,3,2,120,102,4,rot1,3,29.3714
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,4,31.3162
openfhe,14,60,42,4,3,2,120,102,4,rot1,4,29.1865
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,5,31.3033
openfhe,14,60,42,4,3,2,120,102,4,rot1,5,29.3576
openfhe,14,60,42,4,3,2,120,102,4,enc_dec,6,31.3124
