library,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,0,42.3168
openfhe,15,60,54,9,2,5,300,276,9,rot1,0,39.2811
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,1,42.3172
openfhe,15,60,54,9,2,5,300,276,9,rot1,1,38.4915
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,2,42.3198
openfhe,15,60,54,9,2,5,300,276,9,rot1,2,38.8587
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,3,42.3211
openfhe,15,60,54,9,2,5,300,276,9,rot1,3,39.4394
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,4,42.3185
openfhe,15,60,54,9,2,5,300,276,9,rot1,4,37.8745
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,5,42.3115
openfhe,15,60,54,9,2,5,300,276,9,rot1,5,39.0996
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,6,42.3209
openfhe,15,60,54,9,2,5,300,276,9,rot1,6,37.6580
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,7,42.3251
openfhe,15,60,54,9,2,5,300,276,9,rot1,7,39.8522
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,8,42.3271
openfhe,15,60,54,9,2,5,300,276,9,rot1,8,38.7035
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,9,42.3254
openfhe,15,60,54,9,2,5,300,276,9,rot1,9,39.6676
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,10,42.3135
openfhe,15,60,54,9,2,5,300,276,9,rot1,10,38.8714
openfhe,15,60,54,9,2,5,300,276,9,enc_dec,11,42.3279
openfhe,15,60,54,9,2,5,300,276,9,rot1,11,39.6020
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,0,36.3307
openfhe,15,60,48,10,2,5,300,300,10,rot1,0,30.5466
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,1,36.3262
openfhe,15,60,48,10,2,5,300,300,10,rot1,1,30.6214
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,2,36.3231
openfhe,15,60,48,10,2,5,300,300,10,rot1,2,32.6504
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,3,36.3318
openfhe,15,60,48,10,2,5,300,300,10,rot1,3,31.8302
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,4,36.3162
openfhe,15,60,48,10,2,5,300,300,10,rot1,4,32.4202
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,5,36.3289
openfhe,15,60,48,10,2,5,300,300,10,rot1,5,32.6965
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,6,36.3260
openfhe,15,60,48,10,2,5,300,300,10,rot1,6,32.9358
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,7,36.3201
openfhe,15,60,48,10,2,5,300,300,10,rot1,7,31.0548
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,8,36.3227
openfhe,15,60,48,10,2,5,300,300,10,rot1,8,32.0118
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,9,36.3073
openfhe,15,60,48,10,2,5,300,300,10,rot1,9,32.2723
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,10,36.3067
openfhe,15,60,48,10,2,5,300,300,10,rot1,10,33.1235
openfhe,15,60,48,10,2,5,300,300,10,enc_dec,11,36.3176
openfhe,15,60,48,10,2,5,300,300,10,rot1,11,31.3884
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,0,34.3156
openfhe,15,60,46,11,2,5,300,290,11,rot1,0,31.4996
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,1,34.3185
openfhe,15,60,46,11,2,5,300,290,11,rot1,1,31.2837
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,2,34.3198
openfhe,15,60,46,11,2,5,300,290,11,rot1,2,30.5434
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,3,34.3041
openfhe,15,60,46,11,2,5,300,290,11,rot1,3,31.2633
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,4,34.3318
openfhe,15,60,46,11,2,5,300,290,11,rot1,4,30.7329
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,5,34.3129
openfhe,15,60,46,11,2,5,300,290,11,rot1,5,31.7786
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,6,34.3136
openfhe,15,60,46,11,2,5,300,290,11,rot1,6,31.2884
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,7,34.3109
openfhe,15,60,46,11,2,5,300,290,11,rot1,7,31.3972
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,8,34.3250
openfhe,15,60,46,11,2,5,300,290,11,rot1,8,30.9231
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,9,34.3283
openfhe,15,60,46,11,2,5,300,290,11,rot1,9,30.4573
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,10,34.3259
openfhe,15,60,46,11,2,5,300,290,11,rot1,10,31.2909
openfhe,15,60,46,11,2,5,300,290,11,enc_dec,11,34.3095
openfhe,15,60,46,11,2,5,300,290,11,rot1,11,28.8913
lattigo,15,60,48,10,3,4,240,204,10,enc_dec,0,39.6289
lattigo,15,60,48,10,3,4,240,204,10,rot1,0,36.0696
