library,logN,q0,delta,depth,QCount,logQ,PCount,logP,dnum,maxDigitBits,logQP,bound,margin,ok,err,digits
seal,14,60,40,4,5,220,1,60,5,60,280,438,158,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,41,4,5,224,1,60,5,60,284,438,154,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,42,4,5,228,1,60,5,60,288,438,150,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,43,4,5,232,1,60,5,60,292,438,146,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,44,4,5,236,1,60,5,60,296,438,142,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,45,4,5,240,1,60,5,60,300,438,138,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,46,4,5,244,1,60,5,60,304,438,134,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,47,4,5,248,1,60,5,60,308,438,130,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,48,4,5,252,1,60,5,60,312,438,126,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,49,4,5,256,1,60,5,60,316,438,122,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,50,4,5,260,1,60,5,60,320,438,118,1,,L4=5;L3=4;L2=3;L1=2
seal,14,60,40,5,6,260,1,60,6,60,320,438,118,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,41,5,6,265,1,60,6,60,325,438,113,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,42,5,6,270,1,60,6,60,330,438,108,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,43,5,6,275,1,60,6,60,335,438,103,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,44,5,6,280,1,60,6,60,340,438,98,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,45,5,6,285,1,60,6,60,345,438,93,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,46,5,6,290,1,60,6,60,350,438,88,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,47,5,6,295,1,60,6,60,355,438,83,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,48,5,6,300,1,60,6,60,360,438,78,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,49,5,6,305,1,60,6,60,365,438,73,1,,L5=6;L4=5;L3=4;L2=3;L1=2
seal,14,60,50,5,6,310,1,60,6,60,370,438,68,1,,L5=6;L4=5;L3=4;L2=3;L1=2
