library,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,0,31.3216
openfhe,15,60,43,12,3,4,240,232,12,rot1,0,28.3992
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,1,31.3430
openfhe,15,60,43,12,3,4,240,232,12,rot1,1,28.2113
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,2,31.3173
openfhe,15,60,43,12,3,4,240,232,12,rot1,2,28.7176
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,3,31.3213
openfhe,15,60,43,12,3,4,240,232,12,rot1,3,27.9897
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,4,31.3189
openfhe,15,60,43,12,3,4,240,232,12,rot1,4,27.9971
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,5,31.3311
openfhe,15,60,43,12,3,4,240,232,12,rot1,5,28.5178
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,6,31.3074
openfhe,15,60,43,12,3,4,240,232,12,rot1,6,28.4233
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,7,31.3122
openfhe,15,60,43,12,3,4,240,232,12,rot1,7,27.6006
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,8,31.3056
openfhe,15,60,43,12,3,4,240,232,12,rot1,8,28.1234
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,9,31.3214
openfhe,15,60,43,12,3,4,240,232,12,rot1,9,29.0095
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,10,31.3133
openfhe,15,60,43,12,3,4,240,232,12,rot1,10,29.0125
openfhe,15,60,43,12,3,4,240,232,12,enc_dec,11,31.3086
openfhe,15,60,43,12,3,4,240,232,12,rot1,11,28.6497
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3230
openfhe,15,60,42,12,3,4,240,228,12,rot1,0,28.0162
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3318
openfhe,15,60,42,12,3,4,240,228,12,rot1,1,26.7328
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3019
openfhe,15,60,42,12,3,4,240,228,12,rot1,2,26.6521
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,3,30.3107
openfhe,15,60,42,12,3,4,240,228,12,rot1,3,27.6381
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,4,30.3225
openfhe,15,60,42,12,3,4,240,228,12,rot1,4,27.1059
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,5,30.3260
openfhe,15,60,42,12,3,4,240,228,12,rot1,5,27.0455
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,6,30.3102
openfhe,15,60,42,12,3,4,240,228,12,rot1,6,27.7990
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,7,30.3301
openfhe,15,60,42,12,3,4,240,228,12,rot1,7,27.8126
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,8,30.3270
openfhe,15,60,42,12,3,4,240,228,12,rot1,8,27.5984
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,9,30.3195
openfhe,15,60,42,12,3,4,240,228,12,rot1,9,27.4974
openfhe,15,60,42,12,3,4,240,228,12,enc_dec,10,30.3296
openfhe,15,60,42,12,3,4,240,228,12,rot1,10,27.3279
