library,logN,q0,delta,depth,QCount,logQ,PCount,logP,dnum,maxDigitBits,logQP,bound,margin,ok,err,digits
lattigo,14,60,40,4,5,220,1,60,5,60,280,438,158,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,40,4,5,220,2,120,3,100,340,438,98,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,40,4,5,220,3,180,2,140,400,438,38,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,40,4,5,220,4,240,2,180,460,438,-22,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,40,4,5,220,5,300,1,220,520,438,-82,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,41,4,5,224,1,60,5,60,284,438,154,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,41,4,5,224,2,120,3,101,344,438,94,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,41,4,5,224,3,180,2,142,404,438,34,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,41,4,5,224,4,240,2,183,464,438,-26,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,41,4,5,224,5,300,1,224,524,438,-86,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,42,4,5,228,1,60,5,60,288,438,150,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,42,4,5,228,2,120,3,102,348,438,90,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,42,4,5,228,3,180,2,144,408,438,30,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,42,4,5,228,4,240,2,186,468,438,-30,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,42,4,5,228,5,300,1,228,528,438,-90,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,43,4,5,232,1,60,5,60,292,438,146,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,43,4,5,232,2,120,3,103,352,438,86,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,43,4,5,232,3,180,2,146,412,438,26,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,43,4,5,232,4,240,2,189,472,438,-34,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,43,4,5,232,5,300,1,232,532,438,-94,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,44,4,5,236,1,60,5,60,296,438,142,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,44,4,5,236,2,120,3,104,356,438,82,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,44,4,5,236,3,180,2,148,416,438,22,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,44,4,5,236,4,240,2,192,476,438,-38,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,44,4,5,236,5,300,1,236,536,438,-98,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,45,4,5,240,1,60,5,60,300,438,138,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,45,4,5,240,2,120,3,105,360,438,78,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,45,4,5,240,3,180,2,150,420,438,18,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,45,4,5,240,4,240,2,195,480,438,-42,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,45,4,5,240,5,300,1,240,540,438,-102,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,46,4,5,244,1,60,5,60,304,438,134,1,,L4=5;L3=4;L2=3;L1=2
lattigo,14,60,46,4,5,244,2,120,3,106,364,438,74,1,,L4=3;L3=2;L2=2;L1=1
lattigo,14,60,46,4,5,244,3,180,2,152,424,438,14,1,,L4=2;L3=2;L2=1;L1=1
lattigo,14,60,46,4,5,244,4,240,2,198,484,438,-46,1,,L4=2;L3=1;L2=1;L1=1
lattigo,14,60,46,4,5,244,5,300,1,244,544,438,-106,1,,L4=1;L3=1;L2=1;L1=1
lattigo,14,60,47,4,5,248,1,60,5,60,308,438,130,1,,L4=5;L3=4;L2=3;L1=2
