logN,q0,delta,depth,dnum_req,ok,err,auxBits,ksTech,QCount,logQ,logQ_bits,dnum,perPart,maxDigitBits,PCount,logP,logP_bits,logQP,logQP_bits,bound_tc128,margin,digits
14,60,40,4,1,1,,60,HYBRID,5,220,222,1,5,220,4,240,240,460,462,438,-22,L4=1;L3=1;L2=1;L1=1
14,60,40,4,2,1,,60,HYBRID,5,220,222,2,3,140,3,180,180,400,402,438,38,L4=2;L3=2;L2=1;L1=1
14,60,40,4,3,1,,60,HYBRID,5,220,222,3,2,100,2,120,120,340,342,438,98,L4=3;L3=2;L2=2;L1=1
14,60,40,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,40,4,5,1,,60,HYBRID,5,220,222,5,1,60,1,60,60,280,282,438,158,L4=5;L3=4;L2=3;L1=2
14,60,41,4,1,1,,60,HYBRID,5,224,226,1,5,225,4,240,240,464,466,438,-26,L4=1;L3=1;L2=1;L1=1
14,60,41,4,2,1,,60,HYBRID,5,224,226,2,3,143,3,180,180,404,406,438,34,L4=2;L3=2;L2=1;L1=1
14,60,41,4,3,1,,60,HYBRID,5,224,226,3,2,101,2,120,120,344,346,438,94,L4=3;L3=2;L2=2;L1=1
14,60,41,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,41,4,5,1,,60,HYBRID,5,224,226,5,1,60,1,60,60,284,286,438,154,L4=5;L3=4;L2=3;L1=2
14,60,42,4,1,1,,60,HYBRID,5,228,230,1,5,229,4,240,240,468,470,438,-30,L4=1;L3=1;L2=1;L1=1
14,60,42,4,2,1,,60,HYBRID,5,228,230,2,3,145,3,180,180,408,410,438,30,L4=2;L3=2;L2=1;L1=1
14,60,42,4,3,1,,60,HYBRID,5,228,230,3,2,102,2,120,120,348,350,438,90,L4=3;L3=2;L2=2;L1=1
14,60,42,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,42,4,5,1,,60,HYBRID,5,228,230,5,1,60,1,60,60,288,290,438,150,L4=5;L3=4;L2=3;L1=2
14,60,43,4,1,1,,60,HYBRID,5,232,234,1,5,233,4,240,240,472,474,438,-34,L4=1;L3=1;L2=1;L1=1
14,60,43,4,2,1,,60,HYBRID,5,232,234,2,3,147,3,180,180,412,414,438,26,L4=2;L3=2;L2=1;L1=1
14,60,43,4,3,1,,60,HYBRID,5,232,234,3,2,103,2,120,120,352,354,438,86,L4=3;L3=2;L2=2;L1=1
14,60,43,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,43,4,5,1,,60,HYBRID,5,232,234,5,1,60,1,60,60,292,294,438,146,L4=5;L3=4;L2=3;L1=2
14,60,44,4,1,1,,60,HYBRID,5,236,238,1,5,236,4,240,240,476,478,438,-38,L4=1;L3=1;L2=1;L1=1
14,60,44,4,2,1,,60,HYBRID,5,236,238,2,3,148,3,180,180,416,418,438,22,L4=2;L3=2;L2=1;L1=1
14,60,44,4,3,1,,60,HYBRID,5,236,238,3,2,104,2,120,120,356,358,438,82,L4=3;L3=2;L2=2;L1=1
14,60,44,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,44,4,5,1,,60,HYBRID,5,236,238,5,1,60,1,60,60,296,298,438,142,L4=5;L3=4;L2=3;L1=2
14,60,45,4,1,1,,60,HYBRID,5,240,242,1,5,240,4,240,240,480,482,438,-42,L4=1;L3=1;L2=1;L1=1
14,60,45,4,2,1,,60,HYBRID,5,240,242,2,3,150,3,180,180,420,422,438,18,L4=2;L3=2;L2=1;L1=1
14,60,45,4,3,1,,60,HYBRID,5,240,242,3,2,105,2,120,120,360,362,438,78,L4=3;L3=2;L2=2;L1=1
14,60,45,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,45,4,5,1,,60,HYBRID,5,240,242,5,1,60,1,60,60,300,302,438,138,L4=5;L3=4;L2=3;L1=2
14,60,46,4,1,1,,60,HYBRID,5,244,246,1,5,244,5,300,300,544,546,438,-106,L4=1;L3=1;L2=1;L1=1
14,60,46,4,2,1,,60,HYBRID,5,244,246,2,3,152,3,180,180,424,426,438,14,L4=2;L3=2;L2=1;L1=1
14,60,46,4,3,1,,60,HYBRID,5,244,246,3,2,106,2,120,120,364,366,438,74,L4=3;L3=2;L2=2;L1=1
14,60,46,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,46,4,5,1,,60,HYBRID,5,244,246,5,1,60,1,60,60,304,306,438,134,L4=5;L3=4;L2=3;L1=2
14,60,47,4,1,1,,60,HYBRID,5,248,250,1,5,249,5,300,300,548,550,438,-110,L4=1;L3=1;L2=1;L1=1
14,60,47,4,2,1,,60,HYBRID,5,248,250,2,3,155,3,180,180,428,430,438,10,L4=2;L3=2;L2=1;L1=1
14,60,47,4,3,1,,60,HYBRID,5,248,250,3,2,107,2,120,120,368,370,438,70,L4=3;L3=2;L2=2;L1=1
14,60,47,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,47,4,5,1,,60,HYBRID,5,248,250,5,1,60,1,60,60,308,310,438,130,L4=5;L3=4;L2=3;L1=2
14,60,48,4,1,1,,60,HYBRID,5,252,254,1,5,253,5,300,300,552,554,438,-114,L4=1;L3=1;L2=1;L1=1
14,60,48,4,2,1,,60,HYBRID,5,252,254,2,3,157,3,180,180,432,434,438,6,L4=2;L3=2;L2=1;L1=1
14,60,48,4,3,1,,60,HYBRID,5,252,254,3,2,108,2,120,120,372,374,438,66,L4=3;L3=2;L2=2;L1=1
14,60,48,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,48,4,5,1,,60,HYBRID,5,252,254,5,1,60,1,60,60,312,314,438,126,L4=5;L3=4;L2=3;L1=2
14,60,49,4,1,1,,60,HYBRID,5,256,258,1,5,257,5,300,300,556,558,438,-118,L4=1;L3=1;L2=1;L1=1
14,60,49,4,2,1,,60,HYBRID,5,256,258,2,3,159,3,180,180,436,438,438,2,L4=2;L3=2;L2=1;L1=1
14,60,49,4,3,1,,60,HYBRID,5,256,258,3,2,109,2,120,120,376,378,438,62,L4=3;L3=2;L2=2;L1=1
14,60,49,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,49,4,5,1,,60,HYBRID,5,256,258,5,1,60,1,60,60,316,318,438,122,L4=5;L3=4;L2=3;L1=2
14,60,50,4,1,1,,60,HYBRID,5,260,262,1,5,260,5,300,300,560,562,438,-122,L4=1;L3=1;L2=1;L1=1
14,60,50,4,2,1,,60,HYBRID,5,260,262,2,3,160,3,180,180,440,442,438,-2,L4=2;L3=2;L2=1;L1=1
14,60,50,4,3,1,,60,HYBRID,5,260,262,3,2,110,2,120,120,380,382,438,58,L4=3;L3=2;L2=2;L1=1
14,60,50,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,50,4,5,1,,60,HYBRID,5,260,262,5,1,60,1,60,60,320,322,438,118,L4=5;L3=4;L2=3;L1=2
14,60,51,4,1,1,,60,HYBRID,5,264,266,1,5,264,5,300,300,564,566,438,-126,L4=1;L3=1;L2=1;L1=1
14,60,51,4,2,1,,60,HYBRID,5,264,266,2,3,162,3,180,180,444,446,438,-6,L4=2;L3=2;L2=1;L1=1
14,60,51,4,3,1,,60,HYBRID,5,264,266,3,2,111,2,120,120,384,386,438,54,L4=3;L3=2;L2=2;L1=1
14,60,51,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,51,4,5,1,,60,HYBRID,5,264,266,5,1,60,1,60,60,324,326,438,114,L4=5;L3=4;L2=3;L1=2
14,60,52,4,1,1,,60,HYBRID,5,268,270,1,5,268,5,300,300,568,570,438,-130,L4=1;L3=1;L2=1;L1=1
14,60,52,4,2,1,,60,HYBRID,5,268,270,2,3,164,3,180,180,448,450,438,-10,L4=2;L3=2;L2=1;L1=1
14,60,52,4,3,1,,60,HYBRID,5,268,270,3,2,112,2,120,120,388,390,438,50,L4=3;L3=2;L2=2;L1=1
14,60,52,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,52,4,5,1,,60,HYBRID,5,268,270,5,1,60,1,60,60,328,330,438,110,L4=5;L3=4;L2=3;L1=2
14,60,53,4,1,1,,60,HYBRID,5,272,274,1,5,272,5,300,300,572,574,438,-134,L4=1;L3=1;L2=1;L1=1
14,60,53,4,2,1,,60,HYBRID,5,272,274,2,3,166,3,180,180,452,454,438,-14,L4=2;L3=2;L2=1;L1=1
14,60,53,4,3,1,,60,HYBRID,5,272,274,3,2,113,2,120,120,392,394,438,46,L4=3;L3=2;L2=2;L1=1
14,60,53,4,4,0,/data/yja/openfhe-src/src/pke/lib/schemerns/rns-cryptoparameters.cpp:l.91:PrecomputeCRTTables(): HYBRID key switching parameters: Can't appropriately distribute 5 towers into 4 digits. Please select different number of digits.,,,,,,,,,,,,,,,
14,60,53,4,5,1,,60,HYBRID,5,272,274,5,1,60,1,60,60,332,334,438,106,L4=5;L3=4;L2=3;L1=2
