library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,6,14,60,42,6,4,2,120,312,432,438,6,6,6,mul_cc_rlk,24592.275,312.428,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,14,60,42,6,4,2,120,312,432,438,6,6,6,relin,23396.845,234.593,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,14,60,42,6,4,2,120,312,432,438,6,6,6,rot1,22936.416,142.009,30,L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,14,60,42,6,7,1,60,312,372,438,66,6,6,mul_cc_rlk,32739.628,329.277,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,14,60,42,6,7,1,60,312,372,438,66,6,6,relin,31436.969,239.890,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,14,60,42,6,7,1,60,312,372,438,66,6,6,rot1,31074.431,316.487,30,L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,14,60,42,7,8,1,60,354,414,438,24,7,7,mul_cc_rlk,40670.660,215.761,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,14,60,42,7,8,1,60,354,414,438,24,7,7,relin,39184.274,305.302,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,14,60,42,7,8,1,60,354,414,438,24,7,7,rot1,38538.924,274.022,30,L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,54,9,2,5,300,546,846,881,35,9,9,mul_cc_rlk,59651.604,528.108,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,2,5,300,546,846,881,35,9,9,relin,55770.627,437.643,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,2,5,300,546,846,881,35,9,9,rot1,54323.660,445.420,30,L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,3,4,240,546,786,881,95,9,9,mul_cc_rlk,68725.728,462.673,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,3,4,240,546,786,881,95,9,9,relin,65534.360,568.442,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,3,4,240,546,786,881,95,9,9,rot1,63764.036,556.363,30,L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,54,9,4,3,180,546,726,881,155,9,9,mul_cc_rlk,76388.456,698.778,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,54,9,4,3,180,546,726,881,155,9,9,relin,73241.202,646.384,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,54,9,4,3,180,546,726,881,155,9,9,rot1,71344.487,591.168,30,L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,54,9,5,2,120,546,666,881,215,9,9,mul_cc_rlk,82571.685,596.270,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,54,9,5,2,120,546,666,881,215,9,9,relin,79487.104,845.694,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,54,9,5,2,120,546,666,881,215,9,9,rot1,77309.517,464.690,30,L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,54,9,10,1,60,546,606,881,275,9,9,mul_cc_rlk,130059.746,1290.377,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,54,9,10,1,60,546,606,881,275,9,9,relin,125465.462,946.983,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,54,9,10,1,60,546,606,881,275,9,9,rot1,125072.932,1027.272,30,L9=10;L8=9;L7=8;L6=7;L5=6;L4=5;L3=4;L2=3;L1=2,1,
openfhe,6,15,60,48,10,2,5,300,540,840,881,41,10,10,mul_cc_rlk,64255.605,731.903,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,2,5,300,540,840,881,41,10,10,relin,60116.378,489.758,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,2,5,300,540,840,881,41,10,10,rot1,58368.374,436.009,30,L10=2;L9=2;L8=2;L7=2;L6=2;L5=1;L4=1;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,3,4,240,540,780,881,101,10,10,mul_cc_rlk,74440.827,663.784,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,3,4,240,540,780,881,101,10,10,relin,70721.075,429.746,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,3,4,240,540,780,881,101,10,10,rot1,69312.558,827.154,30,L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,6,15,60,48,10,4,3,180,540,720,881,161,10,10,mul_cc_rlk,82506.098,445.085,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,48,10,4,3,180,540,720,881,161,10,10,relin,79055.291,451.950,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,48,10,4,3,180,540,720,881,161,10,10,rot1,77354.008,544.208,30,L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
openfhe,6,15,60,48,10,6,2,120,540,660,881,221,10,10,mul_cc_rlk,102015.815,475.321,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,48,10,6,2,120,540,660,881,221,10,10,relin,98051.790,546.504,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
openfhe,6,15,60,48,10,6,2,120,540,660,881,221,10,10,rot1,96501.631,538.136,30,L10=6;L9=5;L8=5;L7=4;L6=4;L5=3;L4=3;L3=2;L2=2;L1=1,1,
