library,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,0,29.2926
openfhe,14,60,40,6,4,2,120,100,6,rot1,0,27.6873
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,1,29.3108
openfhe,14,60,40,6,4,2,120,100,6,rot1,1,26.7682
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,2,29.3147
openfhe,14,60,40,6,4,2,120,100,6,rot1,2,27.2045
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,3,29.3019
openfhe,14,60,40,6,4,2,120,100,6,rot1,3,26.8134
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,4,29.3114
openfhe,14,60,40,6,4,2,120,100,6,rot1,4,27.0858
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,5,29.3241
openfhe,14,60,40,6,4,2,120,100,6,rot1,5,26.7414
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,6,29.3138
openfhe,14,60,40,6,4,2,120,100,6,rot1,6,26.3601
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,7,29.3321
openfhe,14,60,40,6,4,2,120,100,6,rot1,7,26.8679
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,8,29.3303
openfhe,14,60,40,6,4,2,120,100,6,rot1,8,27.3799
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,9,29.3195
openfhe,14,60,40,6,4,2,120,100,6,rot1,9,27.6088
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,10,29.2921
openfhe,14,60,40,6,4,2,120,100,6,rot1,10,27.5090
openfhe,14,60,40,6,4,2,120,100,6,enc_dec,11,29.3273
openfhe,14,60,40,6,4,2,120,100,6,rot1,11,25.7006
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,0,31.3122
openfhe,14,60,42,6,4,2,120,102,6,rot1,0,29.2371
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,1,31.3193
openfhe,14,60,42,6,4,2,120,102,6,rot1,1,29.1267
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,2,31.3170
openfhe,14,60,42,6,4,2,120,102,6,rot1,2,29.2770
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,3,31.3293
openfhe,14,60,42,6,4,2,120,102,6,rot1,3,29.4034
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,4,31.3260
openfhe,14,60,42,6,4,2,120,102,6,rot1,4,29.7402
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,5,31.3243
openfhe,14,60,42,6,4,2,120,102,6,rot1,5,29.3610
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,6,31.3053
openfhe,14,60,42,6,4,2,120,102,6,rot1,6,29.5245
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,7,31.2897
openfhe,14,60,42,6,4,2,120,102,6,rot1,7,29.0830
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,8,31.3169
openfhe,14,60,42,6,4,2,120,102,6,rot1,8,29.6918
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,9,31.3004
openfhe,14,60,42,6,4,2,120,102,6,rot1,9,28.5797
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,10,31.3127
openfhe,14,60,42,6,4,2,120,102,6,rot1,10,28.9956
openfhe,14,60,42,6,4,2,120,102,6,enc_dec,11,31.3047
openfhe,14,60,42,6,4,2,120,102,6,rot1,11,28.8784
openfhe,14,60,42,7,8,1,60,60,7,enc_dec,0,31.3192
openfhe,14,60,42,7,8,1,60,60,7,rot1,0,28.5861
openfhe,14,60,42,7,8,1,60,60,7,enc_dec,1,31.2868
openfhe,14,60,42,7,8,1,60,60,7,rot1,1,29.5607
openfhe,14,60,42,7,8,1,60,60,7,enc_dec,2,31.2806
openfhe,14,60,42,7,8,1,60,60,7,rot1,2,28.8724
openfhe,14,60,42,7,8,1,60,60,7,enc_dec,3,31.3197
