library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
openfhe,4,15,60,42,12,3,4,240,564,804,881,77,12,12,mul_cc_rlk,87443.305,863.369,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,4,15,60,42,12,3,4,240,564,804,881,77,12,12,relin,82975.160,719.477,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,4,15,60,42,12,3,4,240,564,804,881,77,12,12,rot1,80742.806,657.963,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
openfhe,4,15,60,42,12,4,4,240,564,804,881,77,12,12,mul_cc_rlk,104517.969,635.125,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,4,15,60,42,12,4,4,240,564,804,881,77,12,12,relin,99411.215,922.824,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
openfhe,4,15,60,42,12,4,4,240,564,804,881,77,12,12,rot1,97500.544,566.845,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,3,5,300,564,864,881,17,12,12,mul_cc_rlk,54934.586,576.171,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,3,5,300,564,864,881,17,12,12,relin,49823.839,416.278,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,3,5,300,564,864,881,17,12,12,rot1,49787.834,468.531,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,4,4,240,564,804,881,77,12,12,mul_cc_rlk,62087.389,414.827,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,4,4,240,564,804,881,77,12,12,relin,57332.692,609.693,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,4,4,240,564,804,881,77,12,12,rot1,57381.746,305.132,30,L12=4;L11=3;L10=3;L9=3;L8=3;L7=2;L6=2;L5=2;L4=2;L3=1;L2=1;L1=1,1,
lattigo,4,15,60,42,12,5,3,180,564,744,881,137,12,12,mul_cc_rlk,65975.781,312.743,30,L12=5;L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,4,15,60,42,12,5,3,180,564,744,881,137,12,12,relin,61278.609,404.934,30,L12=5;L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
lattigo,4,15,60,42,12,5,3,180,564,744,881,137,12,12,rot1,62001.863,611.628,30,L12=5;L11=4;L10=4;L9=4;L8=3;L7=3;L6=3;L5=2;L4=2;L3=2;L2=1;L1=1,1,
