preset,logN,depth,delta,mode,library,dnum,PCount,logP,level,rep,enc_dec,rot1,ks_loss
A,15,12,42,1t,lattigo,3,5,300,1,0,33.6444,30.0788,3.5655999999999963
A,15,12,42,1t,lattigo,3,5,300,1,1,33.6268,30.0781,3.5487000000000037
A,15,12,42,1t,lattigo,3,5,300,1,2,33.6344,30.0829,3.5515000000000008
A,15,12,42,1t,lattigo,3,5,300,1,3,33.6266,30.0803,3.5463000000000022
A,15,12,42,1t,lattigo,3,5,300,1,4,33.6344,30.0811,3.5533
A,15,12,42,1t,lattigo,3,5,300,1,5,33.6288,30.0687,3.5600999999999985
A,15,12,42,1t,lattigo,3,5,300,1,6,33.6159,30.0794,3.5365000000000038
A,15,12,42,1t,lattigo,3,5,300,1,7,33.6291,30.0854,3.543700000000001
A,15,12,42,1t,lattigo,3,5,300,1,8,33.613,30.0676,3.5454000000000008
A,15,12,42,1t,lattigo,3,5,300,1,9,33.6242,30.0801,3.5441000000000003
A,15,12,42,1t,lattigo,3,5,300,1,10,33.6418,30.0726,3.569200000000002
A,15,12,42,1t,lattigo,3,5,300,1,11,33.6228,30.081,3.5417999999999985
A,15,12,42,1t,lattigo,3,5,300,2,0,33.6279,30.09,3.537899999999997
A,15,12,42,1t,lattigo,3,5,300,2,1,33.6207,30.0761,3.544599999999999
A,15,12,42,1t,lattigo,3,5,300,2,2,33.6243,30.0681,3.556199999999997
A,15,12,42,1t,lattigo,3,5,300,2,3,33.6245,30.079,3.545499999999997
A,15,12,42,1t,lattigo,3,5,300,2,4,33.6231,30.0791,3.5440000000000005
A,15,12,42,1t,lattigo,3,5,300,2,5,33.632,30.0663,3.5656999999999996
A,15,12,42,1t,lattigo,3,5,300,2,6,33.6284,30.0905,3.5379000000000005
A,15,12,42,1t,lattigo,3,5,300,2,7,33.6346,30.0728,3.561799999999998
A,15,12,42,1t,lattigo,3,5,300,2,8,33.6416,30.0716,3.5699999999999967
A,15,12,42,1t,lattigo,3,5,300,2,9,33.6335,30.0789,3.554599999999997
A,15,12,42,1t,lattigo,3,5,300,2,10,33.6213,30.0648,3.556499999999996
A,15,12,42,1t,lattigo,3,5,300,2,11,33.6187,30.0614,3.557299999999998
A,15,12,42,1t,lattigo,3,5,300,3,0,33.6282,30.0779,3.5503
A,15,12,42,1t,lattigo,3,5,300,3,1,33.6193,30.0894,3.5299000000000014
A,15,12,42,1t,lattigo,3,5,300,3,2,33.6281,30.0826,3.545500000000004
A,15,12,42,1t,lattigo,3,5,300,3,3,33.635,30.0695,3.5654999999999966
A,15,12,42,1t,lattigo,3,5,300,3,4,33.631,30.0778,3.5532000000000004
A,15,12,42,1t,lattigo,3,5,300,3,5,33.6303,30.0817,3.548599999999997
A,15,12,42,1t,lattigo,3,5,300,3,6,33.631,30.0749,3.5561000000000007
A,15,12,42,1t,lattigo,3,5,300,3,7,33.6216,30.0745,3.5471000000000004
A,15,12,42,1t,lattigo,3,5,300,3,8,33.641,30.0695,3.571499999999997
A,15,12,42,1t,lattigo,3,5,300,3,9,33.613,30.0797,3.5333000000000006
A,15,12,42,1t,lattigo,3,5,300,3,10,33.6371,30.0654,3.5716999999999963
A,15,12,42,1t,lattigo,3,5,300,3,11,33.6193,30.0853,3.5340000000000025
A,15,12,42,1t,lattigo,3,5,300,4,0,33.631,30.0771,3.5538999999999987
A,15,12,42,1t,lattigo,3,5,300,4,1,33.6313,30.0737,3.5576000000000043
A,15,12,42,1t,lattigo,3,5,300,4,2,33.6356,30.0613,3.5742999999999974
A,15,12,42,1t,lattigo,3,5,300,4,3,33.6264,30.0631,3.563299999999998
A,15,12,42,1t,lattigo,3,5,300,4,4,33.6253,30.0751,3.550200000000004
A,15,12,42,1t,lattigo,3,5,300,4,5,33.6385,30.0664,3.572099999999999
A,15,12,42,1t,lattigo,3,5,300,4,6,33.6368,30.08,3.5568000000000026
A,15,12,42,1t,lattigo,3,5,300,4,7,33.6199,30.0957,3.5242000000000004
A,15,12,42,1t,lattigo,3,5,300,4,8,33.6372,30.0763,3.5609
A,15,12,42,1t,lattigo,3,5,300,4,9,33.6202,30.0862,3.5339999999999954
A,15,12,42,1t,lattigo,3,5,300,4,10,33.6276,30.0782,3.549400000000002
A,15,12,42,1t,lattigo,3,5,300,4,11,33.6243,30.0729,3.5513999999999974
