preset,logN,depth,delta,mode,library,dnum,PCount,logP,logQP,margin,level,digit,op,mean_us,std_us,cv,reps
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,add_cc,1467.856,63.147,0.043019887509401465,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,add_cp,1372.041,12.77,0.00930730204126553,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,mul_cp,2797.284,47.661,0.017038312877777156,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,mul_cc,8748.756,164.216,0.018770211444918573,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,mul_cc_rlk,87689.748,637.315,0.007267839337387536,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,relin,84148.498,1068.583,0.012698776869433843,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,rescale,15077.701,27.979,0.0018556542539210719,30
A,15,12,42,1t,openfhe,3,4,240,804,77,12,3,rot1,81434.693,978.02,0.012009869061580424,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,add_cc,1318.874,11.746,0.00890608200631751,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,add_cp,1251.696,11.114,0.008879152765527733,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,mul_cp,2615.506,150.907,0.057697057471862045,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,mul_cc,7931.348,160.322,0.0202137139865758,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,mul_cc_rlk,82535.822,1250.936,0.015156279657577045,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,relin,78287.867,2674.173,0.034158204872282445,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,rescale,13945.198,255.637,0.018331543230866998,30
A,15,12,42,1t,openfhe,3,4,240,804,77,11,3,rot1,75828.043,1411.092,0.01860910481363735,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,add_cc,1201.287,12.432,0.01034890080388783,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,add_cp,1148.232,11.448,0.009970110569989341,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,mul_cp,2375.023,93.724,0.039462354680354673,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,mul_cc,7235.583,233.53,0.03227521541802506,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,mul_cc_rlk,76361.517,1056.533,0.013835935187091685,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,relin,72183.192,1091.166,0.015116621609085949,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,rescale,12974.991,695.081,0.05357082713968742,30
A,15,12,42,1t,openfhe,3,4,240,804,77,10,3,rot1,70778.586,1066.004,0.015061109019612232,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,add_cc,1092.526,8.445,0.007729793158240628,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,add_cp,1035.42,27.993,0.027035405922234454,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,mul_cp,2169.636,89.752,0.04136730769585313,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,mul_cc,6479.037,187.746,0.028977454519861518,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,mul_cc_rlk,56732.775,857.567,0.015115900817472792,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,relin,52784.708,1756.261,0.033272155261330615,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,rescale,11408.265,83.132,0.0072869976284737435,30
A,15,12,42,1t,openfhe,3,4,240,804,77,9,2,rot1,50910.957,461.522,0.009065278423267509,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,add_cc,978.279,10.137,0.010362074622883657,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,add_cp,935.667,9.408,0.010054859260826767,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,mul_cp,1923.742,19.27,0.01001693574294266,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,mul_cc,5699.227,22.093,0.003876490618815499,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,mul_cc_rlk,51828.8,2405.156,0.046405782113419565,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,relin,48719.641,2232.448,0.04582234093227411,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,rescale,10291.818,11.445,0.0011120484252636416,30
A,15,12,42,1t,openfhe,3,4,240,804,77,8,2,rot1,46954.302,1532.505,0.0326382234369068,30
A,15,12,42,1t,openfhe,3,4,240,804,77,7,2,add_cc,877.923,10.057,0.011455446548273596,30
