library,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,15,60,40,13,2,5,300,300,13,enc_dec,0,28.3242
openfhe,15,60,40,13,2,5,300,300,13,rot1,0,23.3987
openfhe,15,60,40,13,2,5,300,300,13,enc_dec,1,28.3041
openfhe,15,60,40,13,2,5,300,300,13,rot1,1,24.5299
openfhe,15,60,40,13,2,5,300,300,13,enc_dec,2,28.3151
openfhe,15,60,40,13,2,5,300,300,13,rot1,2,23.6178
openfhe,15,60,40,13,2,5,300,300,13,enc_dec,3,28.3153
openfhe,15,60,40,13,2,5,300,300,13,rot1,3,22.1000
openfhe,15,60,40,13,2,5,300,300,13,enc_dec,4,28.3233
openfhe,15,60,40,13,2,5,300,300,13,rot1,4,24.7550
openfhe,15,60,40,13,3,4,240,220,13,enc_dec,0,28.3246
openfhe,15,60,40,13,3,4,240,220,13,rot1,0,24.4982
openfhe,15,60,40,13,3,4,240,220,13,enc_dec,1,28.3101
openfhe,15,60,40,13,3,4,240,220,13,rot1,1,25.6795
openfhe,15,60,40,13,3,4,240,220,13,enc_dec,2,28.3190
openfhe,15,60,40,13,3,4,240,220,13,rot1,2,25.1240
openfhe,15,60,40,13,3,4,240,220,13,enc_dec,3,28.3058
openfhe,15,60,40,13,3,4,240,220,13,rot1,3,25.3357
openfhe,15,60,40,13,3,4,240,220,13,enc_dec,4,28.3220
openfhe,15,60,40,13,3,4,240,220,13,rot1,4,25.8824
openfhe,15,60,40,13,4,4,240,180,13,enc_dec,0,28.3324
openfhe,15,60,40,13,4,4,240,180,13,rot1,0,25.6560
openfhe,15,60,40,13,4,4,240,180,13,enc_dec,1,28.2995
openfhe,15,60,40,13,4,4,240,180,13,rot1,1,26.0441
openfhe,15,60,40,13,4,4,240,180,13,enc_dec,2,28.3107
openfhe,15,60,40,13,4,4,240,180,13,rot1,2,25.4524
openfhe,15,60,40,13,4,4,240,180,13,enc_dec,3,28.3205
openfhe,15,60,40,13,4,4,240,180,13,rot1,3,25.5662
openfhe,15,60,40,13,4,4,240,180,13,enc_dec,4,28.3249
openfhe,15,60,40,13,4,4,240,180,13,rot1,4,24.8511
openfhe,15,60,40,13,5,3,180,140,13,enc_dec,0,28.3148
openfhe,15,60,40,13,5,3,180,140,13,rot1,0,25.4293
openfhe,15,60,40,13,5,3,180,140,13,enc_dec,1,28.3393
openfhe,15,60,40,13,5,3,180,140,13,rot1,1,25.3912
openfhe,15,60,40,13,5,3,180,140,13,enc_dec,2,28.3245
openfhe,15,60,40,13,5,3,180,140,13,rot1,2,25.9559
openfhe,15,60,40,13,5,3,180,140,13,enc_dec,3,28.3170
openfhe,15,60,40,13,5,3,180,140,13,rot1,3,25.3139
openfhe,15,60,40,13,5,3,180,140,13,enc_dec,4,28.3061
openfhe,15,60,40,13,5,3,180,140,13,rot1,4,25.4086
openfhe,15,60,40,13,7,2,120,100,13,enc_dec,0,28.3165
openfhe,15,60,40,13,7,2,120,100,13,rot1,0,24.4714
openfhe,15,60,40,13,7,2,120,100,13,enc_dec,1,28.3254
openfhe,15,60,40,13,7,2,120,100,13,rot1,1,26.5403
openfhe,15,60,40,13,7,2,120,100,13,enc_dec,2,28.3207
openfhe,15,60,40,13,7,2,120,100,13,rot1,2,26.4022
openfhe,15,60,40,13,7,2,120,100,13,enc_dec,3,28.3199
openfhe,15,60,40,13,7,2,120,100,13,rot1,3,26.3848
openfhe,15,60,40,13,7,2,120,100,13,enc_dec,4,28.3277
openfhe,15,60,40,13,7,2,120,100,13,rot1,4,26.3996
openfhe,15,60,40,13,14,1,60,60,13,enc_dec,0,28.3260
openfhe,15,60,40,13,14,1,60,60,13,rot1,0,26.5112
openfhe,15,60,40,13,14,1,60,60,13,enc_dec,1,28.3151
openfhe,15,60,40,13,14,1,60,60,13,rot1,1,25.6700
openfhe,15,60,40,13,14,1,60,60,13,enc_dec,2,28.3019
openfhe,15,60,40,13,14,1,60,60,13,rot1,2,26.5349
openfhe,15,60,40,13,14,1,60,60,13,enc_dec,3,28.3076
openfhe,15,60,40,13,14,1,60,60,13,rot1,3,26.0390
openfhe,15,60,40,13,14,1,60,60,13,enc_dec,4,28.3368
openfhe,15,60,40,13,14,1,60,60,13,rot1,4,26.3385
openfhe,15,60,45,13,5,3,180,150,13,enc_dec,0,33.3295
openfhe,15,60,45,13,5,3,180,150,13,rot1,0,31.3252
openfhe,15,60,45,13,5,3,180,150,13,enc_dec,1,33.3026
