library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,1,add_cc,15.788,1.684,30
lattigo,small,13,5,1,add_cp,10.768,1.162,30
lattigo,small,13,5,1,mul_cp,43.904,3.796,30
lattigo,small,13,5,1,mul_cc,93.171,3.048,30
lattigo,small,13,5,1,mul_cc_rlk,1607.363,21.017,30
lattigo,small,13,5,1,relin,1514.192,0.0,30
lattigo,small,13,5,1,rescale,308.578,9.757,30
lattigo,small,13,5,1,rot1,1532.209,86.557,30
lattigo,small,13,5,2,add_cc,24.388,0.762,30
lattigo,small,13,5,2,add_cp,15.735,0.975,30
lattigo,small,13,5,2,mul_cp,65.991,2.715,30
lattigo,small,13,5,2,mul_cc,142.278,3.79,30
lattigo,small,13,5,2,mul_cc_rlk,2605.522,29.422,30
lattigo,small,13,5,2,relin,2463.243,0.0,30
lattigo,small,13,5,2,rescale,458.54,16.07,30
lattigo,small,13,5,2,rot1,2457.667,24.523,30
lattigo,small,13,5,3,add_cc,32.824,2.339,30
lattigo,small,13,5,3,add_cp,22.034,1.326,30
lattigo,small,13,5,3,mul_cp,88.997,4.088,30
lattigo,small,13,5,3,mul_cc,201.411,23.868,30
lattigo,small,13,5,3,mul_cc_rlk,3793.423,14.579,30
lattigo,small,13,5,3,relin,3592.012,0.0,30
lattigo,small,13,5,3,rescale,608.411,14.132,30
lattigo,small,13,5,3,rot1,3599.209,27.449,30
lattigo,small,13,5,4,add_cc,43.688,3.852,30
lattigo,small,13,5,4,add_cp,30.839,2.431,30
lattigo,small,13,5,4,mul_cp,112.537,3.797,30
lattigo,small,13,5,4,mul_cc,244.522,5.846,30
lattigo,small,13,5,4,mul_cc_rlk,5215.282,73.712,30
lattigo,small,13,5,4,relin,4970.76,0.0,30
lattigo,small,13,5,4,rescale,759.03,14.22,30
lattigo,small,13,5,4,rot1,4948.552,20.796,30
lattigo,small,13,5,5,add_cc,72.191,4.61,30
lattigo,small,13,5,5,add_cp,41.037,1.795,30
lattigo,small,13,5,5,mul_cp,139.674,7.235,30
lattigo,small,13,5,5,mul_cc,299.979,13.771,30
lattigo,small,13,5,5,mul_cc_rlk,6803.202,33.839,30
lattigo,small,13,5,5,relin,6503.223,0.0,30
lattigo,small,13,5,5,rescale,910.794,15.72,30
lattigo,small,13,5,5,rot1,6491.846,27.078,30
lattigo,medium,14,10,1,add_cc,33.15,2.601,30
lattigo,medium,14,10,1,add_cp,21.08,2.012,30
lattigo,medium,14,10,1,mul_cp,87.644,3.653,30
lattigo,medium,14,10,1,mul_cc,190.247,6.554,30
lattigo,medium,14,10,1,mul_cc_rlk,2906.682,21.138,30
lattigo,medium,14,10,1,relin,2716.435,0.0,30
lattigo,medium,14,10,1,rescale,648.048,11.952,30
lattigo,medium,14,10,1,rot1,2719.702,27.55,30
lattigo,medium,14,10,2,add_cc,62.844,5.544,30
lattigo,medium,14,10,2,add_cp,40.007,4.234,30
lattigo,medium,14,10,2,mul_cp,138.579,10.046,30
lattigo,medium,14,10,2,mul_cc,300.791,14.404,30
lattigo,medium,14,10,2,mul_cc_rlk,5069.986,36.214,30
lattigo,medium,14,10,2,relin,4769.195,0.0,30
lattigo,medium,14,10,2,rescale,987.241,18.715,30
lattigo,medium,14,10,2,rot1,4677.243,21.64,30
lattigo,medium,14,10,3,add_cc,93.744,6.815,30
lattigo,medium,14,10,3,add_cp,65.941,5.593,30
lattigo,medium,14,10,3,mul_cp,190.233,14.925,30
lattigo,medium,14,10,3,mul_cc,406.83,16.603,30
lattigo,medium,14,10,3,mul_cc_rlk,6030.798,51.302,30
lattigo,medium,14,10,3,relin,5623.968,0.0,30
lattigo,medium,14,10,3,rescale,1320.157,27.142,30
lattigo,medium,14,10,3,rot1,5612.228,33.897,30
lattigo,medium,14,10,4,add_cc,122.016,8.523,30
lattigo,medium,14,10,4,add_cp,98.458,10.856,30
lattigo,medium,14,10,4,mul_cp,238.928,16.031,30
lattigo,medium,14,10,4,mul_cc,507.506,16.79,30
lattigo,medium,14,10,4,mul_cc_rlk,8827.914,51.105,30
lattigo,medium,14,10,4,relin,8320.408,0.0,30
lattigo,medium,14,10,4,rescale,1649.408,25.139,30
lattigo,medium,14,10,4,rot1,8348.104,31.251,30
lattigo,medium,14,10,5,add_cc,147.696,10.445,30
lattigo,medium,14,10,5,add_cp,120.842,5.37,30
lattigo,medium,14,10,5,mul_cp,287.0,17.414,30
lattigo,medium,14,10,5,mul_cc,632.336,22.772,30
lattigo,medium,14,10,5,mul_cc_rlk,10082.596,87.394,30
lattigo,medium,14,10,5,relin,9450.26,0.0,30
lattigo,medium,14,10,5,rescale,1984.988,28.236,30
lattigo,medium,14,10,5,rot1,9464.9,52.902,30
lattigo,medium,14,10,6,add_cc,174.602,10.153,30
lattigo,medium,14,10,6,add_cp,141.233,5.74,30
