library,preset,logN,maxLevel,level,op,mean_us,std_us,reps
lattigo,small,13,5,1,add_cc,15.689,1.387,30
lattigo,small,13,5,1,add_cp,10.398,0.114,30
lattigo,small,13,5,1,mul_cp,44.497,1.607,30
lattigo,small,13,5,1,mul_cc,91.847,2.089,30
lattigo,small,13,5,1,mul_cc_rlk,1603.57,19.657,30
lattigo,small,13,5,1,relin,1513.236,39.064,30
lattigo,small,13,5,1,rescale,306.203,6.632,30
lattigo,small,13,5,1,rot1,1515.667,20.469,30
lattigo,small,13,5,2,add_cc,23.285,1.912,30
lattigo,small,13,5,2,add_cp,15.425,0.214,30
lattigo,small,13,5,2,mul_cp,69.008,2.571,30
lattigo,small,13,5,2,mul_cc,142.264,5.395,30
lattigo,small,13,5,2,mul_cc_rlk,2600.101,29.824,30
lattigo,small,13,5,2,relin,2453.984,24.254,30
lattigo,small,13,5,2,rescale,457.045,9.667,30
lattigo,small,13,5,2,rot1,2461.315,20.451,30
lattigo,small,13,5,3,add_cc,34.801,9.676,30
lattigo,small,13,5,3,add_cp,21.043,1.041,30
lattigo,small,13,5,3,mul_cp,87.337,2.603,30
lattigo,small,13,5,3,mul_cc,195.135,8.32,30
lattigo,small,13,5,3,mul_cc_rlk,3795.984,22.006,30
lattigo,small,13,5,3,relin,3605.195,25.75,30
lattigo,small,13,5,3,rescale,608.089,12.299,30
lattigo,small,13,5,3,rot1,3610.444,24.409,30
lattigo,small,13,5,4,add_cc,44.884,2.712,30
lattigo,small,13,5,4,add_cp,29.378,2.965,30
lattigo,small,13,5,4,mul_cp,111.54,3.998,30
lattigo,small,13,5,4,mul_cc,250.902,7.792,30
lattigo,small,13,5,4,mul_cc_rlk,5202.354,24.125,30
lattigo,small,13,5,4,relin,4962.068,29.976,30
lattigo,small,13,5,4,rescale,761.423,21.549,30
lattigo,small,13,5,4,rot1,4964.453,35.036,30
lattigo,small,13,5,5,add_cc,62.981,8.749,30
lattigo,small,13,5,5,add_cp,38.45,4.44,30
lattigo,small,13,5,5,mul_cp,143.94,13.887,30
lattigo,small,13,5,5,mul_cc,312.936,16.327,30
lattigo,small,13,5,5,mul_cc_rlk,6976.77,50.245,30
lattigo,small,13,5,5,relin,6520.573,47.74,30
lattigo,small,13,5,5,rescale,933.694,15.847,30
lattigo,small,13,5,5,rot1,6555.774,88.204,30
lattigo,medium,14,10,1,add_cc,32.371,3.091,30
lattigo,medium,14,10,1,add_cp,21.512,2.029,30
lattigo,medium,14,10,1,mul_cp,88.341,3.774,30
lattigo,medium,14,10,1,mul_cc,194.24,7.816,30
lattigo,medium,14,10,1,mul_cc_rlk,2937.152,44.019,30
lattigo,medium,14,10,1,relin,2765.914,30.868,30
lattigo,medium,14,10,1,rescale,647.982,11.553,30
lattigo,medium,14,10,1,rot1,2736.5,51.267,30
lattigo,medium,14,10,2,add_cc,56.342,3.128,30
lattigo,medium,14,10,2,add_cp,37.148,1.931,30
lattigo,medium,14,10,2,mul_cp,135.479,4.501,30
lattigo,medium,14,10,2,mul_cc,294.469,8.563,30
lattigo,medium,14,10,2,mul_cc_rlk,4983.643,40.528,30
lattigo,medium,14,10,2,relin,4816.159,144.656,30
lattigo,medium,14,10,2,rescale,971.089,18.646,30
lattigo,medium,14,10,2,rot1,4672.842,24.589,30
lattigo,medium,14,10,3,add_cc,90.12,4.678,30
lattigo,medium,14,10,3,add_cp,66.026,3.872,30
lattigo,medium,14,10,3,mul_cp,180.472,6.31,30
lattigo,medium,14,10,3,mul_cc,396.938,12.213,30
lattigo,medium,14,10,3,mul_cc_rlk,5904.486,49.553,30
lattigo,medium,14,10,3,relin,5614.74,46.731,30
lattigo,medium,14,10,3,rescale,1295.293,20.729,30
lattigo,medium,14,10,3,rot1,5492.546,37.133,30
lattigo,medium,14,10,4,add_cc,116.693,6.822,30
lattigo,medium,14,10,4,add_cp,140.967,257.493,30
lattigo,medium,14,10,4,mul_cp,229.295,9.658,30
lattigo,medium,14,10,4,mul_cc,487.228,13.183,30
lattigo,medium,14,10,4,mul_cc_rlk,8640.295,41.104,30
lattigo,medium,14,10,4,relin,8267.473,42.947,30
lattigo,medium,14,10,4,rescale,1617.34,25.729,30
lattigo,medium,14,10,4,rot1,8117.224,28.472,30
lattigo,medium,14,10,5,add_cc,137.202,5.545,30
lattigo,medium,14,10,5,add_cp,115.595,4.388,30
lattigo,medium,14,10,5,mul_cp,277.534,18.005,30
lattigo,medium,14,10,5,mul_cc,589.876,11.215,30
lattigo,medium,14,10,5,mul_cc_rlk,9800.465,51.83,30
lattigo,medium,14,10,5,relin,9346.925,41.068,30
lattigo,medium,14,10,5,rescale,1939.457,19.565,30
lattigo,medium,14,10,5,rot1,9185.947,35.071,30
lattigo,medium,14,10,6,add_cc,162.41,6.127,30
lattigo,medium,14,10,6,add_cp,134.566,5.11,30
lattigo,medium,14,10,6,mul_cp,322.304,11.551,30
lattigo,medium,14,10,6,mul_cc,712.326,18.736,30
lattigo,medium,14,10,6,mul_cc_rlk,13354.255,105.453,30
lattigo,medium,14,10,6,relin,12788.366,90.43,30
lattigo,medium,14,10,6,rescale,2269.743,41.906,30
lattigo,medium,14,10,6,rot1,12591.748,60.939,30
lattigo,medium,14,10,7,add_cc,190.124,12.877,30
lattigo,medium,14,10,7,add_cp,154.957,6.746,30
lattigo,medium,14,10,7,mul_cp,371.846,14.16,30
lattigo,medium,14,10,7,mul_cc,806.918,14.103,30
lattigo,medium,14,10,7,mul_cc_rlk,14948.572,125.239,30
lattigo,medium,14,10,7,relin,14180.739,121.087,30
lattigo,medium,14,10,7,rescale,2594.06,33.957,30
lattigo,medium,14,10,7,rot1,14051.663,159.108,30
lattigo,medium,14,10,8,add_cc,215.117,7.749,30
lattigo,medium,14,10,8,add_cp,175.406,8.192,30
lattigo,medium,14,10,8,mul_cp,421.009,12.261,30
lattigo,medium,14,10,8,mul_cc,911.849,16.487,30
