preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,17.094,3.451,0.20188370188370186
small,1,add_cc,openfhe,38.379,2.107,0.05489981500299644
small,1,add_cc,seal,30.336,2.304,0.0759493670886076
small,1,add_cp,lattigo,10.732,0.351,0.032705926202012674
small,1,add_cp,openfhe,28.176,1.533,0.05440800681431005
small,1,add_cp,seal,17.496,2.181,0.1246570644718793
small,1,mul_cp,lattigo,44.382,5.856,0.1319453832634852
small,1,mul_cp,openfhe,88.484,2.108,0.023823516115907963
small,1,mul_cp,seal,105.9,3.565,0.03366383380547686
small,1,mul_cc,lattigo,95.059,7.993,0.08408462113003504
small,1,mul_cc,openfhe,210.296,5.114,0.024318104005782326
small,1,mul_cc,seal,225.15,3.016,0.013395514101709971
small,1,mul_cc_rlk,lattigo,1651.054,109.618,0.06639274063719296
small,1,mul_cc_rlk,openfhe,2447.526,39.439,0.016113822692792643
small,1,mul_cc_rlk,seal,1347.091,10.066,0.0074723979300581785
small,1,relin,lattigo,1535.135,28.37,0.018480459373279873
small,1,relin,openfhe,2329.963,10.51,0.004510801244483281
small,1,relin,seal,1130.321,12.317,0.01089690450765756
small,1,rescale,lattigo,317.176,19.153,0.0603860317300174
small,1,rescale,openfhe,410.55,5.104,0.012432103276093046
small,1,rescale,seal,303.673,4.236,0.013949215109673892
small,1,rot1,lattigo,1533.872,26.055,0.016986423899777815
small,1,rot1,openfhe,2182.66,8.893,0.004074386299286192
small,1,rot1,seal,1143.34,13.242,0.011581856665558802
small,2,add_cc,lattigo,25.792,3.603,0.1396944789081886
small,2,add_cc,openfhe,57.999,2.674,0.04610424317660649
small,2,add_cc,seal,45.009,3.253,0.07227443400208847
small,2,add_cp,lattigo,16.952,1.349,0.07957763095799905
small,2,add_cp,openfhe,42.431,1.726,0.04067780632085032
small,2,add_cp,seal,24.932,1.345,0.05394673511952511
small,2,mul_cp,lattigo,66.506,7.713,0.11597449854148498
small,2,mul_cp,openfhe,135.018,4.762,0.035269371491208575
small,2,mul_cp,seal,157.295,4.039,0.025677866429320705
small,2,mul_cc,lattigo,143.762,11.196,0.07787871621151625
small,2,mul_cc,openfhe,410.378,8.391,0.020447002519628246
small,2,mul_cc,seal,340.952,13.6,0.03988831272437176
small,2,mul_cc_rlk,lattigo,2656.259,31.068,0.011696148605990607
small,2,mul_cc_rlk,openfhe,4317.807,11.063,0.002562180291986187
small,2,mul_cc_rlk,seal,2202.83,18.136,0.00823304567306601
small,2,relin,lattigo,2505.553,24.705,0.009860098748659478
small,2,relin,openfhe,4085.078,25.412,0.006220689054162491
small,2,relin,seal,1876.378,15.765,0.00840182521858602
small,2,rescale,lattigo,467.636,16.047,0.034315151100428536
small,2,rescale,openfhe,642.347,9.203,0.01432714716500583
small,2,rescale,seal,475.839,6.132,0.012886711681892404
small,2,rot1,lattigo,2509.895,26.807,0.010680526476207172
small,2,rot1,openfhe,3981.596,26.801,0.006731220344806454
small,2,rot1,seal,1896.009,15.346,0.00809384343639719
small,3,add_cc,lattigo,32.615,5.936,0.18200214625172464
small,3,add_cc,openfhe,78.19,2.501,0.03198618749200665
small,3,add_cc,seal,63.949,4.734,0.07402774085599462
small,3,add_cp,lattigo,21.686,4.548,0.2097205570414092
small,3,add_cp,openfhe,60.453,2.831,0.04682976858055018
small,3,add_cp,seal,37.041,2.115,0.05709889041872521
small,3,mul_cp,lattigo,94.007,7.329,0.07796227940472518
small,3,mul_cp,openfhe,181.595,3.788,0.020859605165340453
small,3,mul_cp,seal,211.745,5.761,0.027207254008359112
small,3,mul_cc,lattigo,198.849,16.407,0.0825098441531011
small,3,mul_cc,openfhe,571.576,9.004,0.015752935742578415
small,3,mul_cc,seal,453.926,6.238,0.013742328044659262
small,3,mul_cc_rlk,lattigo,3862.63,19.03,0.004926695023856802
small,3,mul_cc_rlk,openfhe,5318.476,17.464,0.0032836474208025007
small,3,mul_cc_rlk,seal,3250.182,107.78,0.03316121989476282
small,3,relin,lattigo,3658.736,28.058,0.007668768667649156
small,3,relin,openfhe,5042.725,162.707,0.03226568968167012
small,3,relin,seal,2804.623,20.053,0.007149980585625947
small,3,rescale,lattigo,619.699,17.678,0.028526752504038255
small,3,rescale,openfhe,935.43,6.998,0.00748105149503437
small,3,rescale,seal,650.644,6.644,0.010211421299512483
small,3,rot1,lattigo,3687.327,35.096,0.009518005861698731
small,3,rot1,openfhe,4876.389,56.791,0.011646117649760918
small,3,rot1,seal,2840.795,44.834,0.01578220181322482
small,4,add_cc,lattigo,46.591,6.475,0.13897533858470518
small,4,add_cc,openfhe,109.073,4.627,0.042421130802306715
small,4,add_cc,seal,79.987,5.684,0.071061547501469
small,4,add_cp,lattigo,29.675,5.327,0.17951137320977253
small,4,add_cp,openfhe,82.742,4.599,0.05558241280123758
small,4,add_cp,seal,47.017,2.771,0.05893612948507986
small,4,mul_cp,lattigo,115.176,13.063,0.11341772591512121
small,4,mul_cp,openfhe,232.439,6.198,0.026665060510499532
small,4,mul_cp,seal,267.947,9.212,0.03437993334502719
small,4,mul_cc,lattigo,259.801,19.565,0.07530763930854771
small,4,mul_cc,openfhe,737.928,17.862,0.024205613555794057
small,4,mul_cc,seal,575.028,5.709,0.00992821219140633
small,4,mul_cc_rlk,lattigo,5355.378,117.524,0.021945042908269034
small,4,mul_cc_rlk,openfhe,7690.805,13.924,0.0018104736760326129
small,4,mul_cc_rlk,seal,4433.578,21.22,0.004786202024640143
small,4,relin,lattigo,5042.308,31.244,0.006196368805713574
small,4,relin,openfhe,7294.875,16.479,0.002258983190253431
small,4,relin,seal,3904.699,22.174,0.005678798801136784
small,4,rescale,lattigo,773.961,15.591,0.02014442588192428
small,4,rescale,openfhe,1186.214,38.257,0.0322513475646047
small,4,rescale,seal,829.378,8.814,0.010627241137334242
small,4,rot1,lattigo,5064.77,30.716,0.006064638670660267
small,4,rot1,openfhe,7107.4,23.833,0.003353265610490475
small,4,rot1,seal,3935.128,29.964,0.007614491828474194
small,5,add_cc,lattigo,68.876,7.859,0.11410360648121261
small,5,add_cc,openfhe,140.92,4.871,0.03456571104172581
small,5,add_cc,seal,103.643,6.37,0.06146097662167247
small,5,add_cp,lattigo,39.49,4.243,0.10744492276525704
small,5,add_cp,openfhe,106.163,3.68,0.03466367755244294
small,5,add_cp,seal,57.658,2.645,0.04587394637344341
small,5,mul_cp,lattigo,140.203,10.204,0.0727801830203348
small,5,mul_cp,openfhe,285.936,5.958,0.020836830619439316
small,5,mul_cp,seal,344.298,108.588,0.3153895753097607
small,5,mul_cc,lattigo,306.933,15.73,0.05124896964484106
small,5,mul_cc,openfhe,900.424,10.064,0.01117695663376365
small,5,mul_cc,seal,699.507,8.467,0.012104239128414728
small,5,mul_cc_rlk,lattigo,6927.58,43.202,0.00623623256606203
small,5,mul_cc_rlk,openfhe,8861.348,47.983,0.0054148646458755485
small,5,mul_cc_rlk,seal,5805.891,21.107,0.0036354454467023237
small,5,relin,lattigo,6638.878,41.188,0.006204060384902389
small,5,relin,openfhe,8449.871,123.661,0.014634661286545086
small,5,relin,seal,5185.668,21.197,0.0040876122420486615
small,5,rescale,lattigo,929.368,19.58,0.021068080674178577
small,5,rescale,openfhe,1494.254,62.008,0.04149763025563258
small,5,rescale,seal,1009.842,8.43,0.008347840553274671
small,5,rot1,lattigo,6623.153,36.556,0.005519425566644768
small,5,rot1,openfhe,8178.793,33.317,0.004073583962817008
small,5,rot1,seal,5222.056,19.979,0.0038258877346393837
medium,1,add_cc,lattigo,36.561,2.747,0.07513470638111648
medium,1,add_cc,openfhe,79.778,5.6,0.07019479054375892
medium,1,add_cc,seal,61.54,6.537,0.10622359441013975
medium,1,add_cp,lattigo,23.065,1.116,0.048384998916106654
medium,1,add_cp,openfhe,59.408,4.985,0.0839112577430649
medium,1,add_cp,seal,36.707,1.886,0.051379845805977056
medium,1,mul_cp,lattigo,88.224,3.188,0.03613529198404063
medium,1,mul_cp,openfhe,184.99,8.236,0.044521325477052814
medium,1,mul_cp,seal,215.015,9.366,0.043559751645234054
medium,1,mul_cc,lattigo,194.464,6.234,0.03205734737534968
medium,1,mul_cc,openfhe,458.345,14.313,0.031227568752795382
medium,1,mul_cc,seal,461.434,11.813,0.02560062760871544
medium,1,mul_cc_rlk,lattigo,2917.038,27.059,0.009276190437011791
medium,1,mul_cc_rlk,openfhe,6773.621,28.589,0.004220637676657728
medium,1,mul_cc_rlk,seal,2884.26,37.564,0.013023791197742227
medium,1,relin,lattigo,2750.079,21.705,0.007892500542711681
medium,1,relin,openfhe,6357.497,32.742,0.005150140062983906
medium,1,relin,seal,2432.653,15.158,0.006231057203801776
medium,1,rescale,lattigo,646.03,13.012,0.02014147949785614
medium,1,rescale,openfhe,891.082,16.334,0.018330524014624917
medium,1,rescale,seal,657.704,13.267,0.02017168817583594
medium,1,rot1,lattigo,2712.618,21.005,0.00774344194427671
medium,1,rot1,openfhe,6402.628,36.694,0.005731084173561232
medium,1,rot1,seal,2461.163,18.851,0.007659387045880341
medium,2,add_cc,lattigo,58.847,2.323,0.03947524937549918
medium,2,add_cc,openfhe,134.035,7.552,0.05634349237139553
medium,2,add_cc,seal,102.413,8.68,0.08475486510501597
medium,2,add_cp,lattigo,40.963,2.283,0.05573322266435563
medium,2,add_cp,openfhe,105.379,6.158,0.05843669042219038
medium,2,add_cp,seal,57.719,5.393,0.09343543720438677
medium,2,mul_cp,lattigo,137.363,4.939,0.035955825076621796
medium,2,mul_cp,openfhe,287.688,10.269,0.0356949194961208
medium,2,mul_cp,seal,328.665,11.36,0.03456406979751418
medium,2,mul_cc,lattigo,296.925,7.112,0.02395217647554096
medium,2,mul_cc,openfhe,724.504,17.883,0.024683093537095722
medium,2,mul_cc,seal,711.683,11.516,0.016181361645564107
medium,2,mul_cc_rlk,lattigo,4988.517,34.598,0.006935528133912343
medium,2,mul_cc_rlk,openfhe,8293.722,35.916,0.004330504446616368
medium,2,mul_cc_rlk,seal,4739.404,23.309,0.0049181289461712905
medium,2,relin,lattigo,4781.117,38.463,0.008044772801000268
medium,2,relin,openfhe,7975.989,63.948,0.008017563715295996
medium,2,relin,seal,4060.807,20.451,0.005036191082215925
medium,2,rescale,lattigo,974.775,18.093,0.018561206432253598
medium,2,rescale,openfhe,1529.838,18.343,0.011990158435076132
medium,2,rescale,seal,1038.75,6.695,0.006445246690734056
medium,2,rot1,lattigo,4677.234,23.544,0.0050337443027225065
medium,2,rot1,openfhe,7590.658,30.073,0.003961843624096883
medium,2,rot1,seal,4120.455,38.663,0.009383187050944616
medium,3,add_cc,lattigo,91.052,5.408,0.05939463163906339
medium,3,add_cc,openfhe,195.766,8.579,0.04382272713341439
medium,3,add_cc,seal,144.481,9.025,0.062464960790692206
medium,3,add_cp,lattigo,65.349,3.08,0.04713155518829668
medium,3,add_cp,openfhe,158.391,7.115,0.04492048159301981
medium,3,add_cp,seal,89.327,5.492,0.06148197073673134
medium,3,mul_cp,lattigo,186.354,7.719,0.04142116616761647
medium,3,mul_cp,openfhe,398.924,10.331,0.02589716336946386
medium,3,mul_cp,seal,452.01,14.475,0.03202362779584522
medium,3,mul_cc,lattigo,402.803,18.263,0.045339781481270006
medium,3,mul_cc,openfhe,1000.224,14.435,0.014431767284128354
medium,3,mul_cc,seal,961.086,11.442,0.0119052821495683
medium,3,mul_cc_rlk,lattigo,5934.817,83.188,0.014016944414629803
medium,3,mul_cc_rlk,openfhe,10215.049,38.241,0.0037435943772761147
medium,3,mul_cc_rlk,seal,6957.441,61.777,0.00887927040991077
medium,3,relin,lattigo,5596.13,38.057,0.006800592552353144
medium,3,relin,openfhe,9799.314,37.605,0.0038375135239058565
medium,3,relin,seal,6115.2,50.606,0.008275444793301936
medium,3,rescale,lattigo,1302.458,25.822,0.019825591305055516
medium,3,rescale,openfhe,2034.319,16.869,0.008292209825499344
medium,3,rescale,seal,1436.64,17.082,0.011890243902439025
medium,3,rot1,lattigo,5504.993,21.299,0.00386903307597303
medium,3,rot1,openfhe,9278.314,39.28,0.0042335277723948555
medium,3,rot1,seal,6130.932,43.181,0.007043137976412069
medium,4,add_cc,lattigo,115.38,4.148,0.0359507713641879
medium,4,add_cc,openfhe,257.293,7.14,0.02775046347937954
medium,4,add_cc,seal,196.847,11.584,0.05884773453494338
medium,4,add_cp,lattigo,93.016,5.433,0.058409305925862215
medium,4,add_cp,openfhe,198.467,6.129,0.030881708294074075
medium,4,add_cp,seal,122.501,5.392,0.04401596721659415
medium,4,mul_cp,lattigo,230.5,10.023,0.04348373101952278
medium,4,mul_cp,openfhe,505.965,10.047,0.019857104740446475
medium,4,mul_cp,seal,580.27,14.573,0.02511417098936702
medium,4,mul_cc,lattigo,490.776,13.43,0.027364826315875265
medium,4,mul_cc,openfhe,1552.54,22.669,0.014601234106689683
medium,4,mul_cc,seal,1211.708,19.707,0.016263819336011644
medium,4,mul_cc_rlk,lattigo,8650.272,48.204,0.0055725415339540766
medium,4,mul_cc_rlk,openfhe,16190.541,150.997,0.00932624796169566
medium,4,mul_cc_rlk,seal,9605.72,129.001,0.013429602361926021
medium,4,relin,lattigo,8428.546,97.649,0.011585509529164342
medium,4,relin,openfhe,15362.066,69.929,0.004552056995458814
medium,4,relin,seal,8383.096,26.587,0.0031715013164587405
medium,4,rescale,lattigo,1619.838,19.338,0.01193823086012305
medium,4,rescale,openfhe,2677.289,16.156,0.0060344624730464275
medium,4,rescale,seal,1840.321,23.846,0.01295752208446244
medium,4,rot1,lattigo,8189.403,74.654,0.009115927009575666
medium,4,rot1,openfhe,15125.656,136.61,0.00903167439481633
medium,4,rot1,seal,8428.109,33.51,0.003975980851695202
medium,5,add_cc,lattigo,137.749,4.639,0.03367719547873306
