preset,level,op,library,mean_us,std_us,cv
small,1,add_cc,lattigo,15.689,1.387,0.08840588947670343
small,1,add_cc,openfhe,107.826,10.764,0.09982749986088699
small,1,add_cc,seal,29.048,2.015,0.06936794271550538
small,1,add_cp,lattigo,10.398,0.114,0.010963646855164455
small,1,add_cp,openfhe,58.462,9.133,0.15622113509630184
small,1,add_cp,seal,16.853,0.818,0.048537352400166135
small,1,mul_cp,lattigo,44.497,1.607,0.036114794255792525
small,1,mul_cp,openfhe,131.051,18.308,0.13970133764717554
small,1,mul_cp,seal,105.439,3.102,0.029419854133669706
small,1,mul_cc,lattigo,91.847,2.089,0.022744346576371574
small,1,mul_cc,openfhe,300.474,13.577,0.04518527393385118
small,1,mul_cc,seal,225.203,3.333,0.014799980462071998
small,1,mul_cc_rlk,lattigo,1603.57,19.657,0.012258273726747195
small,1,mul_cc_rlk,openfhe,4152.634,3308.643,0.7967576723592785
small,1,mul_cc_rlk,seal,1344.879,13.269,0.009866315110876147
small,1,relin,lattigo,1513.236,39.064,0.025814876199085932
small,1,relin,openfhe,3529.873,2754.921,0.7804589570219664
small,1,relin,seal,1127.025,11.179,0.00991903462656108
small,1,rescale,lattigo,306.203,6.632,0.021658834172101515
small,1,rescale,openfhe,445.037,14.789,0.03323094484278835
small,1,rescale,seal,303.137,3.36,0.011084097289344421
small,1,rot1,lattigo,1515.667,20.469,0.013504945347493877
small,1,rot1,openfhe,3715.913,2703.894,0.7276526657109571
small,1,rot1,seal,1141.596,10.675,0.009350943766446273
small,2,add_cc,lattigo,23.285,1.912,0.08211294824994632
small,2,add_cc,openfhe,83.12,5.255,0.0632218479307026
small,2,add_cc,seal,43.082,2.744,0.06369249338470824
small,2,add_cp,lattigo,15.425,0.214,0.013873581847649918
small,2,add_cp,openfhe,73.01,2.652,0.03632379126147103
small,2,add_cp,seal,25.001,1.486,0.05943762249510019
small,2,mul_cp,lattigo,69.008,2.571,0.03725654996522143
small,2,mul_cp,openfhe,147.122,32.249,0.21919903209581162
small,2,mul_cp,seal,157.754,4.254,0.026966035726510896
small,2,mul_cc,lattigo,142.264,5.395,0.03792245402912894
small,2,mul_cc,openfhe,434.939,8.197,0.018846320978344086
small,2,mul_cc,seal,338.35,3.881,0.011470370917688783
small,2,mul_cc_rlk,lattigo,2600.101,29.824,0.011470323652811948
small,2,mul_cc_rlk,openfhe,3987.849,1980.591,0.49665646818623266
small,2,mul_cc_rlk,seal,2201.442,30.979,0.014072139988244069
small,2,relin,lattigo,2453.984,24.254,0.009883520022950436
small,2,relin,openfhe,9087.95,11814.543,1.3000228874498647
small,2,relin,seal,1876.984,20.065,0.01069002186486406
small,2,rescale,lattigo,457.045,9.667,0.021151090155236352
small,2,rescale,openfhe,443.474,23.795,0.053655907674407075
small,2,rescale,seal,474.058,4.095,0.008638183513409751
small,2,rot1,lattigo,2461.315,20.451,0.008308973048959601
small,2,rot1,openfhe,9223.282,11059.492,1.1990842305374596
small,2,rot1,seal,1890.617,12.441,0.0065803914806647785
small,3,add_cc,lattigo,34.801,9.676,0.27803798741415475
small,3,add_cc,openfhe,120.424,3.324,0.02760247126818574
small,3,add_cc,seal,64.419,4.351,0.06754218475915491
small,3,add_cp,lattigo,21.043,1.041,0.04947013258565794
small,3,add_cp,openfhe,108.456,2.925,0.026969462270413806
small,3,add_cp,seal,36.329,2.417,0.06653087065429822
small,3,mul_cp,lattigo,87.337,2.603,0.02980409219460252
small,3,mul_cp,openfhe,304.43,65.717,0.21586900108399304
small,3,mul_cp,seal,213.982,6.858,0.03204942471796693
small,3,mul_cc,lattigo,195.135,8.32,0.04263714864068466
small,3,mul_cc,openfhe,625.13,8.017,0.012824532497240573
small,3,mul_cc,seal,456.204,4.97,0.01089424906401522
small,3,mul_cc_rlk,lattigo,3795.984,22.006,0.005797179334791717
small,3,mul_cc_rlk,openfhe,4517.262,3320.557,0.7350817818404157
small,3,mul_cc_rlk,seal,3237.75,33.588,0.010373870743571925
small,3,relin,lattigo,3605.195,25.75,0.007142470795615771
small,3,relin,openfhe,4043.903,2860.34,0.707321614786507
small,3,relin,seal,2803.199,22.254,0.00793878707861982
small,3,rescale,lattigo,608.089,12.299,0.020225657757334863
small,3,rescale,openfhe,527.891,8.352,0.015821447988315772
small,3,rescale,seal,650.108,6.415,0.009867591230995466
small,3,rot1,lattigo,3610.444,24.409,0.006760664339344413
small,3,rot1,openfhe,5574.168,5265.052,0.9445449078678647
small,3,rot1,seal,2819.252,14.769,0.005238623578168961
small,4,add_cc,lattigo,44.884,2.712,0.060422422244006777
small,4,add_cc,openfhe,163.6,5.242,0.03204156479217604
small,4,add_cc,seal,77.589,4.327,0.05576821456649783
small,4,add_cp,lattigo,29.378,2.965,0.1009258628905984
small,4,add_cp,openfhe,137.094,6.738,0.049148759245481205
small,4,add_cp,seal,45.253,3.535,0.07811636797560383
small,4,mul_cp,lattigo,111.54,3.998,0.03584364353595123
small,4,mul_cp,openfhe,291.861,96.996,0.33233628336776755
small,4,mul_cp,seal,265.046,5.567,0.021003901209601352
small,4,mul_cc,lattigo,250.902,7.792,0.03105595013192402
small,4,mul_cc,openfhe,829.832,71.38,0.08601741075301989
small,4,mul_cc,seal,575.629,5.373,0.009334137091772653
small,4,mul_cc_rlk,lattigo,5202.354,24.125,0.004637323796112298
small,4,mul_cc_rlk,openfhe,8698.286,10322.228,1.186696781411878
small,4,mul_cc_rlk,seal,4468.564,119.224,0.026680607013796823
small,4,relin,lattigo,4962.068,29.976,0.006041029667469289
small,4,relin,openfhe,5711.307,3459.074,0.6056536621127179
small,4,relin,seal,3944.326,251.612,0.06379087326960296
small,4,rescale,lattigo,761.423,21.549,0.02830095754922034
small,4,rescale,openfhe,554.564,23.325,0.04206006881081354
small,4,rescale,seal,835.058,19.559,0.02342232515585744
small,4,rot1,lattigo,4964.453,35.036,0.00705737369252967
