library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,-3,17.903688391518905,15.743541850690882,25205011,0,4,4,1.000000071268989,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,33027,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,-2,17.898253312920716,15.813936461244214,24914687,0,4,4,0.9999941645041732,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,33843,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,-1,17.901194983206437,15.766053592552483,24887988,0,4,4,0.9999968930692422,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34613,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,0,17.907595054750473,15.751411160649928,24822009,0,4,4,0.9999988452999758,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34932,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,1,17.9019525158924,15.740683443044393,24888307,0,4,4,0.9999960644232769,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34955,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,2,17.89790703475492,15.727133236433982,24708975,0,4,4,0.9999968910654485,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34956,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,3,17.898049995098926,15.70914127523183,24739726,0,4,4,0.9999966034375586,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34957,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,4,17.89506069202584,15.660567488223627,25003817,0,4,4,0.9999952925085777,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34959,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,5,17.902788729992494,15.746342849646753,25025837,0,4,4,0.9999999360213844,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34960,1,
lattigo,16,32768,60,58,4,3,3,14,19,1,977,61,1038,6,17.903694259632434,15.749855608104134,25421227,0,4,4,0.999998118520878,eph32_K16_mr2_inv0|both,58,2,58,-1,52696573,69837444,34975,1,
