library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-3,8.85761,6.49603,37440555,23,19,20,1.00641,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-2,8.84869,6.3985,37169466,23,19,20,1.00643,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,-1,8.83088,6.37647,36881041,23,19,20,1.00707,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,0,8.8999,6.48905,36867934,23,19,20,1.00511,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,1,8.8675,6.57754,36889333,23,19,20,1.00524,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,2,8.89562,6.54897,36836118,23,19,20,1.005,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,3,8.83173,6.40006,36862734,23,19,20,1.00868,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,4,8.84873,6.52728,36886745,23,19,20,1.00654,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15845,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,5,8.81755,6.38988,36775314,23,19,20,1.0067,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15846,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,6,8.81674,6.51545,36837946,23,19,20,1.00584,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15846,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,7,8.87251,6.3186,36883052,23,19,20,1.00492,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15846,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,8,8.83088,6.38281,37118816,23,19,20,1.00736,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15846,1,
openfhe,16,32768,60,58,4,3,3,20,7,4,1452,240,1692,9,8.81518,6.53497,36704818,23,19,20,1.00638,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10915345,64885097,15846,1,
openfhe,16,32768,60,58,4,3,3,20,9,3,1452,180,1632,-3,8.8399,6.36371,40758896,23,19,20,1.00538,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,10324651,79873255,18379,1,
