library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-3,15.967413733873954,13.858187633838547,16994847,0,4,4,0.999988816871671,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,33800,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-2,15.967320435745458,13.856587268147898,15457014,0,4,4,0.9999883817827389,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34554,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-1,15.967736200362689,13.856855833942204,15106633,0,4,4,0.9999887026338024,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34555,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,0,15.966635814793632,13.834359710657502,15656342,0,4,4,0.999987447636651,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34557,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,1,15.967222582880554,13.838757538929627,15874766,0,4,4,0.9999886619601726,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34562,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,2,15.967094437696273,13.855486383478755,15326654,0,4,4,0.9999890916479987,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34562,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,3,15.967354744443272,13.862325090460494,15519197,0,4,4,0.999989408804589,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34566,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,4,15.967245574540325,13.869077258779603,15414409,0,4,4,0.9999879983258629,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34571,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,5,15.966596520563073,13.843941083604188,15425563,0,4,4,0.9999883553079224,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,34642,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,6,15.967298814767064,13.866415182412542,15970339,0,4,4,0.9999878270749847,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,35005,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,7,15.967021287459739,13.898487775789865,15616263,0,4,4,0.9999887059058196,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,35005,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,8,15.967394852978465,13.852540142303342,15247955,0,4,4,0.999988487412569,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,35005,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,9,15.967466535975497,13.853883620008396,15016018,0,4,4,0.9999891312005337,eph32_K16_mr1_inv0|both,59,1,59,-1,251034229,19451289,35005,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-3,17.905561236923212,15.614252162942286,17953597,0,4,4,0.9999970660289155,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,32913,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-2,17.899273078358096,15.750970507133788,16097919,0,4,4,0.9999982234661872,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,32917,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-1,17.89992652715715,15.81111066357236,16296569,0,4,4,0.9999969952288704,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,32919,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,0,17.901244603385667,15.760841481458495,16274555,0,4,4,0.99999512817339,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,32920,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,1,17.896847262209242,15.71574203822979,15828046,0,4,4,1.0000000324478346,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,32920,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,2,17.90345114462264,15.794456004392403,15787666,0,4,4,0.999995746106839,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33256,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,3,17.902237718275376,15.81947439689067,15831867,0,4,4,0.9999989105143261,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33690,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,4,17.897727042967396,15.820055479649673,16130929,0,4,4,0.9999978232972148,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,5,17.906192674375056,15.773931630290486,15555099,0,4,4,0.9999972753775904,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,6,17.902267856301712,15.811633756538535,15312572,0,4,4,0.9999973071595851,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,7,17.903014946236425,15.724618994036698,15088310,0,4,4,0.9999968864149651,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,8,17.903915506297785,15.813572472119379,15108522,0,4,4,0.999998950431267,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,9,17.900686977542254,15.67841616721757,15172978,0,4,4,0.9999942011576544,eph32_K16_mr2_inv0|both,58,2,58,-1,253455383,20409027,33693,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-3,15.967713257172885,13.892080616391164,11711713,0,4,4,0.9999879007352637,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,13892,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-2,15.967342161765933,13.843157253055331,11201972,0,4,4,0.9999898081249579,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14024,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-1,15.968163914304878,13.887147516898928,11138153,0,4,4,0.9999888532354908,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14025,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,0,15.966720218148849,13.850641452553786,11334140,0,4,4,0.999987940571313,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,1,15.96752548015385,13.884852415156223,11083972,0,4,4,0.99998764490103,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,2,15.966899247927506,13.884068782883839,11113808,0,4,4,0.9999873247021748,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,3,15.967431988532777,13.85182320482842,11360699,0,4,4,0.999988497525732,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,4,15.967281024882446,13.851230987033219,11492419,0,4,4,0.999988597715924,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,5,15.966813723545945,13.848838931469325,11611993,0,4,4,0.9999877461132511,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,6,15.9673036731901,13.868030870235362,11617814,0,4,4,0.9999869579183511,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,7,15.966778817374603,13.88079414316265,11614868,0,4,4,0.9999878903865482,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,8,15.966364943067036,13.82790286759005,11419115,0,4,4,0.9999888715093679,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,9,15.96656099422944,13.82502683091499,11364159,0,4,4,0.999988199351049,eph32_K16_mr1_inv0|both,59,1,59,-1,64562013,14780605,14242,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-3,17.90572680741318,15.730649604734916,12412226,0,4,4,0.999996993062146,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14008,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-2,17.90006993833654,15.75035182603853,11394510,0,4,4,0.9999991435759398,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14120,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-1,17.90648046781568,15.766678543533853,11364923,0,4,4,0.9999980883699012,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14171,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,0,17.900177633626857,15.699512653099562,11432431,0,4,4,0.999998985007865,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14333,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,1,17.903508594605338,15.71106319691891,11370935,0,4,4,0.9999975053889233,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14333,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,2,17.898059219490378,15.762611003956065,11418848,0,4,4,0.9999975417801223,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14333,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,3,17.901259772957996,15.758928869231964,11158607,0,4,4,0.999995857118503,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14334,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,4,17.904118146563246,15.740477031261495,11145508,0,4,4,0.9999961225803206,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14334,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,5,17.895952573791966,15.618717158335887,11113150,0,4,4,0.999996541054863,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14334,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,6,17.902097671790255,15.753852036505345,11084509,0,4,4,0.99999636744035,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14335,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,7,17.90490827649218,15.855669122499636,11455341,0,4,4,0.9999978796671556,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,14910,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,8,17.901520291535927,15.716887409755014,11338010,0,4,4,0.9999954325847422,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,15270,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,9,17.899965780121033,15.728156111968802,11346897,0,4,4,0.9999990494239299,eph32_K16_mr2_inv0|both,58,2,58,-1,64298038,14773003,15270,1,
lattigo,16,32768,60,59,4,3,4,15,3,7,1020,427,1447,-3,15.966882473927743,13.835272158370946,12206483,0,4,4,0.9999890809287634,eph32_K16_mr1_inv0|both,59,1,59,-1,54310437,18929685,15193,1,
lattigo,16,32768,60,59,4,3,4,15,3,7,1020,427,1447,-2,15.967415019577693,13.867604812894193,11695018,0,4,4,0.9999876445934418,eph32_K16_mr1_inv0|both,59,1,59,-1,54310437,18929685,15195,1,
lattigo,16,32768,60,59,4,3,4,15,3,7,1020,427,1447,-1,15.966756912379097,13.862890086948394,11719151,0,4,4,0.9999876171580168,eph32_K16_mr1_inv0|both,59,1,59,-1,54310437,18929685,15200,1,
