library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-3,-1,-1,21554785,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-2,-1,-1,16224283,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-1,-1,-1,16031856,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,0,-1,-1,16067117,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,1,-1,-1,15792953,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,2,-1,-1,15602174,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,3,-1,-1,15655579,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30105,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,4,-1,-1,16436607,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,5,-1,-1,15694526,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,6,-1,-1,15311374,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,7,-1,-1,15120498,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,8,-1,-1,15200212,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,9,-1,-1,15127273,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,264712313,20046580,30283,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-3,15.967338288696729,13.860019354753662,14735115,0,4,4,0.9999887752715897,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,29117,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-2,15.967539792450976,13.84527769188547,14657871,0,4,4,0.9999884135961203,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,29117,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,-1,15.967012962306198,13.848860650592952,15310438,0,4,4,0.9999887873262924,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,30472,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,0,15.967420693597813,13.87118804577511,15449486,0,4,4,0.9999887846829089,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,32024,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,1,15.966610977673028,13.84967801253947,15544397,0,4,4,0.9999880383824187,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33576,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,2,15.967771204074483,13.838111789609929,15571072,0,4,4,0.9999879025470682,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,3,15.966883897326074,13.844741791248197,14746752,0,4,4,0.9999880103776096,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,4,15.966798587050587,13.853164973154733,14995013,0,4,4,0.9999885463428247,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,5,15.966860726472257,13.864793201706265,15266560,0,4,4,0.9999883909867673,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,6,15.967281536448265,13.867107645300383,15192383,0,4,4,0.9999887512771464,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,7,15.967314449793205,13.8180610120339,15235794,0,4,4,0.9999879682734492,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,8,15.96721010669746,13.841613724035177,15037656,0,4,4,0.9999883144817817,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,59,4,2,2,12,3,6,886,366,1252,9,15.967162724083119,13.83058673345062,15150363,0,4,4,0.9999883944649084,eph32_K16_mr1_inv0|precision,59,1,59,-1,246168106,19615238,33986,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-3,-1,-1,17401298,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,31123,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-2,-1,-1,15544606,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,31123,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-1,-1,-1,15615024,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,31123,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,0,-1,-1,15589692,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,31123,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,1,-1,-1,16261738,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,32591,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,2,-1,-1,16419014,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,3,-1,-1,15466744,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,4,-1,-1,15477905,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,5,-1,-1,15555557,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,6,-1,-1,15660606,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,7,-1,-1,15708027,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,8,-1,-1,15883085,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,9,-1,-1,15933788,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,259435533,20606093,33064,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-3,17.903902581690737,15.739407521591911,16521355,0,4,4,0.999994888181796,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,31162,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-2,17.902334484990373,15.705686895999975,15129610,0,4,4,0.9999958965811341,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,31162,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,-1,17.89839578575012,15.873609107959972,15153006,0,4,4,0.9999940505718022,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,31162,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,0,17.901723974164078,15.736985521631834,15189792,0,4,4,0.9999952499620742,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,31162,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,1,17.898863666476206,15.771516348340057,16062720,0,4,4,0.9999965507627493,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,32669,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,2,17.897649687272402,15.711961226160224,16173979,0,4,4,0.9999960074818547,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,3,17.90604658902603,15.724622287878773,15253526,0,4,4,0.9999976303632108,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,4,17.897143905122608,15.731153327554265,15276468,0,4,4,0.9999987390443892,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,5,17.899645154875277,15.726919418873127,15251656,0,4,4,0.9999983612060345,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,6,17.906195298824336,15.693352920496398,15183518,0,4,4,0.9999970592375416,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,7,17.901380755736774,15.74276994165473,15174817,0,4,4,0.9999983302268014,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,8,17.907924971300645,15.799954562279167,15106778,0,4,4,0.9999958595043127,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,58,4,2,2,12,3,6,882,366,1248,9,17.901048501712754,15.598697652538773,15076616,0,4,4,0.9999964738478496,eph32_K16_mr2_inv0|precision,58,2,58,-1,255861191,20849199,33384,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-3,-1,-1,11014300,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,13014,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-2,-1,-1,11223347,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,13532,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-1,-1,-1,11424447,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,14697,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,0,-1,-1,11348197,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15031,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,1,-1,-1,11134696,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15031,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,2,-1,-1,11133273,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15031,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,3,-1,-1,11196155,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15031,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,4,-1,-1,11250826,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15032,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,5,-1,-1,11337810,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15038,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,6,-1,-1,11557270,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15507,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,7,-1,-1,11171443,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15507,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,8,-1,-1,11191401,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15507,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,9,-1,-1,11174544,0,4,4,-1,eph32_K16_mr1_inv0|timing,59,1,59,-1,62323802,14239645,15507,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-3,15.967383559526635,13.838883880161347,11145122,0,4,4,0.9999867713228802,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,13046,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-2,15.96679761340182,13.84631613057695,11560762,0,4,4,0.9999889666045052,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,13813,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,-1,15.96707902798037,13.844161267427236,11754483,0,4,4,0.9999894605436971,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,14993,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,0,15.967359745090853,13.850001207811573,11106303,0,4,4,0.9999881842616782,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,14994,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,1,15.967819957836722,13.855415357134614,11218967,0,4,4,0.9999885932183114,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,14994,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,2,15.967455572804,13.831963197966264,11097389,0,4,4,0.9999884469004361,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,14994,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,3,15.967537531494807,13.84099118364947,11138388,0,4,4,0.9999891474343554,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,14994,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,4,15.967787250840775,13.879917180924163,11208525,0,4,4,0.9999887610222767,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15000,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,5,15.967537885541692,13.830599531205783,11196291,0,4,4,0.9999880373902721,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15113,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,6,15.967297835790726,13.828096281255892,11325369,0,4,4,0.9999898180134318,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15134,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,7,15.96646385448512,13.856271351299945,11294929,0,4,4,0.9999881921440075,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15134,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,8,15.967281269723406,13.830068886781033,11354957,0,4,4,0.9999885667621816,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15134,1,
lattigo,16,32768,60,59,4,3,3,14,3,7,981,427,1408,9,15.967090090484552,13.87926280104684,11135814,0,4,4,0.9999889661693648,eph32_K16_mr1_inv0|precision,59,1,59,-1,63473833,14715497,15134,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-3,-1,-1,11422881,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,63575838,14951236,13019,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-2,-1,-1,11491040,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,63575838,14951236,13894,1,
lattigo,16,32768,60,58,4,3,3,14,3,7,977,427,1404,-1,-1,-1,11814863,0,4,4,-1,eph32_K16_mr2_inv0|timing,58,2,58,-1,63575838,14951236,15061,1,
