library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-3,10.3102,7.89145,60953033,21,17,18,1.00273,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38350,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-2,10.3415,7.76744,58614254,21,17,18,1.00213,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38350,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-1,10.2963,7.84396,58260460,21,17,18,1.00147,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,0,10.3578,7.86489,56645370,21,17,18,1.00267,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,1,10.295,7.91443,59535794,21,17,18,1.00208,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,2,10.3614,7.9767,58242502,21,17,18,1.0016,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,3,10.3603,7.89916,56927968,21,17,18,1.00137,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,4,10.3566,8.06974,56558953,21,17,18,1.00147,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,5,10.2995,7.93564,59675134,21,17,18,1.0016,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,6,10.2814,7.89499,58404772,21,17,18,1.00099,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,7,10.3871,8.0808,58039798,21,17,18,1.0017,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,8,10.3839,8.04789,57784357,21,17,18,1.00139,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,9,10.3449,7.9585,59698000,21,17,18,1.00202,FIXEDMANUAL|UNIFORM_TERNARY|both,59,1,7,49707042,118244330,38351,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-3,10.7037,8.26554,61312216,21,17,18,1.00104,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38349,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-2,10.7428,8.22906,61457956,21,17,18,1.00113,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-1,10.7566,8.44808,60984070,21,17,18,1.00091,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,0,10.7623,8.33256,57986945,21,17,18,1.00129,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,1,10.7275,8.27885,58707438,21,17,18,1.00148,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,2,10.7439,8.26449,61960755,21,17,18,1.001,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,3,10.7535,8.28917,58788668,21,17,18,1.00156,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,4,10.7333,8.45984,57655291,21,17,18,1.00081,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,5,10.726,8.43206,61518679,21,17,18,1.0009,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,6,10.7535,8.43502,59799796,21,17,18,1.00086,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,7,10.7156,8.19463,57598373,21,17,18,1.00119,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,8,10.7473,8.27529,59081774,21,17,18,1.0013,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,9,10.7447,8.27436,61842962,21,17,18,1.00161,FIXEDMANUAL|UNIFORM_TERNARY|both,58,2,7,48284817,117606131,38350,1,
