library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-3,-1,-1,24133598,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38464,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-2,-1,-1,26429338,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38464,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-1,-1,-1,29836332,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38466,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,0,-1,-1,29419631,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38466,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,1,-1,-1,29543252,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38466,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,2,-1,-1,27022440,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38475,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,3,-1,-1,25993736,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,4,-1,-1,27702051,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,5,-1,-1,27012712,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,6,-1,-1,27222723,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,7,-1,-1,27475676,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,8,-1,-1,28238615,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,9,-1,-1,27482364,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,8298843,8934682,38546,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-3,10.3757,8.00383,24245174,21,17,18,1.00176,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-2,10.3809,7.95008,24571729,21,17,18,1.00179,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,-1,10.3233,7.91775,25198845,21,17,18,1.00193,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,0,10.3903,7.99328,27578073,21,17,18,1.00141,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,1,10.3325,8.02454,28734862,21,17,18,1.00205,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,2,10.3164,7.98911,27474152,21,17,18,1.00132,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,3,10.356,8.07351,26662194,21,17,18,1.00147,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,4,10.3806,8.00187,27277221,21,17,18,1.00203,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,5,10.3375,7.94426,26153448,21,17,18,1.00223,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,6,10.3211,7.75812,27701341,21,17,18,1.00182,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,7,10.3204,7.99379,27455464,21,17,18,1.00081,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,8,10.3518,7.78784,25307340,21,17,18,1.00218,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,59,4,2,2,18,4,6,1358,360,1718,9,10.3322,8.03866,27805697,21,17,18,1.00231,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,7644121,9142258,38483,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-3,-1,-1,23955634,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38470,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-2,-1,-1,25304463,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38470,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-1,-1,-1,25582760,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38470,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,0,-1,-1,25187405,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,1,-1,-1,27114834,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,2,-1,-1,27604012,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,3,-1,-1,25008411,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,4,-1,-1,28756821,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,5,-1,-1,26463561,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,6,-1,-1,24925094,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,7,-1,-1,25858803,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,8,-1,-1,26963390,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,9,-1,-1,25580260,21,17,18,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,58,2,7,8075326,8931270,38474,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-3,10.7241,8.31653,23975248,21,17,18,1.0007,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38475,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-2,10.7259,8.13962,25642299,21,17,18,1.00122,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38475,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,-1,10.7396,8.36202,26462956,21,17,18,1.00167,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38475,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,0,10.751,8.22713,24905246,21,17,18,1.00135,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38475,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,1,10.7477,8.46764,24105384,21,17,18,1.00133,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38475,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,2,10.7225,8.31365,26468272,21,17,18,1.00132,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38492,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,3,10.7278,8.1317,26043422,21,17,18,1.00135,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,4,10.7487,8.25688,25506989,21,17,18,1.00072,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,5,10.7723,8.41292,26862608,21,17,18,1.00088,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,6,10.7374,8.25937,28159411,21,17,18,1.00174,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,7,10.7536,8.26151,24412683,21,17,18,1.00106,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,8,10.7577,8.4001,26958417,21,17,18,1.00098,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,58,4,2,2,18,4,6,1336,360,1696,9,10.7541,8.31532,25552684,21,17,18,1.0015,FIXEDMANUAL|UNIFORM_TERNARY|precision,58,2,7,8664714,8794866,38510,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-3,-1,-1,14796811,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16057,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-2,-1,-1,15029769,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16057,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-1,-1,-1,14524446,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,0,-1,-1,15219676,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,1,-1,-1,14773318,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,2,-1,-1,16803831,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,3,-1,-1,17448142,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,4,-1,-1,15455712,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,5,-1,-1,14279298,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,6,-1,-1,13601114,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,7,-1,-1,14072729,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,8,-1,-1,13780670,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,9,-1,-1,14263044,23,19,20,-1,FIXEDMANUAL|UNIFORM_TERNARY|timing,59,1,7,1794339,5658166,16079,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-3,11.2671,7.44862,13200804,23,19,20,1.00111,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,1794868,5758058,16032,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-2,11.2639,7.30571,12719432,23,19,20,1.00082,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,1794868,5758058,16065,1,
openfhe,16,32768,60,59,4,3,3,20,7,4,1476,240,1716,-1,11.2552,7.34044,13391797,23,19,20,1.0007,FIXEDMANUAL|UNIFORM_TERNARY|precision,59,1,7,1794868,5758058,16065,1,
