library,logN,numSlots,q0,delta,residual_L,levelBudget_c2s,levelBudget_s2c,boot_depth,dnum,PCount,logQ_boot,logP_boot,logQP_boot,rep,precision_bits,worst_slot_bits,boot_us,level_in,level_out,level_out_expected,magnitude_ratio,scaling,in_scale_log2,q0_minus_scale_log2,out_scale_log2,correction_factor,setup_us,keygen_us,peak_rss_mb,ok,fail_reason
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,-3,15.967706182420468,13.850251790294527,14053201,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,13492,1,
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,-2,15.967706182420468,13.850251790294527,14472482,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,14906,1,
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,-1,15.967706182420468,13.850251790294527,14064050,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,15041,1,
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,0,15.967706182420468,13.850251790294527,14002305,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,15041,1,
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,1,15.967706182420468,13.850251790294527,13987618,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,15047,1,
lattigo,16,32768,53,52,7,3,3,14,3,8,1102,488,1590,2,15.967706182420468,13.850251790294527,14130267,0,7,7,0.9999875431758787,eph32_K16_mr1_inv0,52,1,52,-1,22006848,19109570,15332,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,-3,14.582533305913701,12.20945685188482,14738939,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,14123,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,-2,14.582533305913701,12.20945685188482,13997123,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,14174,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,-1,14.582533305913701,12.20945685188482,14001596,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,14253,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,0,14.582533305913701,12.20945685188482,14537528,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,15664,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,1,14.582533305913701,12.20945685188482,14411477,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,16600,1,
lattigo,16,32768,59,52,7,3,3,14,3,8,1108,488,1596,2,14.582533305913701,12.20945685188482,14090060,0,7,7,0.9999688531296261,eph32_K16_mr7_inv0,52,7,52,-1,21561914,17434543,16600,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,-3,15.967329263054827,13.889803930039259,14586142,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,13982,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,-2,15.967329263054827,13.889803930039259,14012106,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,14106,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,-1,15.967329263054827,13.889803930039259,14124436,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,14556,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,0,15.967329263054827,13.889803930039259,14550757,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,15967,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,1,15.967329263054827,13.889803930039259,14335616,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,16702,1,
lattigo,16,32768,54,53,7,3,3,14,3,8,1110,488,1598,2,15.967329263054827,13.889803930039259,14085366,0,7,7,0.9999881886024695,eph32_K16_mr1_inv0,53,1,53,-1,22202156,17808112,16702,1,
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,-3,14.582449672423257,12.30240881229306,14725120,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,13810,1,
lattigo,16,32768,60,53,7,3,3,14,3,8,1116,488,1604,-2,14.582449672423257,12.30240881229306,14042653,0,7,7,0.9999795252485462,eph32_K16_mr7_inv0,53,7,53,-1,21181176,17105086,14008,1,
